Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma
Albania,ALB,1987,3.1635559,0.96914876,2.261347,0.48457438
Albania,ALB,1988,7.133995,0.9501188,2.2169437,1.1084719
Albania,ALB,1989,4.2813454,1.0928962,1.7174083,0.7806401
Albania,ALB,1992,3.8472922,0.7627765,0.9153318,0.7627765
Albania,ALB,1993,3.2276995,0.8333333,2.20234,0.8258775
Albania,ALB,1994,3.194888,0.6901311,2.2084196,0.3057169
Albania,ALB,1995,2.586207,0.79533404,0.91982216,0.3066074
Albania,ALB,1996,4.255319,0.45392647,1.2417219,0.5235602
Albania,ALB,1997,2.2427812,1.2269939,1.2269939,0
Albania,ALB,1998,2.7708507,0.44629574,3.0013642,0.35599858
Albania,ALB,1999,3.581267,0.94953877,3.2555616,0.295858
Albania,ALB,2000,2.085195,0.27480078,1.3206162,0
Albania,ALB,2001,3.689481,0.76701677,1.7434086,0.6586249
Albania,ALB,2002,1.8411007,0.5864392,0.8869305,0.7819189
Albania,ALB,2003,6.2361245,1.091298,2.182596,1.1590395
Albania,ALB,2004,4.852045,1.6550708,2.2757225,2.0552027
Albania,ALB,2005,2.3425944,1.3144808,0.8763205,0.3715925
Albania,ALB,2006,3.1001236,1.694707,0.7701698,0
Albania,ALB,2007,2.1345172,1.208649,0,0
Albania,ALB,2008,2.2030232,0.93751466,0.93751466,0
Albania,ALB,2009,1.5176694,1.6127515,1.6127515,0
Albania,ALB,2010,0.78963995,0.94505453,0,0
Antigua and Barbuda,ATG,1961,,,14.705882,0
Antigua and Barbuda,ATG,1962,,,0,0
Antigua and Barbuda,ATG,1963,,,0,0
Antigua and Barbuda,ATG,1964,,,0,0
Antigua and Barbuda,ATG,1966,0,,0,0
Antigua and Barbuda,ATG,1969,12.195122,,0,10.869565
Antigua and Barbuda,ATG,1970,0,,0,0
Antigua and Barbuda,ATG,1971,0,,0,0
Antigua and Barbuda,ATG,1972,0,,0,0
Antigua and Barbuda,ATG,1973,0,,0,0
Antigua and Barbuda,ATG,1974,0,,0,0
Antigua and Barbuda,ATG,1975,0,,0,0
Antigua and Barbuda,ATG,1976,0,,0,0
Antigua and Barbuda,ATG,1977,25.24615,,0,0
Antigua and Barbuda,ATG,1978,0,,0,0
Antigua and Barbuda,ATG,1983,,,0,0
Antigua and Barbuda,ATG,1985,0,,0,0
Antigua and Barbuda,ATG,1986,0,,17.755682,0
Antigua and Barbuda,ATG,1987,0,,0,0
Antigua and Barbuda,ATG,1988,0,,0,0
Antigua and Barbuda,ATG,1989,0,,0,0
Antigua and Barbuda,ATG,1990,16.18385,,0,0
Antigua and Barbuda,ATG,1991,0,,0,0
Antigua and Barbuda,ATG,1992,0,,0,0
Antigua and Barbuda,ATG,1993,0,,0,0
Antigua and Barbuda,ATG,1994,0,,0,0
Antigua and Barbuda,ATG,1995,0,,0,0
Antigua and Barbuda,ATG,1998,0,0,0,0
Antigua and Barbuda,ATG,1999,0,0,0,0
Antigua and Barbuda,ATG,2000,0,0,0,0
Antigua and Barbuda,ATG,2001,0,0,0,0
Antigua and Barbuda,ATG,2002,13.914011,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0
Antigua and Barbuda,ATG,2005,13.640704,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,23.11337,0
Antigua and Barbuda,ATG,2008,0,0,0,0
Antigua and Barbuda,ATG,2009,13.222266,0,0,0
Antigua and Barbuda,ATG,2010,13.113034,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0,0
Antigua and Barbuda,ATG,2021,14.575135,0,0,0
Argentina,ARG,1966,3.9534883,,3.1394072,0.6805708
Argentina,ARG,1967,5.090236,,3.498479,0.82572794
Argentina,ARG,1968,4.889299,,3.415682,0.79484427
Argentina,ARG,1969,4.8253675,,3.9490445,0.78556263
Argentina,ARG,1970,5.592841,,3.9373412,0.76206607
Argentina,ARG,1977,5.7107644,,2.8871894,0.68833655
Argentina,ARG,1978,4.0824575,,2.9693666,0.6201842
Argentina,ARG,1979,4.615997,,3.2550397,0.850749
Argentina,ARG,1980,4.8448825,,3.1370857,0.7137285
Argentina,ARG,1981,6.311846,,3.8010821,0.84652925
Argentina,ARG,1982,5.129209,,3.3127754,0.72246695
Argentina,ARG,1983,4.77842,,3.2772672,0.6415814
Argentina,ARG,1984,5.780135,,2.8210027,0.621834
Argentina,ARG,1985,5.258987,,2.3893435,0.4629353
Argentina,ARG,1986,4.5488734,,2.3016155,0.445474
Argentina,ARG,1987,4.4549727,,2.2720277,0.4690638
Argentina,ARG,1988,4.3633995,,2.0367227,0.3548835
Argentina,ARG,1989,4.7528515,,2.2888958,0.4486549
Argentina,ARG,1990,4.3221393,,2.1533694,0.44926414
Argentina,ARG,1991,4.068904,,2.1742413,0.39257133
Argentina,ARG,1992,3.9257674,,2.0114684,0.4653397
Argentina,ARG,1993,4.678503,,1.7477033,0.26887745
Argentina,ARG,1994,3.602022,,1.946595,0.3417686
Argentina,ARG,1995,3.37951,,1.6855927,0.3105039
Argentina,ARG,1996,4.0230412,,1.8101546,0.27961737
Argentina,ARG,1997,3.5533884,0.70774585,1.6561253,0.28276527
Argentina,ARG,1998,3.0682395,0.7499179,1.9950647,0.2688385
Argentina,ARG,1999,3.623024,0.7641948,1.8680317,0.24057984
Argentina,ARG,2000,3.791907,0.9244997,1.7832171,0.3603982
Argentina,ARG,2001,3.6720846,0.87912846,1.5030261,0.26719397
Argentina,ARG,2002,3.727619,0.7940318,1.630601,0.14169566
Argentina,ARG,2003,2.9013605,0.65179497,1.3177594,0.09918619
Argentina,ARG,2004,3.814152,0.7366862,1.4592054,0.25265485
Argentina,ARG,2005,4.3904037,0.8219032,1.5729527,0.24090266
Argentina,ARG,2006,3.9399483,0.9885979,1.2145631,0.31514996
Argentina,ARG,2007,3.980678,0.7328877,1.4657754,0.29597387
Argentina,ARG,2008,3.4634306,0.78788084,1.3506528,0.25073656
Argentina,ARG,2009,3.8534336,0.6734957,1.5434277,0.18737334
Argentina,ARG,2010,3.8357782,0.7268481,1.1322057,0.18657708
Argentina,ARG,2011,3.7216375,0.86389416,1.3655101,0.13933776
Argentina,ARG,2012,3.5413253,0.7767562,1.2483582,0.09267104
Argentina,ARG,2013,3.3842611,0.786433,1.5314747,0.16913722
Argentina,ARG,2014,3.3690996,0.6864136,1.5787513,0.16840293
Argentina,ARG,2015,2.9621956,0.820216,1.4353781,0.16772525
Argentina,ARG,2016,4.1067104,0.6660751,1.3321502,0.18183896
Argentina,ARG,2017,3.7313516,0.81215876,1.5701736,0.18090914
Argentina,ARG,2018,3.5265975,0.6611449,1.1873623,0.16512507
Argentina,ARG,2019,3.7399392,0.6593912,1.076557,0.13460141
Argentina,ARG,2020,3.530462,0.65803033,1.060906,0.14912413
Argentina,ARG,2021,3.2893836,1.0735224,1.3687412,0.17874195
Argentina,ARG,2022,3.9820266,0.7914801,1.2341725,0.18735498
Armenia,ARM,1981,7.7129445,,2.984137,1.5909493
Armenia,ARM,1982,6.0913706,,3.872367,1.179941
Armenia,ARM,1985,3.39098,,2.9433408,1.1660836
Armenia,ARM,1986,2.7118645,,2.4527485,1.6294607
Armenia,ARM,1987,5.780347,,2.832059,1.4328928
Armenia,ARM,1988,5.4719563,,2.3903263,2.5177026
