Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster,PCA1,PCA2
Albania,ALB,1987,3.1635559,0.96914876,2.261347,0.48457438,0,0.23896301512248186,-0.11335075632268651
Albania,ALB,1988,7.133995,0.9501188,2.2169437,1.1084719,0,1.3009188940757648,-0.5896410829442563
Albania,ALB,1989,4.2813454,1.0928962,1.7174083,0.7806401,0,0.3996934751181121,-0.09464213177310168
Albania,ALB,1992,3.8472922,0.7627765,0.9153318,0.7627765,0,-0.1155960735510533,0.033228349272297925
Albania,ALB,1993,3.2276995,0.8333333,2.20234,0.8258775,0,0.22460334121897835,-0.016127431933700403
Albania,ALB,1994,3.194888,0.6901311,2.2084196,0.3057169,0,0.1163085118145219,-0.23386975970295182
Albania,ALB,1995,2.586207,0.79533404,0.91982216,0.3066074,0,-0.47464599122090617,0.09526342660771848
Albania,ALB,1996,4.255319,0.45392647,1.2417219,0.5235602,0,-0.019523315837900703,-0.24172933081407716
Albania,ALB,1997,2.2427812,1.2269939,1.2269939,0.0,0,-0.3396247202252996,0.08265128765325067
Albania,ALB,1998,2.7708507,0.44629574,3.0013642,0.35599858,0,0.2208497961257254,-0.31057033246155213
Albania,ALB,1999,3.581267,0.94953877,3.2555616,0.295858,0,0.6823138783913948,-0.4155608200626981
Albania,ALB,2000,2.085195,0.27480078,1.3206162,0.0,0,-0.6621172136211825,-0.09614212629945838
Albania,ALB,2001,3.689481,0.76701677,1.7434086,0.6586249,0,0.13626302057239906,-0.10392855887336612
Albania,ALB,2002,1.8411007,0.5864392,0.8869305,0.7819189,0,-0.6974011073476157,0.3686329676008822
Albania,ALB,2003,6.2361245,1.091298,2.182596,1.1590395,0,1.1101323973914636,-0.3760329453700223
Albania,ALB,2004,4.852045,1.6550708,2.2757225,2.0552027,0,1.0700112359948912,0.3054947255427649
Albania,ALB,2005,2.3425944,1.3144808,0.8763205,0.3715925,0,-0.37383271811870133,0.2748464705334253
