Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Albania,ALB,1987,3.1635559,0.96914876,2.261347,0.48457438
Albania,ALB,1988,7.133995,0.9501188,2.2169437,1.1084719
Albania,ALB,1989,4.2813454,1.0928962,1.7174083,0.7806401
Albania,ALB,1992,3.8472922,0.7627765,0.9153318,0.7627765
Albania,ALB,1993,3.2276995,0.8333333,2.20234,0.8258775
Albania,ALB,1994,3.194888,0.6901311,2.2084196,0.3057169
Albania,ALB,1995,2.586207,0.79533404,0.91982216,0.3066074
Albania,ALB,1996,4.255319,0.45392647,1.2417219,0.5235602
Albania,ALB,1997,2.2427812,1.2269939,1.2269939,0.0
Albania,ALB,1998,2.7708507,0.44629574,3.0013642,0.35599858
Albania,ALB,1999,3.581267,0.94953877,3.2555616,0.295858
Albania,ALB,2000,2.085195,0.27480078,1.3206162,0.0
Albania,ALB,2001,3.689481,0.76701677,1.7434086,0.6586249
Albania,ALB,2002,1.8411007,0.5864392,0.8869305,0.7819189
Albania,ALB,2003,6.2361245,1.091298,2.182596,1.1590395
Albania,ALB,2004,4.852045,1.6550708,2.2757225,2.0552027
Albania,ALB,2005,2.3425944,1.3144808,0.8763205,0.3715925
Albania,ALB,2006,3.1001236,1.694707,0.7701698,0.0
Albania,ALB,2007,2.1345172,1.208649,0.0,0.0
Albania,ALB,2008,2.2030232,0.93751466,0.93751466,0.0
Albania,ALB,2009,1.5176694,1.6127515,1.6127515,0.0
Albania,ALB,2010,0.78963995,0.94505453,0.0,0.0
