Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Antigua and Barbuda,ATG,1961,,,14.705882,0.0
Antigua and Barbuda,ATG,1962,,,0.0,0.0
Antigua and Barbuda,ATG,1963,,,0.0,0.0
Antigua and Barbuda,ATG,1964,,,0.0,0.0
Antigua and Barbuda,ATG,1966,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1969,12.195122,,0.0,10.869565
Antigua and Barbuda,ATG,1970,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1971,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1972,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1973,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1974,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1975,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1976,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1977,25.24615,,0.0,0.0
Antigua and Barbuda,ATG,1978,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1983,,,0.0,0.0
Antigua and Barbuda,ATG,1985,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1986,0.0,,17.755682,0.0
Antigua and Barbuda,ATG,1987,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1988,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1989,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1990,16.18385,,0.0,0.0
Antigua and Barbuda,ATG,1991,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1992,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1993,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1994,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1995,0.0,,0.0,0.0
Antigua and Barbuda,ATG,1998,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,1999,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2000,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2001,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2002,13.914011,0.0,0.0,0.0
Antigua and Barbuda,ATG,2003,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2004,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2005,13.640704,0.0,0.0,0.0
Antigua and Barbuda,ATG,2006,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2007,0.0,0.0,23.11337,0.0
Antigua and Barbuda,ATG,2008,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2009,13.222266,0.0,0.0,0.0
Antigua and Barbuda,ATG,2010,13.113034,0.0,0.0,0.0
Antigua and Barbuda,ATG,2011,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2012,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2013,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2014,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2015,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2016,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2017,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2018,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2019,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2020,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,2021,14.575135,0.0,0.0,0.0
