Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Argentina,ARG,1966,3.9534883,,3.1394072,0.6805708
Argentina,ARG,1967,5.090236,,3.498479,0.82572794
Argentina,ARG,1968,4.889299,,3.415682,0.79484427
Argentina,ARG,1969,4.8253675,,3.9490445,0.78556263
Argentina,ARG,1970,5.592841,,3.9373412,0.76206607
Argentina,ARG,1977,5.7107644,,2.8871894,0.68833655
Argentina,ARG,1978,4.0824575,,2.9693666,0.6201842
Argentina,ARG,1979,4.615997,,3.2550397,0.850749
Argentina,ARG,1980,4.8448825,,3.1370857,0.7137285
Argentina,ARG,1981,6.311846,,3.8010821,0.84652925
Argentina,ARG,1982,5.129209,,3.3127754,0.72246695
Argentina,ARG,1983,4.77842,,3.2772672,0.6415814
Argentina,ARG,1984,5.780135,,2.8210027,0.621834
Argentina,ARG,1985,5.258987,,2.3893435,0.4629353
Argentina,ARG,1986,4.5488734,,2.3016155,0.445474
Argentina,ARG,1987,4.4549727,,2.2720277,0.4690638
Argentina,ARG,1988,4.3633995,,2.0367227,0.3548835
Argentina,ARG,1989,4.7528515,,2.2888958,0.4486549
Argentina,ARG,1990,4.3221393,,2.1533694,0.44926414
Argentina,ARG,1991,4.068904,,2.1742413,0.39257133
Argentina,ARG,1992,3.9257674,,2.0114684,0.4653397
Argentina,ARG,1993,4.678503,,1.7477033,0.26887745
Argentina,ARG,1994,3.602022,,1.946595,0.3417686
Argentina,ARG,1995,3.37951,,1.6855927,0.3105039
Argentina,ARG,1996,4.0230412,,1.8101546,0.27961737
Argentina,ARG,1997,3.5533884,0.70774585,1.6561253,0.28276527
Argentina,ARG,1998,3.0682395,0.7499179,1.9950647,0.2688385
Argentina,ARG,1999,3.623024,0.7641948,1.8680317,0.24057984
Argentina,ARG,2000,3.791907,0.9244997,1.7832171,0.3603982
Argentina,ARG,2001,3.6720846,0.87912846,1.5030261,0.26719397
Argentina,ARG,2002,3.727619,0.7940318,1.630601,0.14169566
Argentina,ARG,2003,2.9013605,0.65179497,1.3177594,0.09918619
Argentina,ARG,2004,3.814152,0.7366862,1.4592054,0.25265485
Argentina,ARG,2005,4.3904037,0.8219032,1.5729527,0.24090266
Argentina,ARG,2006,3.9399483,0.9885979,1.2145631,0.31514996
Argentina,ARG,2007,3.980678,0.7328877,1.4657754,0.29597387
Argentina,ARG,2008,3.4634306,0.78788084,1.3506528,0.25073656
Argentina,ARG,2009,3.8534336,0.6734957,1.5434277,0.18737334
Argentina,ARG,2010,3.8357782,0.7268481,1.1322057,0.18657708
Argentina,ARG,2011,3.7216375,0.86389416,1.3655101,0.13933776
Argentina,ARG,2012,3.5413253,0.7767562,1.2483582,0.09267104
Argentina,ARG,2013,3.3842611,0.786433,1.5314747,0.16913722
Argentina,ARG,2014,3.3690996,0.6864136,1.5787513,0.16840293
Argentina,ARG,2015,2.9621956,0.820216,1.4353781,0.16772525
Argentina,ARG,2016,4.1067104,0.6660751,1.3321502,0.18183896
Argentina,ARG,2017,3.7313516,0.81215876,1.5701736,0.18090914
Argentina,ARG,2018,3.5265975,0.6611449,1.1873623,0.16512507
Argentina,ARG,2019,3.7399392,0.6593912,1.076557,0.13460141
Argentina,ARG,2020,3.530462,0.65803033,1.060906,0.14912413
Argentina,ARG,2021,3.2893836,1.0735224,1.3687412,0.17874195
Argentina,ARG,2022,3.9820266,0.7914801,1.2341725,0.18735498
