Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Armenia,ARM,1981,7.7129445,,2.984137,1.5909493
Armenia,ARM,1982,6.0913706,,3.872367,1.179941
Armenia,ARM,1985,3.39098,,2.9433408,1.1660836
Armenia,ARM,1986,2.7118645,,2.4527485,1.6294607
Armenia,ARM,1987,5.780347,,2.832059,1.4328928
Armenia,ARM,1988,5.4719563,,2.3903263,2.5177026
Armenia,ARM,1989,2.7192385,,2.0427403,0.84447575
Armenia,ARM,1990,1.9926934,,2.648822,0.93516207
Armenia,ARM,1991,2.6938043,,2.1875455,0.5239031
Armenia,ARM,1992,2.9069767,,1.4425851,2.1638777
Armenia,ARM,1993,3.957038,,1.4515704,0.79176563
Armenia,ARM,1994,2.4752476,,1.6205068,0.2946376
Armenia,ARM,1995,2.4070606,,1.2838801,0.7674597
Armenia,ARM,1996,3.4031413,,1.2917811,1.3150973
Armenia,ARM,1997,3.873967,,2.0439448,0.6323111
Armenia,ARM,1998,3.3462033,,1.6204537,0.36010084
Armenia,ARM,1999,4.4236274,,1.7869908,1.3636364
Armenia,ARM,2000,3.961965,,1.0867202,1.5214084
Armenia,ARM,2001,4.0085945,,2.0406265,0.68020886
Armenia,ARM,2002,3.7189584,,1.9416769,1.8548975
Armenia,ARM,2003,3.1762366,,1.7980484,1.2843202
Armenia,ARM,2006,2.8677711,2.115091,1.3332694,0.0
Armenia,ARM,2007,5.7424297,1.21994,1.5249249,1.21994
Armenia,ARM,2008,1.2866149,0.0,1.0682876,0.6739589
Armenia,ARM,2009,4.1105742,2.740143,1.0753498,0.0
Armenia,ARM,2010,5.4411407,0.90142334,2.5359952,0.57117397
Armenia,ARM,2011,2.8371208,1.4708261,1.9441919,0.0
Armenia,ARM,2012,5.139098,1.9869317,1.0147803,0.54245526
Armenia,ARM,2013,1.7428485,1.3929827,0.74807745,0.0
Armenia,ARM,2014,4.6353436,1.4759058,0.0,0.0
Armenia,ARM,2015,2.2942095,2.43804,1.6253599,1.1973681
Armenia,ARM,2016,2.810947,1.2142062,0.80301934,0.48494253
Armenia,ARM,2017,3.2728403,1.6152349,0.5325537,0.0
Armenia,ARM,2018,2.6493857,0.95066524,1.2203828,0.0
Armenia,ARM,2019,3.590738,0.81345785,0.4756763,0.4756763
Armenia,ARM,2020,1.5116929,2.4391792,0.4675672,0.60146034
Armenia,ARM,2021,0.98577523,2.1724648,0.79357207,0.46670306
Armenia,ARM,2022,2.396059,0.56852424,0.85278636,0.0
Armenia,ARM,2023,2.555401,1.1959755,0.5180944,0.0
