Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Australia,AUS,1950,4.9734178,,3.7669513,1.0128292
Australia,AUS,1951,4.292554,,4.7607713,0.46948355
Australia,AUS,1952,3.950071,,5.0831003,0.6853618
Australia,AUS,1953,5.9596577,,4.987121,0.4922471
Australia,AUS,1954,7.0717278,,4.4233637,0.79940313
Australia,AUS,1955,4.8734264,,4.656457,0.87955296
Australia,AUS,1956,6.9204154,,3.7696018,0.6533977
Australia,AUS,1957,6.112613,,3.8869786,0.69766283
Australia,AUS,1958,6.7151036,,4.5521293,0.48947626
Australia,AUS,1959,5.725798,,4.793634,0.5752361
Australia,AUS,1960,6.629947,,4.191786,0.61228335
Australia,AUS,1961,5.3060822,,4.475615,0.7382457
Australia,AUS,1962,7.3057556,,4.0408626,0.99886495
Australia,AUS,1963,6.312518,,3.7164733,0.79904115
Australia,AUS,1964,8.008389,,3.4402153,0.8821065
Australia,AUS,1965,7.516678,,3.615455,0.6533955
Australia,AUS,1966,5.351047,,4.189703,0.47512093
Australia,AUS,1967,5.143012,,3.962843,0.6391682
Australia,AUS,1968,6.9204154,,3.221431,0.63580877
Australia,AUS,1969,4.6644206,,4.018586,0.46613526
Australia,AUS,1970,5.5499496,,3.7242408,0.5989955
Australia,AUS,1971,5.5632825,,4.3750257,0.49065706
Australia,AUS,1972,5.2183685,,4.3793845,0.6082478
Australia,AUS,1973,5.481411,,3.3193004,0.68814766
Australia,AUS,1974,5.700261,,3.112117,0.58228076
Australia,AUS,1975,4.7865663,,2.5026815,0.39444274
Australia,AUS,1976,4.7709923,,2.5506136,0.3508464
Australia,AUS,1977,4.424779,,2.9597633,0.43957976
Australia,AUS,1978,4.6131434,,2.4520643,0.4421755
Australia,AUS,1979,3.7833052,0.9353776,2.3181098,0.31300303
Australia,AUS,1980,4.1119723,1.1920421,2.6307137,0.5343637
Australia,AUS,1981,4.48124,1.6187274,2.3243265,0.41310933
Australia,AUS,1982,3.9864166,0.9624236,2.3432922,0.37660056
Australia,AUS,1983,3.722356,0.92487496,1.9338294,0.58855677
Australia,AUS,1984,4.5521293,1.3091216,1.8158784,0.38006756
Australia,AUS,1985,3.6377134,1.2653422,1.8136573,0.1687123
Australia,AUS,1986,3.5836828,1.1725293,1.3819095,0.2512563
Australia,AUS,1987,3.460752,1.1611993,1.3685564,0.29029983
Australia,AUS,1988,3.6054804,1.0645267,1.1873567,0.22758307
Australia,AUS,1989,3.8703434,1.0866503,1.569606,0.1789549
Australia,AUS,1990,3.1591737,1.071216,1.3886133,0.19837333
Australia,AUS,1991,3.1411083,0.86481386,1.2972208,0.157208
Australia,AUS,1992,3.2786884,0.8993157,1.6813294,0.19550343
Australia,AUS,1993,3.0888643,1.0528779,1.4818281,0.23397286
Australia,AUS,1994,4.3952594,1.0123034,1.4016508,0.25941458
Australia,AUS,1995,2.8560402,0.8110613,1.5062567,0.17152658
Australia,AUS,1996,2.9811954,1.0648266,1.3061851,0.1277792
Australia,AUS,1997,2.8966308,1.3386235,1.2238845,0.1693957
Australia,AUS,1998,3.4969687,1.4119701,1.6027769,0.16868691
Australia,AUS,1999,2.5669482,0.837667,1.2184247,0.18833822
Australia,AUS,2000,2.6921644,1.2198031,0.79882747,0.07408049
Australia,AUS,2001,2.5865057,1.2179807,1.1009783,0.3699144
Australia,AUS,2002,2.853138,1.2866093,0.7189875,0.12555905
Australia,AUS,2003,2.1022766,1.037631,0.8839079,0.14953674
Australia,AUS,2004,2.3676145,0.9555355,0.9937569,0.16924232
Australia,AUS,2006,1.5703372,0.87748146,0.5722705,0.22461933
Australia,AUS,2007,1.5691466,1.2679224,0.37291837,0.0
Australia,AUS,2008,1.5681992,0.84322566,0.4766058,0.14511387
Australia,AUS,2009,1.8499926,0.7245268,0.39565682,0.0
Australia,AUS,2010,2.137014,0.9945576,0.60383856,0.17759958
Australia,AUS,2011,1.4410623,1.1348734,0.31626132,0.15653427
Australia,AUS,2012,1.2216136,0.6912687,0.6875392,0.16887213
Australia,AUS,2013,2.1448824,0.9420695,0.57197076,0.1656961
Australia,AUS,2014,1.0700657,0.88812023,0.32893342,0.14631979
Australia,AUS,2015,1.9848471,0.8631904,0.6151198,0.1078988
Australia,AUS,2016,2.3049684,0.89146227,0.47756907,0.07087054
Australia,AUS,2017,1.4930407,1.043434,0.38509798,0.06296975
Australia,AUS,2018,1.9108326,0.75754446,0.41033658,0.0
Australia,AUS,2019,1.4094956,0.88317156,0.5046694,0.25739545
Australia,AUS,2020,1.4349691,0.8559228,0.38041013,0.13029265
Australia,AUS,2021,1.6014053,0.831918,0.57594323,0.12798738
Australia,AUS,2022,1.4645568,0.96075755,0.54442924,0.06203409
Australia,AUS,2023,1.5687401,1.0597523,0.3198567,0.0
