Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Austria,AUT,1955,6.6403446,,3.9215686,1.2066365
Austria,AUT,1956,4.2809887,,3.5640035,0.8870163
Austria,AUT,1957,6.197521,,4.7244096,0.984252
Austria,AUT,1958,7.185629,,3.8265307,0.7742506
Austria,AUT,1959,6.8465567,,5.331007,1.2038963
Austria,AUT,1960,4.591735,,5.036108,0.5262235
Austria,AUT,1961,5.260082,,4.1079264,0.4668098
Austria,AUT,1962,5.0140395,,4.4887333,1.077296
Austria,AUT,1963,5.358615,,4.618334,0.52283025
Austria,AUT,1964,6.0593395,,4.2358522,1.1434016
Austria,AUT,1965,5.2083335,,4.6365294,1.1120378
Austria,AUT,1966,4.4815645,,4.729289,0.8179587
Austria,AUT,1967,5.311824,,3.0687232,1.0498264
Austria,AUT,1968,4.751045,,3.127506,0.48115477
Austria,AUT,1969,4.579593,,3.28,0.71999997
Austria,AUT,1970,6.1815615,,4.1637135,0.88488454
Austria,AUT,1971,5.296429,,3.476152,0.53106743
Austria,AUT,1972,5.468103,,3.557247,0.8272667
Austria,AUT,1973,5.331179,,3.4300547,0.64892924
Austria,AUT,1974,5.1968503,,3.5217972,0.872372
Austria,AUT,1975,5.1337895,,2.7943032,0.63097167
Austria,AUT,1976,4.1945004,,2.6126714,0.6110602
Austria,AUT,1977,4.0593286,,1.6458515,1.1618083
Austria,AUT,1978,4.0983605,,3.021148,0.771095
Austria,AUT,1979,3.5273368,,1.148825,0.8031207
Austria,AUT,1980,4.111166,1.3047088,2.5759366,0.7116594
Austria,AUT,1981,3.839092,1.5342466,1.8299378,0.5479452
Austria,AUT,1982,4.65935,1.2390683,1.9981151,0.3717205
Austria,AUT,1983,5.2565274,1.3456295,1.2334936,0.37495124
Austria,AUT,1984,4.2022023,1.4660028,1.6915417,0.25072145
Austria,AUT,1985,3.9963393,0.5028379,1.245268,0.0
Austria,AUT,1986,1.4601159,1.1319901,1.7576016,0.25108594
Austria,AUT,1987,2.611074,1.1244532,1.1276207,0.2498785
Austria,AUT,1988,2.917369,1.1206365,0.89650923,0.3725366
Austria,AUT,1989,2.9703898,1.3541112,1.2310101,0.0
Austria,AUT,1990,2.7495503,0.66002244,1.1000375,0.36214235
Austria,AUT,1991,2.0241458,0.98025763,1.0899487,0.36012545
Austria,AUT,1992,2.6162145,1.0770837,1.4389524,0.2159398
Austria,AUT,1993,2.9762285,1.1755502,0.9511626,0.26496595
Austria,AUT,1994,3.1439226,1.386161,1.183698,0.0
Austria,AUT,1995,2.5049891,0.42440498,0.8267254,0.21480201
Austria,AUT,1996,2.311138,0.96270686,0.7090246,0.3209023
Austria,AUT,1997,2.5492158,0.5929953,1.0755811,1.1553614
Austria,AUT,1998,1.7097487,0.76041746,1.0745769,1.2047032
Austria,AUT,1999,1.9208933,0.66018003,1.2066947,0.2852408
Austria,AUT,2000,3.3987594,0.9027764,0.85776746,0.0
Austria,AUT,2001,1.472082,1.2490664,0.7982111,0.213116
Austria,AUT,2002,2.075998,1.0449661,0.381988,0.0
Austria,AUT,2003,3.2919238,0.5896101,0.6640018,0.0
Austria,AUT,2004,2.047544,0.9548169,0.5260673,1.2903559
Austria,AUT,2005,2.0538182,1.06326,0.265815,0.58643
Austria,AUT,2006,1.6602746,0.67149425,0.5371954,0.0
Austria,AUT,2007,2.318088,0.7390528,0.724755,0.24158499
Austria,AUT,2008,1.511161,0.82271796,0.24407686,0.0
Austria,AUT,2009,2.4386783,0.6893785,0.6237805,0.0
Austria,AUT,2010,1.3608404,0.7394098,0.49293986,0.24646993
Austria,AUT,2011,2.0905778,1.526866,1.0168078,0.277612
Austria,AUT,2012,2.614149,0.55385476,0.315041,0.0
Austria,AUT,2013,2.3996642,0.5529658,0.9676902,0.0
Austria,AUT,2014,2.409122,0.96298826,0.68784875,0.2475462
Austria,AUT,2015,3.360594,0.68125737,0.24633817,0.0
Austria,AUT,2016,2.847394,0.8012125,0.26707083,0.0
Austria,AUT,2017,3.3124647,0.5275465,0.5275465,0.0
Austria,AUT,2018,1.6568009,1.4339459,0.5742918,0.0
Austria,AUT,2019,2.6038709,1.1624497,0.25832218,0.0
Austria,AUT,2020,2.6061163,0.6965834,0.51383567,0.0
Austria,AUT,2021,0.70778924,0.38434044,0.23212089,0.0
Austria,AUT,2022,3.0669346,1.6065769,0.43793,0.0
Austria,AUT,2023,2.356201,0.74312794,0.4954186,0.0
