Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Azerbaijan,AZE,1981,5.100634,,5.6675515,1.0513546
Azerbaijan,AZE,1982,4.7934585,,6.3102665,1.5598412
Azerbaijan,AZE,1985,6.3412476,,5.580283,0.97788477
Azerbaijan,AZE,1986,5.631298,,6.2293167,1.1031082
Azerbaijan,AZE,1987,4.4444447,,4.508509,1.1430023
Azerbaijan,AZE,1988,5.751364,,4.424779,1.4726508
Azerbaijan,AZE,1989,3.3963377,,2.7204156,1.59911
Azerbaijan,AZE,1990,3.5077462,,0.36507455,5.293581
Azerbaijan,AZE,1991,4.2826552,,1.5318016,4.728605
Azerbaijan,AZE,1992,5.614035,,3.0929039,0.78585464
Azerbaijan,AZE,1993,3.8398244,,3.0849826,0.518269
Azerbaijan,AZE,1994,4.796163,,4.562204,0.5819969
Azerbaijan,AZE,1995,4.1483016,,3.8582537,0.71637905
Azerbaijan,AZE,1996,3.5746202,,3.948313,0.39207998
Azerbaijan,AZE,1997,5.581631,,3.3281825,0.649182
Azerbaijan,AZE,1998,3.1351743,,4.405784,1.1104941
Azerbaijan,AZE,1999,4.0650406,,4.087575,0.6727417
Azerbaijan,AZE,2000,5.187787,,6.006204,0.8584612
Azerbaijan,AZE,2001,5.5802975,1.2094641,3.2716136,0.20855057
Azerbaijan,AZE,2002,6.6663084,1.038795,3.7444935,0.21944262
Azerbaijan,AZE,2003,5.6374674,0.67670447,3.6313064,0.42294028
Azerbaijan,AZE,2004,6.175903,0.9652898,3.861159,0.88484895
Azerbaijan,AZE,2007,3.7809565,0.6532898,1.6367282,0.46663556
