Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Bahamas,BHS,1972,4.484305,,4.1841006,0.0
Bahamas,BHS,1975,0.0,,0.0,3.164557
Bahamas,BHS,1979,0.0,,6.8965516,0.0
Bahamas,BHS,1980,3.9682539,,4.123711,0.0
Bahamas,BHS,1981,3.90625,,0.0,0.0
Bahamas,BHS,1983,3.7313433,,,
Bahamas,BHS,1984,4.255319,,0.0,0.0
Bahamas,BHS,1985,0.0,,0.0,0.0
Bahamas,BHS,1987,7.633588,,0.0,0.0
Bahamas,BHS,1993,0.0,,4.854369,0.0
Bahamas,BHS,1994,3.7313433,,0.0,0.0
Bahamas,BHS,1995,0.0,,0.0,3.4482758
Bahamas,BHS,1996,3.4413931,,0.0,0.0
Bahamas,BHS,1997,6.946374,,0.0,0.0
Bahamas,BHS,1998,0.0,,0.0,0.0
Bahamas,BHS,1999,3.5214987,18.796993,3.3218176,0.0
Bahamas,BHS,2000,6.982753,0.0,3.2726796,0.0
Bahamas,BHS,2001,0.0,0.0,4.407228,0.0
Bahamas,BHS,2002,3.3515434,0.0,3.2682943,0.0
Bahamas,BHS,2003,0.0,0.0,4.338583,0.0
Bahamas,BHS,2004,0.0,6.4951935,0.0,0.0
Bahamas,BHS,2005,3.2859068,0.0,3.2027671,0.0
Bahamas,BHS,2006,0.0,0.0,0.0,0.0
Bahamas,BHS,2007,0.0,3.1669621,0.0,0.0
Bahamas,BHS,2008,3.1352878,0.0,3.157363,0.0
Bahamas,BHS,2009,3.1128404,3.1456432,0.0,0.0
Bahamas,BHS,2010,3.0989494,0.0,3.1253908,0.0
Bahamas,BHS,2011,3.0932937,0.0,0.0,0.0
Bahamas,BHS,2012,0.0,3.1441598,3.5642364,0.0
Bahamas,BHS,2013,3.0984693,0.0,0.0,0.0
Bahamas,BHS,2014,6.217552,0.0,3.168568,0.0
Bahamas,BHS,2015,3.120709,0.0,0.0,0.0
Bahamas,BHS,2016,3.1165268,0.0,3.254149,0.0
