Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Bahrain,BHR,1985,7.556675,4.576659,,2.3837903
Bahrain,BHR,1987,4.8899755,0.0,0.0,2.43309
Bahrain,BHR,1988,2.4038463,0.0,0.0,0.0
Bahrain,BHR,1997,5.621873,1.6839553,1.7914084,1.6839553
Bahrain,BHR,1998,7.453231,0.0,1.8390805,0.0
Bahrain,BHR,1999,1.8308647,0.0,0.0,0.0
Bahrain,BHR,2000,3.5290797,0.0,7.0516887,0.0
Bahrain,BHR,2001,1.6952888,0.0,1.4213227,0.0
Bahrain,BHR,2002,1.6444123,0.0,0.0,0.0
Bahrain,BHR,2003,3.1857786,0.0,1.3706516,0.0
Bahrain,BHR,2004,3.0719135,3.1471283,0.0,0.0
Bahrain,BHR,2005,0.0,0.0,0.0,0.0
Bahrain,BHR,2006,1.4440433,1.5523009,1.7383142,0.0
Bahrain,BHR,2007,1.3960826,1.6785283,1.6785283,0.0
Bahrain,BHR,2008,4.1116166,1.3053467,2.142857,0.0
Bahrain,BHR,2009,2.69629,0.0,2.0504198,0.0
Bahrain,BHR,2010,1.3228563,0.0,5.522116,0.0
Bahrain,BHR,2011,2.6578074,1.2015042,1.3748728,1.3748728
Bahrain,BHR,2012,3.8118472,1.2864549,0.0,0.0
Bahrain,BHR,2013,1.266015,0.0,0.0,0.0
Bahrain,BHR,2014,1.2629611,1.1134369,1.1134369,0.0
