Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Belarus,BLR,1981,5.6889133,,3.3679106,1.2124478
Belarus,BLR,1982,7.389849,,3.7430654,1.2031281
Belarus,BLR,1985,5.363036,,4.0621576,1.2895738
Belarus,BLR,1986,6.7289205,,4.0740976,1.3368133
Belarus,BLR,1987,5.907405,,3.4035044,1.2605572
Belarus,BLR,1988,6.03401,,3.4392197,1.3131566
Belarus,BLR,1989,5.4466233,,3.472007,0.89365506
Belarus,BLR,1990,5.66343,,3.5305047,0.88628304
Belarus,BLR,1991,3.9729836,,2.4525218,0.6917369
Belarus,BLR,1992,4.790264,,2.8029048,1.0192381
Belarus,BLR,1993,5.507573,,1.5145528,0.5706541
Belarus,BLR,1994,4.3343654,,1.3444474,0.2182453
Belarus,BLR,1995,4.1397786,,1.0621349,0.45520067
Belarus,BLR,1996,3.834172,,1.4069905,0.21353833
Belarus,BLR,1997,3.0776515,,1.1761938,0.25350684
Belarus,BLR,1998,3.90625,,0.99036646,0.3330558
Belarus,BLR,1999,3.5279806,,0.7843906,0.49024415
Belarus,BLR,2000,3.9833596,,1.0389091,0.51748264
Belarus,BLR,2001,2.983483,,1.1917479,0.49257928
Belarus,BLR,2002,3.555259,0.6766419,0.71693105,0.33832094
Belarus,BLR,2003,2.4689744,1.4826598,0.84723413,0.3504063
Belarus,BLR,2007,4.8009615,1.7480226,0.98494756,0.0
Belarus,BLR,2008,2.6475985,0.97328573,0.9705639,0.0
Belarus,BLR,2009,2.5417697,1.1617517,1.0561379,0.25642604
Belarus,BLR,2010,2.8344238,1.0520258,0.35618582,0.45335335
Belarus,BLR,2011,2.4297848,1.2387915,0.5811136,0.30969787
Belarus,BLR,2013,2.0041285,0.87766516,1.0727019,0.21290593
Belarus,BLR,2014,1.1229823,1.2281693,0.5668474,0.22262493
Belarus,BLR,2018,3.3948581,0.68012077,0.35158652,0.35774273
