Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Belgium,BEL,1954,3.576134,,4.7535467,0.9800719
Belgium,BEL,1955,5.7121797,,4.25737,0.6475286
Belgium,BEL,1956,6.071119,,4.4859014,0.56963825
Belgium,BEL,1957,4.5001607,,3.3931854,0.777605
Belgium,BEL,1958,6.5608788,,3.2183588,0.6996432
Belgium,BEL,1959,5.617147,,4.850669,0.5433517
Belgium,BEL,1960,7.6083837,,3.738699,0.7599939
Belgium,BEL,1961,5.8338075,,4.3152857,0.60683703
Belgium,BEL,1962,7.2825933,,5.2163444,0.6018859
Belgium,BEL,1963,7.2701354,,4.043216,0.861669
Belgium,BEL,1964,4.2480884,,4.1931467,1.1690779
Belgium,BEL,1965,6.4290705,,2.9833322,0.90797067
Belgium,BEL,1966,6.8813653,,3.548616,0.5719597
Belgium,BEL,1967,5.2881355,,3.4217832,0.19368584
Belgium,BEL,1968,6.41454,,3.701539,0.19481784
Belgium,BEL,1969,6.055819,,3.0177786,0.65005416
Belgium,BEL,1970,6.1126285,,3.2495522,0.663174
Belgium,BEL,1971,7.2062798,,3.4838536,0.60297465
Belgium,BEL,1972,5.3605614,,2.7802265,0.67239445
Belgium,BEL,1973,4.9467278,,3.3788443,1.172252
Belgium,BEL,1974,6.4459047,,2.0891366,0.48746517
Belgium,BEL,1975,6.4167085,,2.2423146,1.3465346
Belgium,BEL,1976,5.18856,,2.5927846,0.64987814
Belgium,BEL,1977,4.1057224,,1.8163929,0.60546434
Belgium,BEL,1978,5.4333763,,2.2161088,0.30567017
Belgium,BEL,1979,4.437273,1.2129613,2.4259226,0.29577047
Belgium,BEL,1980,4.6346784,1.975816,2.2919466,0.43725404
Belgium,BEL,1981,6.4040093,1.8556155,2.6508791,0.4418132
Belgium,BEL,1982,5.394662,1.3021894,1.986456,0.5697078
Belgium,BEL,1983,4.156514,2.2733474,1.7220172,0.18186778
Belgium,BEL,1984,2.4788568,1.650846,1.650846,0.3664346
Belgium,BEL,1985,3.8121378,1.390176,1.0194625,0.0
Belgium,BEL,1986,5.44,1.6024289,1.4337522,0.16450074
Belgium,BEL,1987,4.8551545,0.8411844,1.305118,0.46611354
Belgium,BEL,1988,2.9580936,1.1156564,0.5867069,0.41197473
Belgium,BEL,1989,2.6406999,1.0878661,1.0878661,0.42653018
Belgium,BEL,1990,2.134647,1.3022045,1.5033826,0.2790438
Belgium,BEL,1991,4.2290177,1.5787518,0.92867756,0.1685488
Belgium,BEL,1992,3.7240932,1.6620499,1.8213428,0.27700832
Belgium,BEL,1993,3.730738,1.2358903,1.1534976,0.18321729
Belgium,BEL,1994,2.777324,0.98627436,0.98627436,0.0
Belgium,BEL,1995,2.8099174,1.3969923,1.312336,0.3629764
Belgium,BEL,1996,3.843435,0.7403191,0.7268188,0.3243657
Belgium,BEL,1997,3.5222902,1.5461644,1.2345587,0.0
Belgium,BEL,1998,3.5171049,1.6443604,0.5788978,0.15944362
Belgium,BEL,1999,2.6538925,0.9150409,0.4592239,0.16026115
Belgium,BEL,2000,3.4326458,1.1733459,0.74114835,0.0
Belgium,BEL,2001,2.893193,0.591706,0.9298237,0.3297631
Belgium,BEL,2002,2.6932826,0.8486635,0.9379447,0.33414197
Belgium,BEL,2003,2.6746845,0.9499649,0.16878635,0.0
Belgium,BEL,2004,2.2101576,1.1180781,1.0320721,0.0
Belgium,BEL,2005,2.391166,1.4271483,1.3696578,0.21716093
Belgium,BEL,2006,2.5818028,1.1043181,0.8494755,0.3783744
Belgium,BEL,2007,2.448312,0.7585789,0.5900058,0.16920903
Belgium,BEL,2008,1.3158349,1.1153816,0.7501938,0.0
Belgium,BEL,2009,2.307691,1.1504718,0.5752359,0.0
Belgium,BEL,2010,2.3064477,1.1835332,0.73454994,0.19924287
Belgium,BEL,2011,1.7901897,1.7560146,0.4453847,0.0
Belgium,BEL,2012,2.2740192,1.4169992,0.3936109,0.0
Belgium,BEL,2013,1.1432005,1.3961952,0.77566403,0.15700288
Belgium,BEL,2014,2.1219883,1.1569299,0.23138596,0.15429717
Belgium,BEL,2015,1.2961196,1.361876,0.30819252,0.0
Belgium,BEL,2016,1.2791793,0.9330938,0.46095943,0.16965342
Belgium,BEL,2017,2.8312392,1.0217593,0.9265551,0.14967416
Belgium,BEL,2018,2.6181316,1.0874293,0.23302057,0.23302057
Belgium,BEL,2019,1.2073886,0.5476207,0.5105792,0.30054307
Belgium,BEL,2020,1.9299202,1.0441674,0.0,0.0
Belgium,BEL,2021,1.1736969,1.1981395,0.7188837,0.20725001
