Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Belize,BLZ,1964,0.0,,0.0,0.0
Belize,BLZ,1965,0.0,,0.0,0.0
Belize,BLZ,1966,0.0,,0.0,0.0
Belize,BLZ,1967,0.0,,0.0,0.0
Belize,BLZ,1968,0.0,,0.0,0.0
Belize,BLZ,1969,0.0,,0.0,0.0
Belize,BLZ,1970,5.93155,,5.543237,0.0
Belize,BLZ,1971,0.0,,0.0,0.0
Belize,BLZ,1972,0.0,,0.0,0.0
Belize,BLZ,1973,5.464481,,4.347826,0.0
Belize,BLZ,1974,0.0,,0.0,0.0
Belize,BLZ,1975,0.0,,0.0,0.0
Belize,BLZ,1976,0.0,,4.878049,0.0
Belize,BLZ,1977,0.0,,0.0,0.0
Belize,BLZ,1978,,,0.0,0.0
Belize,BLZ,1979,4.5454545,,0.0,0.0
Belize,BLZ,1980,0.0,,0.0,0.0
Belize,BLZ,1982,0.0,,0.0,0.0
Belize,BLZ,1983,4.9261084,,0.0,0.0
Belize,BLZ,1984,0.0,,0.0,0.0
Belize,BLZ,1986,0.0,,6.25,23.255814
Belize,BLZ,1987,0.0,,,
Belize,BLZ,1989,0.0,,0.0,0.0
Belize,BLZ,1990,0.0,,0.0,0.0
Belize,BLZ,1991,0.0,,3.8535645,0.0
Belize,BLZ,1993,0.0,,3.717472,0.0
Belize,BLZ,1994,0.0,,3.4570975,0.0
Belize,BLZ,1995,0.0,,3.5714285,0.0
Belize,BLZ,1996,0.0,,6.817562,0.0
Belize,BLZ,1997,7.0467196,0.0,5.2645435,3.3206043
Belize,BLZ,1998,6.9854355,0.0,3.1967266,0.0
Belize,BLZ,1999,0.0,3.4612856,13.451709,0.0
Belize,BLZ,2000,3.385355,2.9395337,6.7369556,0.0
Belize,BLZ,2001,3.2879596,3.3172996,6.634599,0.0
Belize,BLZ,2002,0.0,0.0,3.2777214,0.0
Belize,BLZ,2003,0.0,2.731942,2.731942,0.0
Belize,BLZ,2004,3.0167732,0.0,0.0,0.0
Belize,BLZ,2005,5.874233,3.235513,0.0,0.0
Belize,BLZ,2006,5.71037,2.8922632,0.0,0.0
Belize,BLZ,2007,0.0,0.0,2.5781834,0.0
Belize,BLZ,2008,0.0,0.0,0.0,0.0
Belize,BLZ,2009,2.6824033,0.0,7.9394484,0.0
Belize,BLZ,2010,2.6490066,0.0,3.2723584,0.0
Belize,BLZ,2011,7.8143315,0.0,5.2090116,0.0
Belize,BLZ,2012,10.291243,2.8935604,2.5595086,0.0
Belize,BLZ,2013,2.5512156,0.0,6.619886,0.0
Belize,BLZ,2014,2.5402632,0.0,0.0,0.0
Belize,BLZ,2015,2.5415545,0.0,0.0,2.6359491
Belize,BLZ,2016,2.5479655,0.0,0.0,0.0
Belize,BLZ,2017,0.0,6.390185,0.0,2.893309
Belize,BLZ,2018,2.5892649,0.0,0.0,0.0
Belize,BLZ,2019,5.2288947,0.0,3.181471,0.0
Belize,BLZ,2020,0.0,3.167765,3.167765,0.0
Belize,BLZ,2021,0.0,2.5702977,2.5702977,0.0
Belize,BLZ,2022,5.2435637,0.0,4.245834,0.0
