Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Bosnia and Herzegovina,BIH,1985,5.5089192,1.3912076,2.0064824,0.70546734
Bosnia and Herzegovina,BIH,1986,4.1983733,1.8090732,2.087392,0.56449336
Bosnia and Herzegovina,BIH,1987,6.3207793,1.396648,2.0949721,0.9248555
Bosnia and Herzegovina,BIH,1988,4.226096,1.8207283,1.9607843,0.77579516
Bosnia and Herzegovina,BIH,1989,3.4427967,1.9662921,2.1658416,0.9831461
Bosnia and Herzegovina,BIH,1990,2.3872678,1.5468992,1.1250175,0.31002945
Bosnia and Herzegovina,BIH,1991,2.3690445,1.072797,1.072797,0.7662835
Bosnia and Herzegovina,BIH,2011,0.36424962,1.5021782,1.2017425,0.55165416
Bosnia and Herzegovina,BIH,2014,1.5892314,0.98188907,0.7218184,0.0
Bosnia and Herzegovina,BIH,2016,2.087737,0.6323591,0.56821734,0.0
Bosnia and Herzegovina,BIH,2017,2.3850837,1.9348347,0.6591284,1.0989373
Bosnia and Herzegovina,BIH,2018,1.7355486,0.8550663,0.6816493,0.0
Bosnia and Herzegovina,BIH,2019,1.6811055,1.183509,0.0,0.0
Bosnia and Herzegovina,BIH,2020,2.7587576,2.371153,0.0,0.0
Bosnia and Herzegovina,BIH,2021,2.8082788,0.63883066,0.0,0.0
Bosnia and Herzegovina,BIH,2022,2.2556689,0.6568447,0.0,0.0
Bosnia and Herzegovina,BIH,2023,0.58465517,0.7763764,1.1417481,0.0
