Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Brazil,BRA,1979,3.2123587,,1.4992504,0.5094227
Brazil,BRA,1980,3.6464057,,1.739536,0.62081265
Brazil,BRA,1981,3.2785742,,1.6573837,0.60688585
Brazil,BRA,1982,3.3420181,,1.6747038,0.5421703
Brazil,BRA,1983,3.5742013,,1.736932,0.59110254
Brazil,BRA,1984,3.482604,,1.8266249,0.5396846
Brazil,BRA,1985,3.3206577,,1.5407023,0.5890068
Brazil,BRA,1986,3.4313662,,1.8643832,0.5364918
Brazil,BRA,1987,3.5524588,,1.4916834,0.4775634
Brazil,BRA,1988,2.903321,,1.3900714,0.47268024
Brazil,BRA,1989,2.849791,,1.3871264,0.4605148
Brazil,BRA,1990,3.0422647,,1.3917627,0.3848963
Brazil,BRA,1991,3.0288184,,1.4142259,0.42286757
Brazil,BRA,1992,3.0249445,,1.3577182,0.30640018
Brazil,BRA,1993,3.0029442,,1.2930477,0.3274968
Brazil,BRA,1994,3.1708162,,1.3282892,0.37180743
Brazil,BRA,1995,2.9086895,,1.312465,0.2767589
Brazil,BRA,1996,3.3270488,0.7746164,1.2405297,0.30012813
Brazil,BRA,1997,3.4363413,0.9159622,1.3624939,0.33203632
Brazil,BRA,1998,3.588867,0.95726657,1.4330338,0.37258878
Brazil,BRA,1999,3.4100204,0.9819977,1.3638858,0.30436185
Brazil,BRA,2000,3.5592685,1.0889279,1.316508,0.35145292
Brazil,BRA,2001,3.4629307,1.0873932,1.3787107,0.27112722
Brazil,BRA,2002,3.6299484,1.0518174,1.4082184,0.34770826
Brazil,BRA,2003,3.47164,1.0415211,1.4820523,0.30632973
Brazil,BRA,2004,3.7372782,1.1059518,1.3706743,0.2794293
Brazil,BRA,2005,3.5935397,1.1522107,1.3630533,0.2524173
Brazil,BRA,2006,3.8579862,1.1468626,1.372623,0.35820642
Brazil,BRA,2007,4.034966,1.0258974,1.3800763,0.23204823
Brazil,BRA,2008,3.7936544,1.1097226,1.3732042,0.27898055
Brazil,BRA,2009,3.9685993,1.121047,1.4611399,0.23932464
Brazil,BRA,2010,3.8940327,1.0168136,1.3845294,0.175864
Brazil,BRA,2011,3.7632236,1.1448913,1.4270599,0.22703226
Brazil,BRA,2012,4.0562263,1.1983598,1.6153234,0.2232561
Brazil,BRA,2013,3.605661,1.2776363,1.4269704,0.2522087
Brazil,BRA,2014,3.6979642,1.3067789,1.3737932,0.19099076
Brazil,BRA,2015,4.066051,1.1491264,1.3383943,0.21630615
Brazil,BRA,2016,3.773931,1.1227976,1.5705597,0.2170968
Brazil,BRA,2017,3.5300293,1.2937304,1.3482033,0.204531
Brazil,BRA,2018,3.6856792,1.1442298,1.4174787,0.19810545
Brazil,BRA,2019,3.8575118,1.2099332,1.4110206,0.15921444
Brazil,BRA,2020,3.587098,1.0317464,1.2312174,0.16507943
Brazil,BRA,2021,3.556913,1.2106732,1.4266119,0.176999
