Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Brunei,BRN,1996,6.8970275,0.0,2.9884646,0.0
Brunei,BRN,1997,3.3729088,3.131851,2.9257731,0.0
Brunei,BRN,1998,9.828976,0.0,3.1311154,0.0
Brunei,BRN,1999,6.3471913,0.0,2.8628685,0.0
Brunei,BRN,2000,0.0,3.178084,3.178084,0.0
Brunei,BRN,2001,0.0,3.633853,0.0,0.0
Brunei,BRN,2002,3.115265,0.0,0.0,0.0
Brunei,BRN,2003,12.46106,2.8735633,0.0,0.0
Brunei,BRN,2004,2.967359,0.0,2.9069767,0.0
Brunei,BRN,2005,2.915452,3.5893755,0.0,0.0
Brunei,BRN,2006,5.6657224,3.548616,3.548616,0.0
Brunei,BRN,2007,5.7449803,0.0,3.8470416,0.0
Brunei,BRN,2008,0.0,5.79811,0.0,0.0
Brunei,BRN,2009,0.0,0.0,0.0,0.0
Brunei,BRN,2010,0.0,3.1191516,0.0,0.0
Brunei,BRN,2011,2.8169014,5.586592,15.941336,0.0
Brunei,BRN,2012,0.0,5.1282053,16.666666,0.0
Brunei,BRN,2013,5.7496047,0.0,13.627691,0.0
Brunei,BRN,2014,2.9121406,0.0,3.4309437,0.0
Brunei,BRN,2015,2.9543843,0.0,12.924907,0.0
Brunei,BRN,2016,2.8044198,13.266705,5.7035303,0.0
Brunei,BRN,2017,3.0959752,5.6146636,4.277345,0.0
Brunei,BRN,2018,0.0,17.930826,0.0,0.0
Brunei,BRN,2019,0.0,0.0,0.0,3.7155383
