Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Bulgaria,BGR,1964,7.0851636,,4.834996,0.69071376
Bulgaria,BGR,1965,4.7435517,,4.577902,1.241465
Bulgaria,BGR,1966,7.650434,,4.204625,1.2458148
Bulgaria,BGR,1967,6.1782875,,5.2025857,1.1824058
Bulgaria,BGR,1968,6.379822,,3.0815284,1.1445677
Bulgaria,BGR,1969,6.443878,,3.8491752,0.8818342
Bulgaria,BGR,1970,6.5230584,,2.737369,1.1731582
Bulgaria,BGR,1971,5.2283564,,2.8127198,1.4063599
Bulgaria,BGR,1972,5.2827845,,2.3459494,0.9557738
Bulgaria,BGR,1973,6.4283476,,2.6157467,1.6369164
Bulgaria,BGR,1974,5.544994,,2.3855329,0.6065332
Bulgaria,BGR,1975,7.7745385,,3.7611299,1.0746086
Bulgaria,BGR,1976,7.081925,,2.861446,0.6741952
Bulgaria,BGR,1977,7.867563,,3.7845058,0.81626594
Bulgaria,BGR,1978,7.754496,,3.18731,0.96360534
Bulgaria,BGR,1979,6.1949787,,3.2806442,0.74571216
Bulgaria,BGR,1980,5.9237914,0.9934597,3.4405384,1.2418246
Bulgaria,BGR,1981,7.2315674,2.030075,2.7067668,0.97744364
Bulgaria,BGR,1982,6.033416,1.7368977,3.7003474,0.91491306
Bulgaria,BGR,1983,5.6984444,2.126044,3.0372057,0.22779043
Bulgaria,BGR,1984,6.469501,2.1475687,4.5252337,1.0110371
Bulgaria,BGR,1985,6.0340924,2.4084377,3.571132,0.66439664
Bulgaria,BGR,1986,5.2806277,1.4951408,2.4919014,0.2763958
Bulgaria,BGR,1987,5.878895,2.4396193,2.6835814,0.5692445
Bulgaria,BGR,1988,4.672215,1.6408386,2.3701003,0.8204193
Bulgaria,BGR,1989,5.898835,1.9272666,2.5138261,0.7541478
Bulgaria,BGR,1990,5.4184227,1.790434,1.2788814,0.5968113
Bulgaria,BGR,1991,5.2404437,1.7412503,2.1765628,1.2188752
Bulgaria,BGR,1992,4.986702,2.2898579,1.9082148,0.54605025
Bulgaria,BGR,1993,4.9666038,1.6219723,1.6830016,0.18559761
Bulgaria,BGR,1994,5.2511816,1.6334865,2.143951,0.66785395
Bulgaria,BGR,1995,4.997323,1.4942529,2.7527792,0.4597701
Bulgaria,BGR,1996,5.253623,1.3227513,2.2045856,0.7174459
Bulgaria,BGR,1997,5.688073,1.6136469,1.9594283,0.4996877
Bulgaria,BGR,1998,4.276683,1.1806376,2.4207213,0.5247278
Bulgaria,BGR,1999,5.088579,1.7717034,1.8982536,0.4153399
Bulgaria,BGR,2000,3.4510856,0.72346336,1.1874566,0.5787707
Bulgaria,BGR,2001,4.578955,1.000586,1.8582313,0.62232596
Bulgaria,BGR,2002,3.9380116,1.1395417,1.6176114,0.38646296
Bulgaria,BGR,2003,4.571787,0.7515836,1.3528504,0.333245
Bulgaria,BGR,2004,3.9302633,1.5221951,1.6744146,0.67729914
Bulgaria,BGR,2005,4.7083898,1.6753072,1.0191914,0.45690197
Bulgaria,BGR,2006,3.7067535,1.6621511,2.194656,0.33763936
Bulgaria,BGR,2007,3.0986352,2.0812366,1.1892781,0.49862546
Bulgaria,BGR,2008,4.4869742,1.6246585,1.1372609,0.3009184
Bulgaria,BGR,2009,3.7221882,1.4255025,1.1177217,0.9580471
Bulgaria,BGR,2010,4.0739837,1.12641,0.4714157,0.29527095
Bulgaria,BGR,2011,1.9015685,1.3030844,1.4469128,0.60395956
Bulgaria,BGR,2012,3.8195577,1.4907573,0.5119889,0.616216
Bulgaria,BGR,2013,1.8898649,2.1495514,0.81935245,0.49161148
Bulgaria,BGR,2014,3.1442041,1.4678564,0.48928547,1.5154845
Bulgaria,BGR,2015,2.8395512,1.4637169,0.9715518,0.3252704
Bulgaria,BGR,2016,2.507491,0.97486633,0.7256069,0.32495543
Bulgaria,BGR,2017,2.1585019,1.4740523,0.91181254,0.0
Bulgaria,BGR,2018,2.7204468,1.3096098,0.8904918,0.0
Bulgaria,BGR,2019,3.5467753,1.8226526,0.45098135,0.0
Bulgaria,BGR,2020,2.3202798,0.67152965,1.0034959,0.0
Bulgaria,BGR,2021,2.8691235,0.9266395,0.7721996,0.39594394
Bulgaria,BGR,2022,1.5425148,1.3540251,0.7481082,0.8673309
