Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Canada,CAN,1950,5.708679,,4.3515215,0.5779364
Canada,CAN,1951,6.0240965,,4.0149035,0.5781461
Canada,CAN,1952,5.7813296,,3.8229127,0.98655814
Canada,CAN,1953,5.4573593,,4.7517223,1.336422
Canada,CAN,1954,5.2034793,,4.081283,0.8562133
Canada,CAN,1955,5.029214,,3.714832,0.8467632
Canada,CAN,1956,6.1341143,,3.904292,1.1079748
Canada,CAN,1957,5.8610473,,4.0522976,1.0959044
Canada,CAN,1958,6.140351,,3.763097,0.56569433
Canada,CAN,1959,4.923151,,4.9333396,0.7046452
Canada,CAN,1960,5.9963098,,4.055456,0.707347
Canada,CAN,1961,5.926724,,3.9207547,0.6688346
Canada,CAN,1962,6.522987,,3.9642758,0.5695799
Canada,CAN,1963,4.885496,,4.6679444,0.789266
Canada,CAN,1964,5.039166,,4.54688,0.73914796
Canada,CAN,1965,5.5392156,,4.314006,0.7599803
Canada,CAN,1966,5.58846,,3.7126787,0.35570574
Canada,CAN,1967,5.5811357,,3.9609308,0.7373181
Canada,CAN,1968,5.397315,,4.0819135,0.66503084
Canada,CAN,1969,5.854697,,4.033771,0.58630395
Canada,CAN,1970,6.415292,,3.991152,0.6251202
Canada,CAN,1971,5.4037695,,3.9022236,0.515388
Canada,CAN,1972,5.629566,,4.170458,0.6824386
Canada,CAN,1973,4.7397413,,3.4136808,0.44299674
Canada,CAN,1974,5.2837906,,2.7297542,0.56200826
Canada,CAN,1975,4.321965,,3.3927984,0.57310045
Canada,CAN,1976,4.3505807,,2.6197808,0.6481932
Canada,CAN,1977,4.617056,,3.1649961,0.3331575
Canada,CAN,1978,5.0308495,,2.291783,0.4471772
Canada,CAN,1979,3.8842688,0.729927,2.723189,0.30881527
Canada,CAN,1980,3.967436,1.1518148,2.3879087,0.5899539
Canada,CAN,1981,4.893794,1.0111791,1.8819168,0.3370597
Canada,CAN,1982,3.8057086,1.3380666,1.7476789,0.27339002
Canada,CAN,1983,3.5807815,1.2272334,2.2592251,0.25102502
Canada,CAN,1984,3.6970587,1.2151339,1.8227009,0.2773754
Canada,CAN,1985,4.0818577,0.9887394,1.9500138,0.3021148
Canada,CAN,1986,3.0781286,1.2204593,1.6920004,0.38832796
Canada,CAN,1987,3.8579814,1.2380323,1.7882689,0.13755915
Canada,CAN,1988,3.6832414,1.1445701,1.4443384,0.18209961
Canada,CAN,1989,2.6526666,0.89416355,1.3547933,0.21088149
Canada,CAN,1990,3.500328,0.91231084,1.2074702,0.24149404
Canada,CAN,1991,3.088392,0.8389042,0.969983,0.15735641
Canada,CAN,1992,3.25346,1.1157885,0.88755894,0.19747792
Canada,CAN,1993,2.953608,0.80632967,0.9071209,0.1397663
Canada,CAN,1994,3.1226392,0.834771,0.80367684,0.20241891
Canada,CAN,1995,2.74547,0.6657974,0.7767637,0.1387078
Canada,CAN,1996,2.9862633,1.0294523,1.166116,0.10043438
Canada,CAN,1997,2.4769642,1.1586318,0.8311924,0.110680684
Canada,CAN,1998,1.7337109,0.7867391,0.88825387,0.3321368
Canada,CAN,1999,2.4657216,0.77094644,0.8737393,0.04845804
Canada,CAN,2000,1.9992237,0.7051324,0.6267844,0.09771355
Canada,CAN,2001,2.1167443,1.0063895,0.79451805,0.116159834
Canada,CAN,2002,1.995002,0.7795328,0.672011,0.1507762
Canada,CAN,2003,1.8854895,0.6297935,0.7368682,0.14995085
Canada,CAN,2004,2.4508002,0.9379983,0.66211647,0.05210363
Canada,CAN,2005,2.0404937,1.0035845,0.61330163,0.089972764
Canada,CAN,2006,1.8130065,1.0095946,0.56088585,0.12466178
Canada,CAN,2007,2.1819959,0.75406736,0.5027116,0.062296487
Canada,CAN,2008,1.7333245,0.69212544,0.7198105,0.15481505
Canada,CAN,2009,2.2275288,0.8487677,0.6844901,0.061331633
Canada,CAN,2010,1.7031529,0.86653614,0.5686643,0.0
Canada,CAN,2011,2.1279755,0.7213504,0.42746687,0.0551106
Canada,CAN,2012,1.9885335,0.9523331,0.21162958,0.10897045
Canada,CAN,2013,2.962676,0.89091575,0.6026783,0.058160417
Canada,CAN,2014,2.2469673,0.82921815,0.48720554,0.20061405
Canada,CAN,2015,2.4237201,1.2037241,0.46100074,0.15320756
Canada,CAN,2016,2.4511292,0.99808395,0.5370739,0.056534097
Canada,CAN,2017,1.521515,0.76464254,0.6372021,0.08460473
Canada,CAN,2018,1.7012546,0.98882353,0.5831523,0.0
Canada,CAN,2019,2.1341321,0.6818003,0.47978538,0.10099791
Canada,CAN,2020,2.0675724,0.8562252,0.3777464,0.0
Canada,CAN,2021,1.7433604,0.7522334,0.47418973,0.055787027
Canada,CAN,2022,2.2301285,0.97527087,0.4251181,0.0
