Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Chile,CHL,1955,4.025974,,1.7708334,0.64327484
Chile,CHL,1956,4.810127,,2.1838496,0.22818026
Chile,CHL,1957,4.0740743,,2.4740229,0.7422068
Chile,CHL,1958,4.347826,,2.4709303,0.62984496
Chile,CHL,1959,5.9031878,,2.6041667,0.5681818
Chile,CHL,1960,3.9301815,,2.734013,0.78776646
Chile,CHL,1961,3.3662477,,3.238575,0.8996042
Chile,CHL,1962,4.8314486,,2.905441,0.6603275
Chile,CHL,1963,4.289544,,3.0950437,0.62756455
Chile,CHL,1964,4.277963,,2.5933826,0.7529175
Chile,CHL,1965,5.0473185,,3.6664743,0.88876414
Chile,CHL,1966,3.8998358,,3.583652,1.0469096
Chile,CHL,1967,4.710363,,3.3074772,0.9449935
Chile,CHL,1968,8.044737,,3.0445507,0.8863882
Chile,CHL,1969,4.5733104,,3.8229613,0.90647537
Chile,CHL,1970,5.1059484,,3.0609367,1.167989
Chile,CHL,1971,5.9757404,,3.1109161,1.1167392
Chile,CHL,1972,5.341506,,3.0542722,1.2138773
Chile,CHL,1973,5.417491,,3.3075652,0.9230414
Chile,CHL,1974,4.975537,,3.344901,0.96756357
Chile,CHL,1975,4.187192,,2.7295284,1.4061208
Chile,CHL,1976,4.0562916,,2.9723127,1.3436482
Chile,CHL,1977,5.602007,,2.983871,1.2903225
Chile,CHL,1978,5.0675673,,2.8286853,1.0756972
Chile,CHL,1979,4.691296,,3.3654644,1.3711152
Chile,CHL,1980,4.814189,,2.5925925,0.86419755
Chile,CHL,1981,6.377551,,2.6005688,0.5688744
Chile,CHL,1982,3.5132818,,2.0449078,0.96230954
Chile,CHL,1983,4.4625034,,2.607077,1.0829974
Chile,CHL,1984,4.583982,,1.9801211,1.1259513
Chile,CHL,1985,4.269569,,2.6410472,0.77243274
Chile,CHL,1986,4.6646295,,2.362333,0.8553275
Chile,CHL,1987,4.078751,,2.184794,0.6674082
Chile,CHL,1988,3.6697247,,2.1603808,0.61730933
Chile,CHL,1989,4.1107383,,2.1528525,0.52370787
Chile,CHL,1990,3.5361843,,2.4078803,0.5107625
Chile,CHL,1991,3.7698739,,2.601532,0.56638885
Chile,CHL,1992,3.568532,,1.695514,0.59453034
Chile,CHL,1993,4.3366528,,1.4410235,0.31632224
Chile,CHL,1994,4.0341716,,2.0865211,0.24342746
Chile,CHL,1995,4.368064,,1.8794473,0.27077293
Chile,CHL,1996,3.403591,,1.7720935,0.17373465
Chile,CHL,1997,4.0177555,0.5387618,1.4645572,0.3078639
Chile,CHL,1998,3.215077,0.69577724,1.8274893,0.30923432
Chile,CHL,1999,3.8064787,0.46176168,1.633926,0.24864091
Chile,CHL,2000,3.4679093,0.78779453,1.4027026,0.23633836
Chile,CHL,2001,3.072308,1.0843208,1.2098025,0.24096018
Chile,CHL,2002,4.767594,0.6349218,1.5312821,0.2048111
Chile,CHL,2003,3.0174932,0.62742317,1.4081596,0.19029185
Chile,CHL,2004,3.6232502,0.7694106,1.4351577,0.11636413
Chile,CHL,2005,1.9204811,0.6543401,1.1446787,0.23683007
Chile,CHL,2006,2.2861924,0.51974905,1.4393051,0.0
Chile,CHL,2007,2.8877428,0.60564095,1.5746665,0.17940083
Chile,CHL,2008,3.2382255,0.609921,1.423149,0.08023628
Chile,CHL,2009,3.0936196,0.6536677,1.3890438,0.16265373
Chile,CHL,2010,2.5610683,0.9835509,1.3114012,0.27452153
Chile,CHL,2011,3.002804,0.8994916,1.0221496,0.13691984
Chile,CHL,2012,3.5366182,0.36419937,1.3874447,0.24924292
Chile,CHL,2013,3.601452,0.90709776,1.7095054,0.0
Chile,CHL,2014,2.9218338,1.308575,1.6631943,0.2256164
Chile,CHL,2015,3.2719648,0.7277853,1.0108129,0.08117147
Chile,CHL,2016,4.017236,1.1709677,1.3728588,0.17875098
Chile,CHL,2017,2.2868736,0.7275143,0.6870969,0.07980604
Chile,CHL,2018,3.4846961,0.8476731,1.0138808,0.13384312
Chile,CHL,2019,2.8947215,1.3464338,1.1016276,0.10364585
Chile,CHL,2020,2.7207923,0.78251195,1.3098062,0.0
Chile,CHL,2021,2.9387727,0.83542293,1.1472932,0.07933202
Chile,CHL,2022,2.4527276,1.0160089,1.2700112,0.0
