Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Colombia,COL,1953,1.4978307,,0.6584232,0.16120218
Colombia,COL,1954,1.7627624,,0.7923625,0.20707154
Colombia,COL,1955,2.446281,,0.92934406,0.49048713
Colombia,COL,1956,2.2613902,,1.3245378,0.56042236
Colombia,COL,1957,1.5815778,,1.2350863,0.5330341
Colombia,COL,1958,2.50173,,1.1695666,0.41037425
Colombia,COL,1959,2.5274668,,1.0339617,0.5965164
Colombia,COL,1960,2.9989505,,1.579931,0.46241882
Colombia,COL,1961,3.1483097,,1.2323319,0.56015086
Colombia,COL,1962,3.3793297,,1.5921263,0.7236937
Colombia,COL,1963,3.774958,,1.560418,0.6662459
Colombia,COL,1964,3.8780186,,1.936536,0.8493579
Colombia,COL,1965,3.8962152,,0.0,0.0
Colombia,COL,1966,4.004505,,1.92985,0.93276083
Colombia,COL,1967,4.3891735,,2.3032088,0.96521705
Colombia,COL,1968,4.077109,,2.0760822,0.8395921
Colombia,COL,1969,3.5467827,,2.0663922,0.80277103
Colombia,COL,1972,4.8719773,,2.3030105,0.6168778
Colombia,COL,1974,4.522088,,2.1592975,0.80444413
Colombia,COL,1975,4.121387,,2.358358,0.6637295
Colombia,COL,1976,3.6575043,,2.584222,0.6778287
Colombia,COL,1977,4.270501,,2.2622848,0.51990396
Colombia,COL,1984,4.1379747,,2.3730154,1.0587362
Colombia,COL,1985,4.7003527,,2.903962,0.7882182
Colombia,COL,1986,4.662993,,2.8975303,0.75823224
Colombia,COL,1987,4.4512563,,2.8455484,0.58672094
Colombia,COL,1988,4.247331,,2.1371324,0.49700752
Colombia,COL,1989,4.350588,,2.4516513,0.5772203
Colombia,COL,1990,4.1152177,,2.332399,0.43961444
Colombia,COL,1991,4.344217,,2.3576605,0.5319849
Colombia,COL,1992,4.011124,,2.390951,0.5340195
Colombia,COL,1993,4.4993477,,2.3518965,0.48191482
Colombia,COL,1994,5.162144,,2.3650215,0.5466884
Colombia,COL,1995,3.9487062,,2.0596254,0.53526986
Colombia,COL,1996,4.4466095,,2.1547964,0.4263501
Colombia,COL,1997,4.2917166,0.538596,2.2002218,0.5042175
Colombia,COL,1998,4.3593516,0.7428578,2.022859,0.48234326
Colombia,COL,1999,4.56734,0.7987263,2.5559242,0.53628767
Colombia,COL,2000,4.374083,0.85509247,2.439864,0.5293506
Colombia,COL,2001,4.605871,0.6524712,2.2321382,0.37774646
Colombia,COL,2002,4.3308372,0.66609454,2.25094,0.59715676
Colombia,COL,2003,4.479509,0.6341164,2.0522313,0.45974082
Colombia,COL,2004,4.013902,0.92826647,2.0189795,0.3364966
Colombia,COL,2005,4.508288,0.6440786,2.0259202,0.43328926
Colombia,COL,2006,4.046112,0.80263186,2.0655968,0.3541023
Colombia,COL,2007,4.601333,0.8000344,1.9105299,0.46168897
Colombia,COL,2008,3.9161234,0.67815244,2.2282152,0.3469729
Colombia,COL,2009,4.980832,0.9092608,1.8922454,0.34404463
Colombia,COL,2010,4.2940392,0.8101441,1.7947807,0.2492751
Colombia,COL,2011,4.855585,0.68529415,1.8528323,0.26650327
Colombia,COL,2012,3.96865,0.73504114,2.024587,0.25790918
Colombia,COL,2013,4.275627,0.6931354,2.2886546,0.46242407
Colombia,COL,2014,5.255648,0.807397,1.9721665,0.27795637
Colombia,COL,2015,3.7671535,1.0014609,1.8827466,0.28040907
Colombia,COL,2016,4.415292,0.7504668,1.7555563,0.29482627
Colombia,COL,2017,4.376246,0.8719875,2.2135067,0.26830384
Colombia,COL,2018,4.3947,0.72425854,1.8911195,0.2682439
Colombia,COL,2019,4.671917,0.9263298,1.8123844,0.20137604
Colombia,COL,2020,4.982593,0.80926263,1.7803777,0.25626647
Colombia,COL,2021,4.455589,0.9318012,1.9311242,0.3599603
