Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Costa Rica,CRI,1961,5.5012226,,2.217295,1.4781966
Costa Rica,CRI,1962,2.9533372,,2.909998,1.662856
Costa Rica,CRI,1963,5.134056,,3.6130068,1.1428572
Costa Rica,CRI,1964,7.717751,,3.1037827,0.875082
Costa Rica,CRI,1965,7.450772,,3.367712,1.6866567
Costa Rica,CRI,1966,10.659899,,3.4779425,1.2813473
Costa Rica,CRI,1967,4.366812,,3.4050179,0.71684587
Costa Rica,CRI,1968,6.5207267,,4.108785,0.78262573
Costa Rica,CRI,1969,5.7958093,,2.415459,1.525844
Costa Rica,CRI,1970,6.4377685,,4.761095,1.1902738
Costa Rica,CRI,1971,7.809289,,2.80667,0.54426706
Costa Rica,CRI,1972,4.396483,,2.8414135,0.8879418
Costa Rica,CRI,1973,2.8787334,,3.6784992,0.6973501
Costa Rica,CRI,1974,5.9649124,,4.303389,1.434463
Costa Rica,CRI,1975,6.5449533,,1.3910624,0.9569378
Costa Rica,CRI,1976,6.0321717,,3.3823779,0.7446016
Costa Rica,CRI,1977,6.367041,,3.82263,0.7898894
Costa Rica,CRI,1978,9.8468275,,2.233805,0.63993174
Costa Rica,CRI,1979,6.4400716,,4.5653763,0.9130752
Costa Rica,CRI,1980,6.9204154,,1.4010508,0.5976096
Costa Rica,CRI,1981,8.191126,,3.1088083,0.39215687
Costa Rica,CRI,1982,5.685619,,2.866779,0.35211268
Costa Rica,CRI,1983,4.6132007,,3.3995347,1.0162601
Costa Rica,CRI,1984,7.1994243,,3.5931885,0.67658997
Costa Rica,CRI,1985,4.398827,,2.9385836,0.9874918
Costa Rica,CRI,1986,5.005363,,1.5763829,0.67069083
Costa Rica,CRI,1987,7.172131,,3.0112236,0.3203075
Costa Rica,CRI,1988,4.6542554,,2.2654583,0.9357455
Costa Rica,CRI,1989,1.8575852,,1.9762846,0.0
Costa Rica,CRI,1990,6.3063064,,2.7124774,0.30807146
Costa Rica,CRI,1991,4.385965,,1.0191083,0.26595744
Costa Rica,CRI,1992,5.7110224,,2.5059516,0.4191115
Costa Rica,CRI,1993,3.9226675,,1.7307454,0.6886104
Costa Rica,CRI,1994,3.8514442,,2.4479804,0.0
Costa Rica,CRI,1995,5.1400666,,1.5891935,0.26486558
Costa Rica,CRI,1996,3.6022685,,1.8015335,0.5311119
Costa Rica,CRI,1997,4.0055976,0.39878026,2.7661188,0.23582847
Costa Rica,CRI,1998,5.8654037,2.052669,2.4149048,0.30696598
Costa Rica,CRI,1999,3.8363876,0.6010362,1.9469173,0.26907507
Costa Rica,CRI,2000,3.5525494,0.8163576,1.7687749,0.23988926
Costa Rica,CRI,2001,4.4661746,0.9941111,1.7396945,0.0
Costa Rica,CRI,2002,4.4580116,1.3532166,2.0832465,0.0
Costa Rica,CRI,2003,2.8238616,0.98666734,1.1276197,0.32978377
Costa Rica,CRI,2004,5.20805,1.6919351,1.3014885,0.0
Costa Rica,CRI,2005,3.8163114,1.1636025,1.5999534,1.0108387
Costa Rica,CRI,2006,3.8435023,0.76939845,1.879356,0.5918622
Costa Rica,CRI,2007,2.665497,1.0514599,1.3592589,0.60083425
Costa Rica,CRI,2008,3.6720157,1.3323562,1.3699964,0.4566655
Costa Rica,CRI,2009,2.4783454,0.9703543,1.232772,0.308193
Costa Rica,CRI,2010,4.026616,0.9344979,1.9572344,0.6911041
Costa Rica,CRI,2011,5.379484,1.0926198,0.840102,0.56150913
Costa Rica,CRI,2012,4.180493,1.2507915,1.1219788,0.0
Costa Rica,CRI,2013,4.5357647,1.2635853,1.6847804,0.0
Costa Rica,CRI,2014,3.5373669,0.8425842,1.2638763,0.34970048
Costa Rica,CRI,2015,4.1457424,1.9755651,1.5450436,0.0
Costa Rica,CRI,2016,5.863105,0.84226483,1.4037747,0.4677312
Costa Rica,CRI,2017,3.3690262,1.2642509,2.1816742,0.34986198
Costa Rica,CRI,2018,3.6572123,1.1257205,1.5592378,0.46777132
Costa Rica,CRI,2019,7.7871733,1.0823596,1.4995376,0.3381371
Costa Rica,CRI,2020,3.6577783,1.7239515,1.7239515,0.0
Costa Rica,CRI,2021,6.4580617,0.55934983,0.6302935,0.31514674
Costa Rica,CRI,2022,2.2403505,0.63449866,0.63449866,0.0
