Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Croatia,HRV,1985,4.632489,1.2158054,1.1776582,0.3022061
Croatia,HRV,1986,2.4494796,1.3486177,3.3603177,0.67430884
Croatia,HRV,1987,0.6055101,1.0405828,2.2064617,1.0264306
Croatia,HRV,1988,5.4298644,1.2576638,1.2576638,0.7682458
Croatia,HRV,1989,5.40054,2.0796673,1.2797953,0.47992322
Croatia,HRV,1990,2.085195,1.9572663,2.2834773,0.53850293
Croatia,HRV,1991,2.3745918,1.6647245,1.8791946,1.572327
Croatia,HRV,1992,2.9708853,0.9995003,2.0153902,0.6295247
Croatia,HRV,1993,3.5682425,0.91692644,0.8336112,0.8775779
Croatia,HRV,1994,3.270889,1.8345563,0.6671114,0.7087172
Croatia,HRV,1995,2.1084337,1.3074337,1.6809862,0.37355247
Croatia,HRV,1996,3.4755135,1.3307985,1.3855213,0.73340666
Croatia,HRV,1997,3.7255511,1.3155422,1.3155422,0.37586918
Croatia,HRV,1998,1.8927444,1.3831259,0.8644537,2.1231422
Croatia,HRV,1999,3.425724,1.1248593,0.9702458,0.32341528
Croatia,HRV,2000,3.8948393,2.1475985,0.67430884,0.4638219
Croatia,HRV,2001,3.350907,1.8516613,1.128393,0.0
Croatia,HRV,2002,2.6355422,2.0590253,0.9151224,0.53908354
Croatia,HRV,2003,3.0710173,1.1652296,1.0665529,0.0
Croatia,HRV,2004,2.7152832,1.6682554,1.3077594,0.8718396
Croatia,HRV,2005,2.7556233,1.7631125,0.97307026,0.0
Croatia,HRV,2006,2.375156,0.9915151,1.2393938,0.49575755
Croatia,HRV,2007,1.1752999,1.2712231,0.7627338,1.1118565
Croatia,HRV,2008,1.5677667,1.5586966,1.2989138,0.0
Croatia,HRV,2009,3.5541935,1.8354831,0.5902526,0.0
Croatia,HRV,2010,1.2010521,1.8979384,0.79576653,1.181314
Croatia,HRV,2011,1.656994,2.117545,0.79407936,0.0
Croatia,HRV,2012,0.44869205,1.9612073,1.0645801,0.49030182
Croatia,HRV,2013,3.2759573,2.3937933,0.7954521,0.0
Croatia,HRV,2014,4.347742,0.47711518,0.7942286,0.0
Croatia,HRV,2015,3.9227607,0.5354208,1.6062623,0.95150197
Croatia,HRV,2016,2.9737272,0.98634166,2.0330493,0.0
Croatia,HRV,2017,2.5110233,1.9361994,1.6595995,0.0
Croatia,HRV,2018,2.450548,1.9229554,1.5032357,0.0
Croatia,HRV,2019,2.4817467,1.4417448,1.6355369,0.0
Croatia,HRV,2020,0.99143404,1.1785191,0.6875688,0.0
Croatia,HRV,2021,1.0212575,1.5477624,0.7098895,0.5489077
