Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Cuba,CUB,1964,5.1671267,,2.664012,0.75087345
Cuba,CUB,1968,7.350193,,3.7115023,1.6399661
Cuba,CUB,1969,3.8897762,,2.8784604,1.693212
Cuba,CUB,1970,5.5343747,,3.6196396,1.7487475
Cuba,CUB,1971,5.8083253,,3.4774594,1.3407072
Cuba,CUB,1972,5.639913,,3.3554232,1.5518832
Cuba,CUB,1973,5.6,,3.236654,1.5552753
Cuba,CUB,1974,6.05116,,3.2288215,1.7481692
Cuba,CUB,1975,5.478261,,2.6609666,1.7885185
Cuba,CUB,1976,5.7708874,,2.6793432,1.5522107
Cuba,CUB,1977,6.1120543,,2.6427963,1.6197784
Cuba,CUB,1978,4.6296296,,2.195019,1.3327206
Cuba,CUB,1979,5.18884,,3.371869,1.5521301
Cuba,CUB,1980,4.9235992,,2.457265,1.4423077
Cuba,CUB,1981,6.5520763,,2.8375628,1.3384731
Cuba,CUB,1982,4.218697,,1.9111323,1.1148272
Cuba,CUB,1983,4.259584,,2.7325275,1.4376078
Cuba,CUB,1984,5.1759834,,2.2982635,1.4991434
Cuba,CUB,1985,5.3256097,,2.2182786,1.6300496
Cuba,CUB,1986,4.356693,,2.6413434,0.92290217
Cuba,CUB,1987,5.6392903,,1.9540155,1.2458776
Cuba,CUB,1988,3.4186454,,1.7553759,1.2538399
Cuba,CUB,1989,5.2173915,,1.8518518,0.67901236
Cuba,CUB,1990,4.1388516,,2.286402,1.3237064
Cuba,CUB,1991,4.001067,,1.6591452,1.185115
Cuba,CUB,1992,5.5540504,,2.1798043,0.5891363
Cuba,CUB,1993,3.3697264,,2.50577,1.0596339
Cuba,CUB,1994,4.1075926,,2.0099313,0.85084105
Cuba,CUB,1995,4.405857,,2.2064524,0.71560615
Cuba,CUB,1996,4.4130626,,2.1168501,0.9318424
Cuba,CUB,1997,4.0462894,,1.6858374,0.9365763
Cuba,CUB,1998,4.6190524,,2.5283077,1.3249781
Cuba,CUB,1999,5.646729,,1.6706849,0.2861124
Cuba,CUB,2000,5.1287723,1.1810117,1.7715175,0.7873411
Cuba,CUB,2001,4.494418,0.8876948,2.1452625,0.9616693
Cuba,CUB,2002,4.385237,1.6127743,1.6799731,0.9014694
Cuba,CUB,2003,4.942708,0.8902482,2.4653025,0.8331314
Cuba,CUB,2004,3.4867322,1.6833626,2.228749,0.61213183
Cuba,CUB,2005,3.8733392,1.061095,1.5562727,0.6188047
Cuba,CUB,2006,4.61341,0.6345218,1.6696393,0.47589135
Cuba,CUB,2007,4.37048,1.2196103,1.7887619,0.5691515
Cuba,CUB,2008,3.278514,1.3333867,1.8235308,0.25001
Cuba,CUB,2009,4.7883873,1.4736781,1.6288022,0.2562009
Cuba,CUB,2010,5.3853865,0.78901565,1.6569328,1.0468153
Cuba,CUB,2011,3.923283,1.2778236,1.9965994,0.3194559
Cuba,CUB,2012,3.8590117,1.5223548,1.8472619,0.31725335
Cuba,CUB,2013,2.7806602,1.2601669,1.5284653,0.4500596
Cuba,CUB,2014,4.1992044,1.4499221,2.1748831,0.60515594
Cuba,CUB,2015,3.9893148,1.5406128,1.5364076,0.45312142
Cuba,CUB,2016,4.7061777,1.168804,1.8531066,0.44954002
Cuba,CUB,2017,3.3595645,0.53886276,1.347157,0.7184837
Cuba,CUB,2018,3.5795872,0.99096775,1.6215836,0.5405279
Cuba,CUB,2019,4.94216,0.90483165,1.8164779,0.20769985
Cuba,CUB,2020,4.139731,0.81937814,1.750912,0.36416805
Cuba,CUB,2021,6.4411707,0.92970586,1.9523823,0.8367353
