Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Czechia,CZE,1986,4.3400846,1.6881973,2.4757445,0.6022081
Czechia,CZE,1987,4.513927,1.1947432,2.9251702,0.6802721
Czechia,CZE,1988,5.347594,2.1077776,1.897,1.1241481
Czechia,CZE,1989,5.857648,1.0144928,2.1014493,0.79710144
Czechia,CZE,1990,5.4800777,1.8552876,2.6716142,0.82021
Czechia,CZE,1991,4.33213,1.4427823,2.0502696,0.60748726
Czechia,CZE,1992,4.424779,1.0760126,1.767735,0.46114826
Czechia,CZE,1993,3.1914895,1.9456767,1.0117519,0.5447895
Czechia,CZE,1994,5.3117137,1.899185,1.1869906,0.63306165
Czechia,CZE,1995,4.2028985,2.112104,1.3809911,0.6177924
Czechia,CZE,1996,4.142625,2.1819403,1.3427324,0.27300027
Czechia,CZE,1997,3.756574,1.3011798,1.387925,0.70307004
Czechia,CZE,1998,3.949567,1.7043415,0.7176175,0.48804295
Czechia,CZE,1999,4.2945905,1.3171319,1.6717826,0.32619724
Czechia,CZE,2000,4.6481795,1.4735725,1.3461746,0.31576553
Czechia,CZE,2001,3.6936488,1.0947734,0.65686405,0.18046045
Czechia,CZE,2002,2.8113139,1.243901,0.9163929,0.34364733
Czechia,CZE,2003,3.0065622,1.0646249,0.590997,0.2363988
Czechia,CZE,2004,2.5935965,1.0841131,0.7171993,0.24188915
Czechia,CZE,2005,2.5395966,0.97164613,0.24291155,0.99977005
Czechia,CZE,2006,1.4419377,1.0690739,0.6414444,0.24060005
Czechia,CZE,2007,1.5374357,1.4641917,0.9454745,0.0
Czechia,CZE,2008,3.2545927,1.0335977,0.8097092,0.21838304
Czechia,CZE,2009,2.5643547,2.1093228,0.54143316,0.83819485
Czechia,CZE,2010,3.2879162,0.7619926,0.6667435,0.0
Czechia,CZE,2011,0.88384897,1.4824519,0.41436908,0.0
Czechia,CZE,2012,1.7608385,0.70873874,0.506242,0.20249678
Czechia,CZE,2013,1.5292491,0.6301214,0.7201388,0.0
Czechia,CZE,2014,1.9377508,0.6887222,0.78711104,0.0
Czechia,CZE,2015,1.0520645,0.5277291,0.43247232,0.17142954
Czechia,CZE,2016,3.2625697,0.5806802,0.48390016,0.19356006
Czechia,CZE,2017,1.1722459,1.30796,0.48381868,0.16977237
Czechia,CZE,2018,1.1127493,1.3613341,0.38895258,0.22226124
Czechia,CZE,2019,1.7672778,1.1447865,0.70423156,0.0
Czechia,CZE,2020,1.5337502,0.9830947,0.19661894,0.0
Czechia,CZE,2021,1.551981,1.0824482,0.4003876,0.0
Czechia,CZE,2022,1.6682765,0.8800557,0.3537544,0.0
Czechia,CZE,2023,1.8305539,0.67078334,0.47913095,0.21990491
