Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Denmark,DNK,1951,5.6390977,,4.6420717,0.54017556
Denmark,DNK,1952,6.699147,,3.7827945,1.2101654
Denmark,DNK,1953,5.260082,,5.7443166,0.733317
Denmark,DNK,1954,7.7540846,,5.8031855,0.7408322
Denmark,DNK,1955,5.2042675,,4.1483345,0.8799497
Denmark,DNK,1956,6.8610635,,3.8629925,0.0
Denmark,DNK,1957,5.172819,,5.784907,1.3147515
Denmark,DNK,1958,6.9444447,,5.0768204,1.0688043
Denmark,DNK,1959,3.9691806,,6.069598,0.7490637
Denmark,DNK,1960,5.760922,,4.194858,0.9026629
Denmark,DNK,1961,5.728518,,5.9515758,0.9468416
Denmark,DNK,1962,7.501293,,4.5865374,0.94428706
Denmark,DNK,1963,6.0878773,,6.1761546,1.3326226
Denmark,DNK,1964,6.423983,,6.783719,0.7980846
Denmark,DNK,1965,7.543103,,4.9980273,1.034279
Denmark,DNK,1966,4.8556786,,5.0544324,0.9072058
Denmark,DNK,1967,5.1199136,,4.7278304,0.5111168
Denmark,DNK,1968,5.680281,,4.32625,0.42432815
Denmark,DNK,1969,4.8886476,,5.2315936,0.8931989
Denmark,DNK,1970,4.073873,,4.6165686,0.5636979
Denmark,DNK,1971,3.5259018,,5.9133563,0.98870057
Denmark,DNK,1972,6.502303,,4.2383766,1.4202528
Denmark,DNK,1973,4.304547,,4.3713036,0.28445455
Denmark,DNK,1974,5.205622,,3.2769694,0.6553939
Denmark,DNK,1975,5.9171596,,4.0961943,0.29107845
Denmark,DNK,1976,5.9464817,,1.9548873,0.6015038
Denmark,DNK,1977,3.3980582,,3.9938557,0.697188
Denmark,DNK,1978,3.164557,,1.2847966,0.8250825
Denmark,DNK,1979,4.2288556,,2.8998115,0.6357279
Denmark,DNK,1980,4.3578568,,2.8019466,0.82394946
Denmark,DNK,1981,4.5068927,,2.8085246,0.5555556
Denmark,DNK,1982,4.617056,,2.2218425,0.8605852
Denmark,DNK,1983,6.313478,,2.1090202,0.7083407
Denmark,DNK,1984,3.5792952,,1.5080429,0.73327225
Denmark,DNK,1985,4.669047,,1.9004837,1.3631407
Denmark,DNK,1986,5.826859,,1.9431196,0.5621135
Denmark,DNK,1987,2.8579595,,2.1440058,0.68657744
Denmark,DNK,1988,2.65252,,1.9784173,0.0
Denmark,DNK,1989,2.1257212,,1.9805546,0.36616623
Denmark,DNK,1990,2.8400126,,2.3268301,0.74822295
Denmark,DNK,1991,2.9712777,,1.9786308,0.3727171
Denmark,DNK,1992,3.394433,,0.96637034,0.3681885
Denmark,DNK,1993,1.7562346,,1.3328891,0.71968335
Denmark,DNK,1994,1.447178,2.1076524,2.2697794,0.0
Denmark,DNK,1995,5.152742,1.4157622,0.94384146,0.0
Denmark,DNK,1996,4.008746,1.0716473,1.3684571,0.3239391
Denmark,DNK,1997,5.03416,1.8015313,0.6005104,0.516129
Denmark,DNK,1998,2.8119507,1.3144922,0.9858692,0.30321407
Denmark,DNK,1999,3.0659904,0.88182384,0.9776907,0.36206567
Denmark,DNK,2000,3.6235704,0.7311374,0.32379016,0.0
Denmark,DNK,2001,4.7836056,2.1879795,1.2921128,0.0
Denmark,DNK,2002,2.1596272,0.48364708,0.87651896,0.0
Denmark,DNK,2003,2.0916688,1.3245871,0.6493327,0.3746006
Denmark,DNK,2004,2.6321023,1.6384847,1.1469393,0.2882085
Denmark,DNK,2005,1.4337658,0.74854,0.99412143,0.29253367
Denmark,DNK,2006,0.853796,0.45275092,0.45275092,0.5908262
Denmark,DNK,2007,1.4172416,0.9117045,1.0106114,0.29967576
Denmark,DNK,2008,2.856498,0.5060592,0.75997776,0.6125631
Denmark,DNK,2009,2.0108066,1.0138149,0.6758766,0.0
Denmark,DNK,2010,0.8738356,0.51000893,0.7650134,0.38100317
Denmark,DNK,2011,2.0553234,0.8492857,1.3588572,0.30529132
Denmark,DNK,2012,0.8922278,0.68219805,0.30465513,0.0
Denmark,DNK,2013,1.7969775,0.7820027,0.79547215,0.3977361
Denmark,DNK,2014,1.803562,0.6948546,0.6948546,0.0
Denmark,DNK,2015,1.8039633,0.5265218,0.602949,0.42003748
Denmark,DNK,2016,2.1009097,0.95760214,0.5300897,0.0
Denmark,DNK,2017,1.1936735,1.24322,0.3552057,0.0
Denmark,DNK,2018,1.4783976,0.8947745,0.6610063,0.0
Denmark,DNK,2019,1.4748392,0.812225,0.36061183,0.40775385
Denmark,DNK,2020,2.0671651,0.6625434,1.2103655,0.0
Denmark,DNK,2021,0.89269507,1.6672447,0.33344892,0.0
Denmark,DNK,2022,1.2300161,0.5450126,0.36334172,0.0
