Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Dominica,DMA,1961,,,0.0,0.0
Dominica,DMA,1962,,,0.0,0.0
Dominica,DMA,1967,,,0.0,0.0
Dominica,DMA,1968,,,0.0,0.0
Dominica,DMA,1969,,,0.0,0.0
Dominica,DMA,1970,,,0.0,0.0
Dominica,DMA,1971,,,0.0,0.0
Dominica,DMA,1972,,,0.0,0.0
Dominica,DMA,1973,,,0.0,0.0
Dominica,DMA,1974,,,0.0,0.0
Dominica,DMA,1975,,,0.0,0.0
Dominica,DMA,1976,,,0.0,0.0
Dominica,DMA,1977,,,0.0,0.0
Dominica,DMA,1978,,,0.0,0.0
Dominica,DMA,1979,,,0.0,0.0
Dominica,DMA,1980,,,0.0,0.0
Dominica,DMA,1981,,,0.0,0.0
Dominica,DMA,1982,,,0.0,0.0
Dominica,DMA,1983,,,0.0,0.0
Dominica,DMA,1984,,,0.0,0.0
Dominica,DMA,1985,,,0.0,0.0
Dominica,DMA,1986,,,0.0,0.0
Dominica,DMA,1987,,,0.0,0.0
Dominica,DMA,1988,,,0.0,0.0
Dominica,DMA,1989,,,0.0,0.0
Dominica,DMA,1990,,,0.0,0.0
Dominica,DMA,1991,,,0.0,0.0
Dominica,DMA,1992,,,0.0,0.0
Dominica,DMA,1993,,,0.0,0.0
Dominica,DMA,1994,,,0.0,0.0
Dominica,DMA,1995,,,0.0,0.0
Dominica,DMA,1996,,,0.0,0.0
Dominica,DMA,1997,,,0.0,0.0
Dominica,DMA,1998,,,0.0,0.0
Dominica,DMA,1999,,,0.0,0.0
Dominica,DMA,2000,,0.0,0.0,0.0
Dominica,DMA,2001,,0.0,0.0,0.0
Dominica,DMA,2002,,0.0,0.0,0.0
Dominica,DMA,2003,,0.0,0.0,0.0
Dominica,DMA,2004,,0.0,0.0,0.0
Dominica,DMA,2005,,0.0,0.0,0.0
Dominica,DMA,2006,,0.0,0.0,0.0
Dominica,DMA,2007,,0.0,0.0,0.0
Dominica,DMA,2008,,0.0,0.0,0.0
Dominica,DMA,2009,,0.0,0.0,0.0
Dominica,DMA,2010,,0.0,0.0,0.0
Dominica,DMA,2011,,0.0,0.0,0.0
Dominica,DMA,2012,,0.0,0.0,0.0
Dominica,DMA,2013,,0.0,0.0,0.0
Dominica,DMA,2014,,0.0,0.0,0.0
Dominica,DMA,2015,,0.0,0.0,0.0
Dominica,DMA,2016,,0.0,0.0,0.0
Dominica,DMA,2017,,0.0,0.0,0.0
Dominica,DMA,2018,,0.0,0.0,0.0
Dominica,DMA,2019,,0.0,0.0,0.0
Dominica,DMA,2020,,0.0,0.0,0.0
Dominica,DMA,2022,,0.0,0.0,0.0
