Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Dominican Republic,DOM,1965,0.98257697,,0.31372106,0.0
Dominican Republic,DOM,1966,0.7530333,,0.2369599,0.30406412
Dominican Republic,DOM,1967,1.2650633,,0.23162518,0.48532537
Dominican Republic,DOM,1968,1.216137,,0.53836125,0.0
Dominican Republic,DOM,1969,1.1708897,,0.22323172,0.14882115
Dominican Republic,DOM,1970,1.2173913,,1.1063578,0.2466294
Dominican Republic,DOM,1971,2.5337837,,0.64483774,0.0
Dominican Republic,DOM,1972,2.2977188,,0.77591556,0.15518312
Dominican Republic,DOM,1973,1.2710518,,0.74753654,0.20387359
Dominican Republic,DOM,1974,2.3155296,,0.2942258,0.19805902
Dominican Republic,DOM,1975,1.3495277,,0.7053995,0.21433164
Dominican Republic,DOM,1976,1.7525923,,1.4249427,0.15253203
Dominican Republic,DOM,1977,2.4045262,,0.8433735,0.14814815
Dominican Republic,DOM,1978,1.5107815,,0.8775009,0.13043761
Dominican Republic,DOM,1979,4.527297,,0.9631728,0.1908397
Dominican Republic,DOM,1980,1.4175258,,0.77177507,0.21715526
Dominican Republic,DOM,1981,1.9582245,,1.7251636,0.36057693
Dominican Republic,DOM,1982,1.7073171,,0.9921671,0.61728394
Dominican Republic,DOM,1983,2.5688074,,1.0020598,0.27834994
Dominican Republic,DOM,1984,2.2140222,,1.6746411,0.2886003
Dominican Republic,DOM,1985,2.6474128,,0.9356725,0.19607843
Dominican Republic,DOM,1986,0.6095502,,0.71431243,0.13391201
Dominican Republic,DOM,1987,2.2936335,,1.3064502,0.42588273
Dominican Republic,DOM,1988,1.6727583,,0.5394322,0.2632677
Dominican Republic,DOM,1989,1.536554,,0.48106655,0.21992257
Dominican Republic,DOM,1990,1.0517287,,0.6884044,0.10883927
Dominican Republic,DOM,1991,1.6196749,,0.36737365,0.117247105
Dominican Republic,DOM,1992,1.7172492,,0.8316458,0.0
Dominican Republic,DOM,1994,1.0079448,,0.9185928,0.20413174
Dominican Republic,DOM,1995,1.883016,,0.7093765,0.16982715
Dominican Republic,DOM,1996,1.7568363,0.0,1.1068648,0.24596737
Dominican Republic,DOM,1997,1.7413166,0.22308145,1.4500295,0.33462217
Dominican Republic,DOM,1998,1.8337362,0.10127516,0.6487544,0.5548965
Dominican Republic,DOM,1999,1.3893015,0.4012487,0.8463147,0.27633926
Dominican Republic,DOM,2000,1.5867962,0.22044653,0.54665744,0.27555817
Dominican Republic,DOM,2001,3.0343456,0.0989856,0.64625496,0.11023329
Dominican Republic,DOM,2002,2.894398,0.19749926,0.60667664,0.2962489
Dominican Republic,DOM,2003,2.4498596,0.3983191,0.69705844,0.44195014
Dominican Republic,DOM,2004,2.7247517,0.33239248,0.64863527,0.29775494
Dominican Republic,DOM,2005,0.9005394,0.15009712,0.5002785,0.16675949
Dominican Republic,DOM,2006,1.6934143,0.250848,0.4461169,0.27882305
Dominican Republic,DOM,2007,1.7911892,0.20126393,0.33568424,0.40202823
Dominican Republic,DOM,2008,0.79774636,0.25231448,0.45416605,0.0
Dominican Republic,DOM,2009,1.4013565,0.20259298,0.55650586,0.0
Dominican Republic,DOM,2010,1.8092397,0.20275564,0.5068891,0.1128444
Dominican Republic,DOM,2011,1.9207984,0.39474806,0.50648224,0.12625816
Dominican Republic,DOM,2012,2.2339404,0.7324769,1.2395763,0.39441064
Dominican Republic,DOM,2013,1.5280209,0.76040035,1.0102097,0.28137895
Dominican Republic,DOM,2014,1.531417,0.6181484,0.6743437,0.20376413
Dominican Republic,DOM,2015,1.0223966,0.3524756,0.5050134,0.12501985
Dominican Republic,DOM,2016,2.7691739,0.39148837,0.7530771,0.24872775
Dominican Republic,DOM,2017,1.5406928,0.7250386,0.5509838,0.1673166
Dominican Republic,DOM,2018,1.2325238,0.4500997,0.650144,0.11130496
