Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Ecuador,ECU,1966,,,2.8345177,1.0743634
Ecuador,ECU,1967,,,1.5315702,0.9134089
Ecuador,ECU,1968,1.2508252,,1.4142979,0.5552666
Ecuador,ECU,1969,1.6266378,,1.1135799,0.42063466
Ecuador,ECU,1970,3.0361314,,1.9145262,0.35150272
Ecuador,ECU,1971,2.0566847,,1.6618214,0.30214933
Ecuador,ECU,1972,1.999038,,1.2774065,0.22185394
Ecuador,ECU,1973,2.547239,,0.9606102,0.19212203
Ecuador,ECU,1974,1.6483678,,0.98784435,0.15895464
Ecuador,ECU,1975,1.8296944,,1.5228925,0.20772196
Ecuador,ECU,1977,2.3012552,,1.1195521,0.19992003
Ecuador,ECU,1978,3.3512745,,1.3726836,0.3040702
Ecuador,ECU,1979,3.078451,,1.6026835,0.3821656
Ecuador,ECU,1980,2.5096526,,1.6222062,0.46863735
Ecuador,ECU,1981,3.5959373,,1.8853325,0.41896275
Ecuador,ECU,1982,4.2142725,,2.372976,0.35369018
Ecuador,ECU,1983,4.0043807,,2.5642674,0.5291346
Ecuador,ECU,1984,3.713528,,1.745718,0.23056653
Ecuador,ECU,1985,3.8673084,,1.5690042,0.21635656
Ecuador,ECU,1986,3.926811,,1.9611505,0.31129375
Ecuador,ECU,1987,4.898359,,2.6005132,0.58169377
Ecuador,ECU,1988,3.8107336,,1.896523,0.33272335
Ecuador,ECU,1989,3.7260506,,2.3131256,0.41039324
Ecuador,ECU,1990,4.2567186,,2.1350005,0.3299855
Ecuador,ECU,1991,5.186233,,2.1691973,0.3253796
Ecuador,ECU,1992,3.9654505,,1.8268347,0.36067387
Ecuador,ECU,1993,5.095302,,2.3006365,0.43528706
Ecuador,ECU,1994,3.6034935,,2.7295785,0.27995676
Ecuador,ECU,1995,3.3165603,,2.1805584,0.44995654
Ecuador,ECU,1996,4.1743417,,2.8396387,0.34408984
Ecuador,ECU,1997,5.3050833,0.43963507,1.9614488,0.3381808
Ecuador,ECU,1998,3.4596193,0.5686722,1.8398218,0.41152602
Ecuador,ECU,1999,4.5002117,0.69601506,1.8228966,0.33362544
Ecuador,ECU,2000,4.3001075,0.66216516,2.138941,0.55941534
Ecuador,ECU,2001,4.1090803,0.5825972,2.0225303,0.50977254
Ecuador,ECU,2002,4.6958656,0.616323,1.9462832,0.46982545
Ecuador,ECU,2003,4.024734,0.58179337,1.74538,0.2515887
Ecuador,ECU,2004,4.878575,0.5801593,2.675179,0.35781363
Ecuador,ECU,2005,5.235214,0.5787203,1.8326142,0.22505789
Ecuador,ECU,2006,4.772875,0.7076101,1.8976815,0.32103783
Ecuador,ECU,2007,4.3179355,0.67531306,1.8651503,0.28545675
Ecuador,ECU,2008,3.5455196,0.8568941,2.7325726,0.3927431
Ecuador,ECU,2009,4.486005,0.8358317,2.0252845,0.39317858
Ecuador,ECU,2010,3.8113573,0.85868084,2.025049,0.25044858
Ecuador,ECU,2011,4.572621,0.83427644,2.0536036,0.21447875
Ecuador,ECU,2012,4.2502494,0.99251485,2.433262,0.09604983
Ecuador,ECU,2013,4.838613,0.79801506,2.330204,0.3511266
Ecuador,ECU,2014,4.9122515,0.532124,2.3837743,0.17737466
Ecuador,ECU,2015,5.626065,0.9795724,2.243537,0.18959467
Ecuador,ECU,2016,5.298828,0.9108958,2.228094,0.38537902
Ecuador,ECU,2017,4.7757497,0.8408328,2.3356469,0.31141958
Ecuador,ECU,2018,6.187728,1.1374679,1.8844335,0.37915593
Ecuador,ECU,2019,5.5373907,0.6747148,1.8401313,0.17099126
Ecuador,ECU,2020,3.408268,0.9457765,1.5559549,0.16996431
Ecuador,ECU,2021,5.504352,0.7764337,1.6376196,0.10127396
Ecuador,ECU,2022,4.644661,1.0274533,1.9340297,0.2016228
