Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Egypt,EGY,1965,2.6638086,,0.55220926,0.03681395
Egypt,EGY,1966,2.5614183,,0.44342485,0.07163806
Egypt,EGY,1967,3.4407659,,0.58703405,0.06991922
Egypt,EGY,1970,2.5062125,,0.74910635,0.10701519
Egypt,EGY,1971,3.0865958,,0.7692338,0.053785224
Egypt,EGY,1972,2.719312,,0.6059502,0.10536101
Egypt,EGY,1973,2.6147068,,0.55118006,0.11023601
Egypt,EGY,1974,3.1066444,,0.66149294,0.06343083
Egypt,EGY,1975,2.712284,,0.5000725,0.107158385
Egypt,EGY,1976,2.7859309,,0.56000984,0.1312523
Egypt,EGY,1977,3.0962508,,0.5912044,0.17993179
Egypt,EGY,1978,2.5795765,,0.6625117,0.1761107
Egypt,EGY,1979,2.6956224,,0.7795422,0.20760112
Egypt,EGY,1980,2.3491464,0.19249386,0.77799594,0.12030866
Egypt,EGY,1987,3.5205326,0.5158868,1.1362569,0.22202721
Egypt,EGY,1991,3.7035956,0.57660776,1.3093802,0.3844052
Egypt,EGY,1992,3.5810463,0.52964276,1.4996626,0.27374795
Egypt,EGY,2000,3.5955994,1.2278149,1.1388428,0.14828682
Egypt,EGY,2001,4.0838165,1.6809593,1.604284,0.023592414
Egypt,EGY,2002,4.2919564,1.5394949,2.3621256,0.04700748
Egypt,EGY,2003,4.2843013,1.9028878,2.1370895,0.03922895
Egypt,EGY,2004,3.8335242,1.7415265,2.1783643,0.032474242
Egypt,EGY,2005,3.9169197,1.613753,2.0244215,0.03223238
Egypt,EGY,2006,4.0272894,1.5566329,1.7002337,0.040208228
Egypt,EGY,2007,3.7952323,1.5601829,1.8164173,0.039858688
Egypt,EGY,2008,3.8410027,1.7336367,2.0601008,0.02519787
Egypt,EGY,2009,3.849006,1.6113379,2.070929,0.02486803
Egypt,EGY,2010,3.793468,1.7584703,1.8991479,0.01306004
Egypt,EGY,2011,4.1374006,1.5410666,1.7093743,0.026298068
Egypt,EGY,2012,4.10885,1.6224235,2.3271637,0.05070073
Egypt,EGY,2013,4.266704,1.513989,1.9326482,0.04868131
Egypt,EGY,2014,4.069151,1.8622632,1.9519473,0.036928732
Egypt,EGY,2015,3.4409869,1.3407377,1.7212173,0.031129211
Egypt,EGY,2016,3.6679287,1.414822,1.8806249,0.03975106
Egypt,EGY,2017,3.132864,1.049225,1.548453,0.04230746
Egypt,EGY,2018,3.2496414,1.1342365,1.4240049,0.03237341
Egypt,EGY,2019,2.9323828,1.145308,1.2833948,0.04153019
