Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
El Salvador,SLV,1990,2.281015,,1.3101885,0.0
El Salvador,SLV,1991,3.0483809,,1.3775177,0.27550355
El Salvador,SLV,1992,4.8949037,,1.5751414,0.3633721
El Salvador,SLV,1993,3.0701754,,1.9106928,0.64935064
El Salvador,SLV,1995,3.573082,,1.2114962,0.23006567
El Salvador,SLV,1996,3.2649965,,1.4043272,0.16057989
El Salvador,SLV,1997,3.5697103,0.7326115,0.9990156,0.0
El Salvador,SLV,1998,2.0091493,0.53175366,1.3958534,0.13715878
El Salvador,SLV,1999,1.8414962,0.36902058,1.1968197,0.0
El Salvador,SLV,2000,2.4291005,0.46706492,1.1343005,0.13402653
El Salvador,SLV,2001,3.292654,0.53860956,1.5485024,0.26623714
El Salvador,SLV,2002,2.6458642,0.54578745,1.2962452,0.0
El Salvador,SLV,2003,3.8892403,0.68482625,1.2491595,0.13338865
El Salvador,SLV,2004,2.2611902,0.5659121,0.5420461,0.26925763
El Salvador,SLV,2005,5.4313993,1.0818343,1.4424456,0.13636798
El Salvador,SLV,2006,4.153071,0.66579473,1.6227471,0.0
El Salvador,SLV,2007,3.869434,0.6466695,1.2483813,0.0
El Salvador,SLV,2008,2.2136168,0.34125295,0.6825059,0.8103662
El Salvador,SLV,2009,3.4731097,0.31522274,1.1820853,0.15199116
El Salvador,SLV,2010,4.7671328,0.3581806,1.0745418,0.26863545
El Salvador,SLV,2011,3.8758743,0.5444987,1.6293186,0.27224934
El Salvador,SLV,2012,3.8416018,0.7432108,0.7355138,0.16494328
El Salvador,SLV,2013,3.50965,0.5579636,1.4217495,0.21033192
El Salvador,SLV,2014,4.8795,0.7602295,1.0981094,0.8494012
El Salvador,SLV,2015,5.0038176,0.8498632,1.4467827,0.8618684
El Salvador,SLV,2016,4.631659,0.7720332,1.4280927,0.1703865
El Salvador,SLV,2017,3.1993804,0.5154515,1.5525326,0.0
El Salvador,SLV,2018,5.6223903,0.7791243,1.0388324,0.0
