Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Estonia,EST,1981,3.8424592,,3.5035036,2.7173913
Estonia,EST,1982,13.901761,,4.014273,1.4910537
Estonia,EST,1985,6.30063,,3.0527692,1.0695187
Estonia,EST,1986,4.5045047,,2.9282577,1.7730496
Estonia,EST,1987,3.6036036,,2.3877747,0.0
Estonia,EST,1988,7.207207,,3.786086,0.9465215
Estonia,EST,1989,6.2878957,,1.4031346,0.9354231
Estonia,EST,1990,8.07595,,2.3283753,0.84908384
Estonia,EST,1991,1.7966385,,1.8754337,0.0
Estonia,EST,1992,4.561461,,2.906526,2.221926
Estonia,EST,1993,6.5020714,,4.075208,0.8773777
Estonia,EST,1994,6.5208483,0.89302456,1.0728405,0.0
Estonia,EST,1995,2.7927241,3.4026337,2.2684224,0.91052294
Estonia,EST,1996,6.538573,4.455013,5.40586,0.0
Estonia,EST,1997,3.7326317,1.9162227,3.8324454,0.0
Estonia,EST,1998,5.5773487,3.4171913,1.0638185,1.3668765
Estonia,EST,1999,2.7916067,0.0,1.4697021,0.0
Estonia,EST,2000,1.9159842,1.5475085,1.5475085,0.0
Estonia,EST,2001,7.8258743,1.6266114,2.207993,7.7429347
Estonia,EST,2002,3.0531244,2.5335698,0.0,0.0
Estonia,EST,2003,4.330879,2.599766,1.5389351,1.5389351
Estonia,EST,2004,3.5306578,0.0,1.5912164,0.0
Estonia,EST,2005,5.1417184,0.0,1.614596,0.0
Estonia,EST,2006,2.7750797,4.4185877,0.0,0.0
Estonia,EST,2007,1.4846708,1.7166646,0.0,0.0
Estonia,EST,2008,0.0,0.0,0.0,0.0
Estonia,EST,2009,1.6250914,0.0,3.5940197,0.0
Estonia,EST,2010,1.6486686,3.2575943,3.1658092,1.5395274
Estonia,EST,2011,3.3218176,1.546623,1.5953289,0.0
Estonia,EST,2012,0.0,2.2522354,1.5817529,0.0
Estonia,EST,2013,1.6439257,4.1845675,0.0,0.0
Estonia,EST,2014,1.6100208,3.3846674,3.3846674,0.0
Estonia,EST,2015,1.5724506,2.7224588,0.0,1.7445309
Estonia,EST,2016,3.0578935,1.5030644,0.0,0.0
Estonia,EST,2017,2.8934767,2.9761462,1.2868688,0.0
Estonia,EST,2018,2.7895558,1.3034071,0.0,0.0
Estonia,EST,2019,1.3543712,3.8099883,0.0,1.326735
Estonia,EST,2020,0.0,5.387641,2.6851044,0.0
Estonia,EST,2021,2.6225038,0.0,1.819141,0.0
Estonia,EST,2022,3.9241848,0.0,0.0,0.0
