Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Fiji,FJI,1978,1.3084894,,3.407039,2.7545934
Fiji,FJI,2001,3.4180243,1.0635017,5.317508,0.0
Fiji,FJI,2002,8.136413,20.027493,2.1800385,2.1623025
Fiji,FJI,2003,3.5599859,2.5039437,3.7559156,5.307292
Fiji,FJI,2004,8.501129,1.2878715,3.2196786,0.0
Fiji,FJI,2005,7.4902625,1.4243594,6.589482,0.0
Fiji,FJI,2006,3.7335722,0.0,5.261704,3.6889026
Fiji,FJI,2007,6.216895,1.2289542,4.0909834,5.275653
Fiji,FJI,2008,6.2397046,1.2258958,2.6290882,2.8340254
Fiji,FJI,2009,2.5167997,1.4200511,4.2601533,4.4754243
Fiji,FJI,2011,1.2900729,1.3771449,0.0,5.308419
Fiji,FJI,2012,2.6087863,2.55436,1.27718,0.0
