Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Finland,FIN,1952,6.97269,,4.230684,0.49560153
Finland,FIN,1953,2.3487961,,3.1449952,0.72115386
Finland,FIN,1954,6.129597,,3.4169781,0.47142017
Finland,FIN,1955,6.123017,,4.359383,0.46898815
Finland,FIN,1956,6.259781,,5.4797463,0.35566095
Finland,FIN,1957,6.2786765,,4.5941806,0.98446727
Finland,FIN,1958,5.762411,,3.697479,1.1106998
Finland,FIN,1959,5.0209203,,3.783102,0.8833922
Finland,FIN,1960,7.333469,,4.089263,0.3867973
Finland,FIN,1961,6.584362,,3.3234422,0.7121662
Finland,FIN,1962,3.79107,,3.4906116,0.39962703
Finland,FIN,1963,5.836576,,5.5367994,0.81026334
Finland,FIN,1964,5.998667,,4.9321823,0.9864365
Finland,FIN,1965,6.134969,,4.631368,0.8762048
Finland,FIN,1966,4.8409405,,4.0681415,0.4220003
Finland,FIN,1967,7.2446833,,5.148668,0.427655
Finland,FIN,1968,5.965163,,4.6832314,0.71901065
Finland,FIN,1969,5.6056542,,6.708473,0.43750912
Finland,FIN,1970,4.726368,,5.191966,0.4484305
Finland,FIN,1971,6.3387423,,4.0684624,1.4029181
Finland,FIN,1972,5.3984575,,6.579978,0.5745475
Finland,FIN,1973,4.642765,,3.5330486,0.3215434
Finland,FIN,1974,5.420754,,2.260398,1.1868027
Finland,FIN,1975,8.060323,,2.758198,1.6785564
Finland,FIN,1976,6.3041763,,2.332815,0.34650034
Finland,FIN,1977,4.5068927,,2.2088988,0.7702182
Finland,FIN,1978,5.379236,,2.8495102,0.9493671
Finland,FIN,1979,5.2471695,,1.9329897,1.3311148
Finland,FIN,1980,6.273168,,1.1292144,1.0771992
Finland,FIN,1981,5.3144374,,3.0536804,1.0914052
Finland,FIN,1982,4.920049,,1.5893198,0.32226878
Finland,FIN,1983,3.5335689,,2.187842,0.31416902
Finland,FIN,1984,3.960396,,3.0868962,0.3866976
Finland,FIN,1985,4.9603176,,2.6198182,0.0
Finland,FIN,1986,1.3071896,,1.0272213,0.34240714
Finland,FIN,1987,3.84369,1.5517242,1.09375,0.3448276
Finland,FIN,1988,3.4418023,1.7367141,1.0420284,0.7939659
Finland,FIN,1989,1.2319064,0.94280326,0.94280326,0.3065604
Finland,FIN,1990,2.766677,1.2201499,1.0973507,0.81037277
Finland,FIN,1991,1.8512805,1.7163364,2.1844282,0.34746352
Finland,FIN,1992,2.7769208,1.8665422,0.6932409,0.0
Finland,FIN,1993,2.1419828,0.7841087,0.8665511,0.38476336
Finland,FIN,1994,2.1237864,1.0905125,0.46736252,0.38109756
Finland,FIN,1995,4.539952,1.0386014,1.2117016,0.31715825
Finland,FIN,1996,3.6485255,1.3802623,0.9357455,0.3136763
Finland,FIN,1997,1.8501388,1.5612803,1.7174083,0.38971162
Finland,FIN,1998,1.8774524,1.0366849,1.0366849,0.51834244
Finland,FIN,1999,2.208188,1.2696922,0.5235666,0.3040965
Finland,FIN,2000,1.5754483,1.2635303,1.5248551,0.0
Finland,FIN,2001,2.4935634,0.6170916,1.2569424,0.3591264
Finland,FIN,2002,2.7591703,1.1606352,1.1606352,0.3143458
Finland,FIN,2003,3.335375,0.74371696,0.5577877,0.0
Finland,FIN,2004,3.627142,1.1332086,0.85252655,0.0
Finland,FIN,2005,2.7273884,1.1469271,1.5292361,0.0
Finland,FIN,2006,2.4525733,1.0383155,1.0383155,0.0
Finland,FIN,2007,3.7467802,0.771065,0.771065,0.0
Finland,FIN,2008,3.1946025,0.7682483,1.7285587,0.38412416
Finland,FIN,2009,3.596152,0.5138218,0.7636364,0.3480658
Finland,FIN,2010,2.3367138,1.5294782,0.9476697,0.0
Finland,FIN,2011,2.3744912,0.50544786,0.66159225,0.6867377
Finland,FIN,2012,2.7433996,1.1270653,0.41037932,0.41037932
Finland,FIN,2013,2.4076867,0.736041,1.226886,0.0
Finland,FIN,2014,1.3711755,2.014451,0.9916601,0.0
Finland,FIN,2015,1.028669,0.54536235,0.32601005,0.0
Finland,FIN,2016,3.0422313,1.1680976,0.36703476,0.0
Finland,FIN,2017,2.0013542,2.025303,0.36993706,0.0
Finland,FIN,2018,1.9756728,0.74975026,0.74975026,0.0
Finland,FIN,2019,2.6043234,0.56440896,0.3825928,0.0
Finland,FIN,2020,0.9650274,0.9824312,0.0,0.0
Finland,FIN,2021,1.2753658,1.0108484,0.33607683,2.080819
Finland,FIN,2022,1.2687417,1.0341154,0.4136462,0.0
