Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
France,FRA,1950,4.004962,,3.6551023,0.614177
France,FRA,1951,4.126045,,3.4944003,0.5871738
France,FRA,1952,4.97029,,4.2008705,0.6335739
France,FRA,1953,5.363841,,4.2769313,0.521251
France,FRA,1954,5.2969265,,4.543147,0.44259882
France,FRA,1955,4.464449,,4.538655,0.51979005
France,FRA,1956,5.824846,,4.6856256,0.6122551
France,FRA,1957,5.6088014,,4.536108,0.7352483
France,FRA,1958,6.071094,,4.2610984,0.76002043
France,FRA,1959,6.4509306,,4.277875,0.810676
France,FRA,1960,5.4320865,,4.441672,0.8733624
France,FRA,1961,5.357872,,3.8183606,0.60944515
France,FRA,1962,6.015899,,4.4297333,0.6398504
France,FRA,1963,5.0573726,,3.9639597,0.69308496
France,FRA,1964,5.591955,,3.8825586,0.83197683
France,FRA,1965,5.435833,,3.5950532,0.70702714
France,FRA,1966,4.7065673,,3.7572012,0.7752955
France,FRA,1967,4.7577434,,3.3313503,0.630577
France,FRA,1968,5.4591775,,3.1746786,0.6063993
France,FRA,1969,4.8576536,,3.2396057,0.7129634
France,FRA,1970,5.3070874,,3.181495,0.6862048
France,FRA,1971,5.2256875,,3.097092,0.68409663
France,FRA,1972,5.4803042,,3.1286712,0.5688493
France,FRA,1973,4.766648,,3.2012458,0.69216126
France,FRA,1974,5.2738147,,3.4063926,0.5967403
France,FRA,1975,4.5562325,,2.7824364,0.5844387
France,FRA,1976,4.8498416,,2.3369012,0.71010804
France,FRA,1977,5.109814,,2.996833,0.7197634
France,FRA,1978,5.1325717,,2.8910933,0.636571
France,FRA,1979,4.4465694,0.6412455,2.7933335,0.5908975
France,FRA,1980,5.2127123,0.66401064,2.5205302,0.56915194
France,FRA,1981,4.9527454,0.5198501,2.421407,0.43776846
France,FRA,1982,5.0143433,0.7325906,2.0595472,0.566721
France,FRA,1983,3.6464987,0.67120665,2.2932894,0.34958678
France,FRA,1984,4.107981,0.7037991,2.1113973,0.4645074
France,FRA,1985,3.5409741,0.57592356,1.9665684,0.3293188
France,FRA,1986,3.31451,0.5848264,1.7677708,0.5463109
France,FRA,1987,3.4750135,0.61213136,1.9198664,0.27824152
France,FRA,1988,2.622635,0.7067236,1.2471592,0.41571975
France,FRA,1989,3.3011336,0.678013,1.494396,0.318251
France,FRA,1990,3.386781,0.77306426,1.4494954,0.17946135
France,FRA,1991,3.0823426,0.7212806,1.2899826,0.2080617
France,FRA,1992,3.4244826,0.85088575,1.4646394,0.18133631
France,FRA,1993,3.240788,0.86673284,1.2861197,0.20969343
France,FRA,1994,3.26739,0.7314671,1.0409341,0.23913349
France,FRA,1995,2.6015506,0.7929765,1.0620221,0.14160295
France,FRA,1996,2.5651655,0.6556816,0.92650664,0.19063656
France,FRA,1997,2.6604068,0.78819144,0.97449124,0.07165377
France,FRA,1998,2.752246,0.81871027,0.6959037,0.17738722
France,FRA,1999,2.5290074,0.6213299,0.85605454,0.09210095
France,FRA,2000,2.1095052,1.2967157,0.84148574,0.12313931
France,FRA,2001,2.5322795,1.1545571,0.72847056,0.15369156
France,FRA,2002,2.907378,1.0668676,1.0239571,0.17748591
France,FRA,2003,2.430172,1.0549057,0.78441703,0.07537666
France,FRA,2004,2.353164,0.962966,0.7222245,0.13374528
France,FRA,2005,2.05527,1.0482155,0.61035335,0.16250011
France,FRA,2006,2.0421104,0.9909941,0.72672904,0.13222092
France,FRA,2007,2.369427,1.1802646,0.56390417,0.058403153
France,FRA,2008,1.9807713,0.92394924,0.65066844,0.20242923
France,FRA,2009,2.3020794,1.0227761,0.6214336,0.057514124
France,FRA,2010,2.141365,1.0055162,0.47697562,0.10032264
France,FRA,2011,1.7812368,0.9791961,0.5024822,0.15038443
France,FRA,2012,1.9438493,0.83546305,0.46271798,0.102826215
France,FRA,2013,1.5971916,1.1653334,0.51223445,0.085068755
France,FRA,2014,2.039376,0.99624455,0.47257754,0.06386183
France,FRA,2015,1.7926731,0.91508156,0.66089225,0.050837863
France,FRA,2016,2.0174525,0.8935924,0.31914014,0.06435702
France,FRA,2017,2.0169332,0.8334322,0.40369374,0.07813427
France,FRA,2018,1.670239,0.86819685,0.5133548,0.02510651
France,FRA,2019,1.8305874,0.86765546,0.42068145,0.03943888
France,FRA,2020,1.9020504,0.85021895,0.43839413,0.043884348
France,FRA,2021,1.9750795,0.9939855,0.5238572,0.0
France,FRA,2022,1.6376257,0.9591758,0.36142856,0.02620489
