Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Georgia,GEO,1981,3.7157454,,3.3417838,0.0
Georgia,GEO,1982,3.2611227,,2.6871402,0.0
Georgia,GEO,1985,6.222632,,2.7060547,0.5637614
Georgia,GEO,1986,3.6815462,,3.2402234,0.751503
Georgia,GEO,1987,5.3081007,,2.6622295,0.74294204
Georgia,GEO,1988,4.8622365,,3.756076,1.1053795
Georgia,GEO,1989,4.179243,,3.5327888,0.9805123
Georgia,GEO,1990,4.33889,,2.6332288,1.5047022
Georgia,GEO,1991,2.49066,,1.7185084,1.6585864
Georgia,GEO,1992,2.0459194,,2.1037407,1.1806376
Georgia,GEO,1994,3.9985006,,1.4024262,0.45773575
Georgia,GEO,1995,2.044206,,0.96230954,0.28157118
Georgia,GEO,1996,1.8267224,,0.0,1.5445209
Georgia,GEO,1997,3.9708803,,1.759634,0.30284676
Georgia,GEO,1998,2.661698,0.53511703,0.9111617,0.9111617
Georgia,GEO,1999,2.1358964,0.9522298,0.9419744,0.31740993
Georgia,GEO,2000,1.6072863,0.0,1.3645225,0.32472804
Georgia,GEO,2001,2.154302,1.507159,0.79617834,0.0
Georgia,GEO,2004,2.5989027,0.0,1.0017029,0.60102177
Georgia,GEO,2005,1.8129627,1.6465423,2.7036161,0.0
Georgia,GEO,2006,2.5546863,0.0,2.7595723,0.5405405
Georgia,GEO,2007,2.0397756,0.41771093,1.6916896,0.53835803
Georgia,GEO,2009,5.517749,0.6234414,1.4546965,0.5178664
Georgia,GEO,2010,1.5729454,0.6768953,0.0,0.0
Georgia,GEO,2011,2.0104544,1.3769363,0.5863956,0.0
Georgia,GEO,2012,3.7672668,0.42890844,1.0722711,0.0
Georgia,GEO,2013,2.5884383,1.8712574,1.2510425,0.42087543
Georgia,GEO,2014,0.5277045,1.5250545,1.7429194,0.0
Georgia,GEO,2015,2.9033968,0.6747896,0.83931166,0.41965583
Georgia,GEO,2016,2.417532,1.95034,0.7703745,0.40375412
Georgia,GEO,2017,5.263939,0.7547953,0.8419129,0.39424327
Georgia,GEO,2018,3.2595131,1.0755754,0.3905594,0.3905594
Georgia,GEO,2019,2.6703696,0.4145009,1.0362523,0.0
Georgia,GEO,2020,3.3804555,1.1332215,0.468709,0.0
Georgia,GEO,2021,1.6251674,0.6332126,0.94701904,0.0
Georgia,GEO,2023,1.6317106,1.5826792,0.53790194,0.0
