Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Germany,DEU,1990,2.5421658,1.1876074,1.0031247,0.11530169
Germany,DEU,1991,3.3507605,1.1470625,1.1357055,0.17642686
Germany,DEU,1992,3.0310042,0.9837511,1.1307484,0.1469973
Germany,DEU,1993,3.1249292,0.9478352,1.0832403,0.12412128
Germany,DEU,1994,2.5944397,1.0083044,1.0989385,0.11190411
Germany,DEU,1995,2.3350458,1.2547052,0.95813847,0.12500937
Germany,DEU,1996,2.4576008,0.85128903,0.8627929,0.10111479
Germany,DEU,1997,2.4604568,1.0714494,0.89675653,0.11646189
Germany,DEU,1998,2.4995654,0.7825283,0.68767637,0.14404693
Germany,DEU,1999,2.4860163,1.0156949,0.798046,0.16016445
Germany,DEU,2000,2.6435747,0.9003704,0.8263674,0.19734146
Germany,DEU,2001,2.4712834,1.0799155,0.67808646,0.16637559
Germany,DEU,2002,2.1257906,0.94143975,0.50888634,0.11449943
Germany,DEU,2003,2.296264,0.81201494,0.70890194,0.17031382
Germany,DEU,2004,1.9894828,1.0953771,0.6520102,0.09128142
Germany,DEU,2005,2.4274035,1.0811027,0.59328806,0.13063392
Germany,DEU,2006,2.2341244,1.0038708,0.6157074,0.07361953
Germany,DEU,2007,2.211955,0.80408543,0.54514265,0.10513119
Germany,DEU,2008,2.3776577,0.83148694,0.5266084,0.091860965
Germany,DEU,2009,2.4930289,0.91465944,0.4362222,0.084430106
Germany,DEU,2010,1.8921065,0.6556775,0.44186962,0.11033758
Germany,DEU,2011,2.5159004,0.90655375,0.6619281,0.08471405
Germany,DEU,2012,2.0951927,0.78074193,0.549411,0.08674911
Germany,DEU,2013,1.8215152,1.0379987,0.55554855,0.08656897
Germany,DEU,2014,2.1399558,1.0886103,0.4064145,0.06462006
Germany,DEU,2015,1.9447622,0.67780524,0.55071676,0.07872639
Germany,DEU,2016,2.0070894,0.8381517,0.4453722,0.046072982
Germany,DEU,2017,1.4400291,0.8075711,0.39032605,0.08268855
Germany,DEU,2018,2.1665697,0.67649865,0.5571165,0.029610807
Germany,DEU,2019,2.106658,0.8509531,0.51057184,0.102054656
Germany,DEU,2020,1.5078067,0.7253389,0.33676448,0.0647624
