Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Greece,GRC,1961,5.50585,,6.862345,0.45658627
Greece,GRC,1962,7.1760235,,5.0940704,0.5305844
Greece,GRC,1963,6.712368,,5.495251,0.8819539
Greece,GRC,1964,5.1150894,,6.166983,1.1520737
Greece,GRC,1965,7.016559,,6.720978,0.81466395
Greece,GRC,1966,6.9842157,,5.0940704,0.47544658
Greece,GRC,1967,4.0294566,,4.860267,0.74254084
Greece,GRC,1968,5.2428255,,5.4959784,1.0523151
Greece,GRC,1969,6.3317275,,5.7563586,0.7362785
Greece,GRC,1970,6.8550644,,4.408624,1.1503067
Greece,GRC,1971,6.1607394,,5.3198743,0.85053736
Greece,GRC,1972,6.65742,,4.6852717,0.59920603
Greece,GRC,1973,4.8821316,,4.0978007,0.7512635
Greece,GRC,1974,6.052076,,3.642111,0.6871908
Greece,GRC,1975,6.890733,,4.692244,0.2292176
Greece,GRC,1976,6.629834,,3.5250208,0.9192585
Greece,GRC,1977,7.3855243,,3.8215675,0.6948305
Greece,GRC,1978,6.553939,,3.2255802,0.6232471
Greece,GRC,1979,5.4326735,2.327714,2.6098611,0.5498822
Greece,GRC,1980,4.750289,2.393355,2.8157117,0.3925571
Greece,GRC,1981,5.862428,1.8426647,2.763997,0.43146843
Greece,GRC,1982,5.079535,2.0593665,2.4144297,0.39336008
Greece,GRC,1983,5.64505,2.1229753,2.0640569,0.8649159
Greece,GRC,1984,5.0462575,2.3679678,2.7985075,0.2369481
Greece,GRC,1985,4.843995,1.165671,2.0399241,0.28022978
Greece,GRC,1986,3.3036485,1.5613383,2.0307043,0.64982533
Greece,GRC,1987,4.5418115,1.9699582,1.7264675,0.6566527
Greece,GRC,1988,3.6168787,0.7725587,1.8541409,0.16876213
Greece,GRC,1989,3.8915727,2.2636254,1.3059376,0.0
Greece,GRC,1990,3.6178482,2.1406224,1.3173062,0.22763488
Greece,GRC,1991,2.8009822,0.7529667,1.4670473,0.27507138
Greece,GRC,1992,3.7983458,1.4315307,1.9367769,0.15340553
Greece,GRC,1993,3.5958238,1.6986191,1.0191715,0.37297463
Greece,GRC,1994,3.247152,1.1305982,0.8479487,0.15818354
Greece,GRC,1995,4.039827,1.3859606,1.472583,0.16085576
Greece,GRC,1996,4.138461,1.9281738,1.1577659,0.0
Greece,GRC,1997,2.428942,1.664058,0.97713506,0.23608068
Greece,GRC,1998,2.030403,1.1717328,1.8026658,0.1988459
Greece,GRC,1999,2.8975756,1.7399219,1.4651974,0.7191054
Greece,GRC,2000,3.4917884,1.0267832,0.84009534,0.0
Greece,GRC,2001,2.9059033,1.1392863,0.84076005,0.9176551
Greece,GRC,2002,2.7795682,1.3433161,1.1704531,0.18632974
Greece,GRC,2003,2.4671342,1.3925011,0.42846185,0.21423094
Greece,GRC,2004,4.450212,2.038163,1.5427947,0.21454348
Greece,GRC,2005,2.8682008,2.0395086,1.1807681,0.24112365
Greece,GRC,2006,2.7179034,1.3420914,0.53563356,0.32138014
Greece,GRC,2007,2.1970055,1.0631365,0.4750657,0.5315682
Greece,GRC,2008,2.222572,0.8433679,0.9450387,0.4749744
Greece,GRC,2009,2.6282935,2.2725065,1.0927922,0.7103118
Greece,GRC,2010,3.807841,1.8177621,1.0906572,0.20321858
Greece,GRC,2011,5.200659,2.1090055,1.0852677,0.21677256
Greece,GRC,2012,2.9833715,2.1108663,0.40536872,0.55905586
Greece,GRC,2013,3.9268558,1.3047068,1.4910935,0.37099832
Greece,GRC,2014,3.19648,1.5135176,0.9459485,0.0
Greece,GRC,2015,2.6477942,0.6336239,0.48143026,0.25123104
Greece,GRC,2016,3.7750165,1.8520684,0.85731953,0.0
Greece,GRC,2017,3.9380045,1.4743667,1.5124229,0.0
Greece,GRC,2018,3.1575096,1.0962169,0.5979365,0.0
Greece,GRC,2019,2.3724532,1.0159463,0.812757,0.0
Greece,GRC,2020,2.1608655,0.5188073,0.39539602,0.0
Greece,GRC,2021,2.2351696,1.3705155,0.5026572,0.0
Greece,GRC,2022,0.93823946,1.3935481,0.50674474,0.0
