Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Guatemala,GTM,1963,2.4761906,,0.7831411,0.48693395
Guatemala,GTM,1964,2.5921125,,0.9689252,0.31357792
Guatemala,GTM,1965,2.539913,,0.4506873,0.14898689
Guatemala,GTM,1966,1.5242159,,0.5362154,0.13548538
Guatemala,GTM,1967,2.2234576,,0.8128505,0.0
Guatemala,GTM,1968,1.7372019,,0.7365389,0.3223049
Guatemala,GTM,1969,1.8409686,,0.71917653,0.24561636
Guatemala,GTM,1970,1.8017393,,0.43217126,0.12037707
Guatemala,GTM,1971,3.125518,,0.6285158,0.28427342
Guatemala,GTM,1974,1.9312476,,0.7946599,0.2437538
Guatemala,GTM,1975,3.2298098,,0.9388336,0.16023125
Guatemala,GTM,1976,1.3363429,,0.98311067,0.13650933
Guatemala,GTM,1977,1.4218279,,0.92807424,0.23336388
Guatemala,GTM,1978,2.7683322,,0.77386767,0.09770907
Guatemala,GTM,1979,2.5795715,,0.7119369,0.14272013
Guatemala,GTM,1980,1.8527439,,0.8982903,0.13908818
Guatemala,GTM,1981,2.121973,,1.2699133,0.18000422
Guatemala,GTM,1984,1.6580311,,1.6884762,0.36199096
Guatemala,GTM,1986,2.4604034,,0.7436695,0.35412833
Guatemala,GTM,1987,1.9437497,,1.0787491,0.15642665
Guatemala,GTM,1988,2.2264564,,0.9595084,0.23068716
Guatemala,GTM,1989,2.5754974,,1.3841293,0.2025555
Guatemala,GTM,1990,2.5841858,,1.1963137,0.36554033
Guatemala,GTM,1991,3.1462667,,1.3079089,0.18719593
Guatemala,GTM,1992,1.6108779,,1.0593343,0.0
Guatemala,GTM,1993,3.2966332,,1.1965346,0.22041427
Guatemala,GTM,1994,3.07954,,1.3600143,0.31462008
Guatemala,GTM,1995,3.1660552,,1.5490197,0.4252211
Guatemala,GTM,1996,3.4121468,,1.2187238,0.13436314
Guatemala,GTM,1997,3.4433277,,1.6337357,0.162738
Guatemala,GTM,1998,3.6139522,,1.5483702,0.14336762
Guatemala,GTM,1999,3.4300752,,1.4371998,0.14090194
Guatemala,GTM,2000,3.3694267,0.5261811,1.2739122,0.18606895
Guatemala,GTM,2001,4.089664,0.65532213,1.4471697,0.17118871
Guatemala,GTM,2002,5.0147195,0.5382392,1.5339817,0.21529569
Guatemala,GTM,2003,3.688602,0.7165774,1.5393145,0.22094858
Guatemala,GTM,2004,3.7101712,0.5245534,1.599888,0.15736602
Guatemala,GTM,2005,4.3901205,0.57167387,1.7410067,0.23254915
Guatemala,GTM,2006,4.3605638,0.43809894,2.0616422,0.08628197
Guatemala,GTM,2007,3.8229332,0.79531676,1.5649781,0.085656114
Guatemala,GTM,2008,3.869572,0.58893764,1.4851471,0.102423936
Guatemala,GTM,2009,4.579472,0.25570568,1.8155104,0.28127626
Guatemala,GTM,2010,3.963852,0.33895624,1.7867316,0.28246352
Guatemala,GTM,2011,4.060213,0.51147336,1.4065517,0.3324577
Guatemala,GTM,2012,3.5782788,0.5109501,1.4060681,0.102259494
Guatemala,GTM,2013,3.736919,0.28080216,1.7103404,0.153524
Guatemala,GTM,2014,3.0801265,0.48378205,1.5805782,0.1027519
Guatemala,GTM,2015,3.06102,0.2562273,1.4764292,0.25455675
Guatemala,GTM,2016,2.907168,0.25472197,1.7708809,0.25472197
Guatemala,GTM,2017,3.4290586,0.36577836,1.685552,0.19695757
Guatemala,GTM,2018,3.4498098,0.3914264,1.5010399,0.1957132
Guatemala,GTM,2019,3.3142934,0.3053714,1.4669541,0.13880518
Guatemala,GTM,2020,2.8556297,0.33075663,1.4577022,0.25225973
Guatemala,GTM,2021,4.099562,0.3831058,1.7181135,0.19155289
Guatemala,GTM,2022,4.18752,0.3415094,1.8539082,0.21746594
