Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Guyana,GUY,1977,1.6528926,,1.9047619,0.86956525
Guyana,GUY,1979,2.3255813,,,
Guyana,GUY,1984,1.6260163,,1.7857143,0.0
Guyana,GUY,1988,4.379914,,1.1858739,0.0
Guyana,GUY,1989,3.3470936,,2.4284074,0.0
Guyana,GUY,1990,2.2511368,,1.6679362,0.0
Guyana,GUY,1991,3.408084,1.4012275,2.4862015,0.0
Guyana,GUY,1992,3.417129,0.0,5.15916,1.387309
Guyana,GUY,1993,3.4114945,,2.704018,0.0
Guyana,GUY,1994,1.1345973,,4.568964,2.2832875
Guyana,GUY,1995,0.0,,1.6070367,0.0
Guyana,GUY,1996,1.1871691,,3.6014621,0.0
Guyana,GUY,1997,1.2428381,0.0,1.7827007,1.2248298
Guyana,GUY,1998,1.2937447,0.0,2.3545477,0.0
Guyana,GUY,1999,5.3047585,0.0,1.1642663,1.087051
Guyana,GUY,2001,2.5857165,0.0,1.586135,0.0
Guyana,GUY,2002,3.7126875,0.0,0.0,0.0
Guyana,GUY,2003,7.0376277,0.0,1.4009919,0.0
Guyana,GUY,2004,2.228164,0.0,3.0238888,0.0
Guyana,GUY,2005,3.2151585,0.0,1.8571482,0.0
Guyana,GUY,2006,3.209277,0.0,3.7064035,0.0
Guyana,GUY,2007,2.1561482,1.1326824,1.3210825,0.0
Guyana,GUY,2008,5.465138,0.0,1.3655419,1.1703846
Guyana,GUY,2009,4.4398565,0.0,4.9336424,0.0
Guyana,GUY,2010,0.0,1.2534784,4.347952,1.7176818
Guyana,GUY,2011,2.3012576,0.0,2.217967,0.0
Guyana,GUY,2012,5.892196,0.0,4.5035915,1.5011972
Guyana,GUY,2013,1.2094092,1.3543346,3.0335665,5.170542
Guyana,GUY,2014,8.68745,1.7125634,6.213882,2.75786
Guyana,GUY,2015,1.2715043,0.0,2.7311397,0.0
Guyana,GUY,2016,6.5634027,0.0,1.4136274,0.0
Guyana,GUY,2017,2.6996384,1.641497,2.3116577,1.4103775
Guyana,GUY,2018,2.7639961,0.0,4.5337768,1.3931651
Guyana,GUY,2019,4.2188754,1.3710275,1.5048003,0.0
Guyana,GUY,2020,4.255319,0.0,1.4997113,0.0
