Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Hong Kong,HKG,1955,4.873057,,0.75742084,1.3630849
Hong Kong,HKG,1956,5.95621,,0.77571094,1.0342813
Hong Kong,HKG,1957,3.4275753,,2.0830653,0.25731814
Hong Kong,HKG,1958,7.994244,,2.2275057,0.6657834
Hong Kong,HKG,1959,4.72126,,2.836638,1.2481208
Hong Kong,HKG,1960,6.095791,,1.5406625,1.5406625
Hong Kong,HKG,1961,4.9797697,,1.7484555,1.7660503
Hong Kong,HKG,1962,5.6577086,,3.4944088,1.4976039
Hong Kong,HKG,1963,6.85654,,3.0837004,1.5695508
Hong Kong,HKG,1964,4.752376,,2.9845,1.540387
Hong Kong,HKG,1965,3.8222647,,2.2112246,0.8575512
Hong Kong,HKG,1966,6.3956146,,2.483523,1.3372815
Hong Kong,HKG,1967,6.3304954,,3.8786,0.634652
Hong Kong,HKG,1968,6.0568085,,2.9708853,1.615161
Hong Kong,HKG,1969,5.4119062,,2.2065313,0.91463417
Hong Kong,HKG,1970,6.5814943,,1.9941226,0.91240877
Hong Kong,HKG,1971,5.833647,,1.1946133,1.520417
Hong Kong,HKG,1972,3.488799,,3.144654,1.2316787
Hong Kong,HKG,1973,5.9277887,,2.3097355,0.50955415
Hong Kong,HKG,1974,6.232194,,2.4808033,0.5230126
Hong Kong,HKG,1975,6.123585,,2.7617676,0.8002134
Hong Kong,HKG,1976,5.407421,,1.7660644,0.67925555
Hong Kong,HKG,1977,6.232957,,2.1218174,1.1083403
Hong Kong,HKG,1978,9.236453,,3.0131826,0.8354219
Hong Kong,HKG,1979,6.7411,1.7942584,2.5426807,0.4792715
Hong Kong,HKG,1980,5.078384,1.072386,1.6855285,0.8042895
Hong Kong,HKG,1981,4.9504952,0.9411132,2.2855606,0.6007209
Hong Kong,HKG,1982,5.2873564,0.717961,2.0342228,0.5976096
Hong Kong,HKG,1983,4.178273,1.7264277,1.3107722,0.47664443
Hong Kong,HKG,1984,3.9784694,2.9158382,2.385686,0.3976143
Hong Kong,HKG,1985,4.475854,1.6820858,1.8022348,0.66313
Hong Kong,HKG,1986,5.6960583,1.7089523,1.1831208,0.4780686
Hong Kong,HKG,1987,3.8955088,1.1876484,1.8041857,0.90361446
Hong Kong,HKG,1988,4.3991666,1.3328487,2.3021932,0.3984064
Hong Kong,HKG,1989,4.906542,1.1990408,0.93258727,0.0
Hong Kong,HKG,1990,4.005655,1.1223345,1.916758,0.6574622
Hong Kong,HKG,1991,4.241282,1.5462469,1.4102564,0.33444816
Hong Kong,HKG,1992,2.8169014,0.7818608,1.3031014,0.0
Hong Kong,HKG,1993,2.5803425,0.8791209,1.0793308,0.2580645
Hong Kong,HKG,1994,4.9633656,0.5295208,0.9266614,0.33715442
Hong Kong,HKG,1995,2.7745664,0.43560332,1.1616088,0.2904022
Hong Kong,HKG,1996,4.109589,0.71561474,1.3053126,0.0
Hong Kong,HKG,1997,4.479019,0.57937425,0.7959671,0.0
Hong Kong,HKG,1998,4.041845,0.7307805,1.461561,0.3507541
Hong Kong,HKG,1999,1.8613309,0.44556662,1.0396554,0.36886758
Hong Kong,HKG,2000,2.546886,1.2370496,0.77315605,0.0
Hong Kong,HKG,2001,2.795248,0.80347097,0.6427768,0.25227043
Hong Kong,HKG,2002,3.235498,0.2566735,1.1595163,0.2566735
Hong Kong,HKG,2003,2.7913468,0.5262235,0.7016313,0.0
Hong Kong,HKG,2004,1.896184,0.28121486,0.85719186,0.28121486
Hong Kong,HKG,2005,2.8915663,0.77745384,0.9718173,0.0
Hong Kong,HKG,2006,3.3972337,0.9485866,0.9485866,0.0
Hong Kong,HKG,2007,4.149378,1.2839718,1.497967,0.33978933
Hong Kong,HKG,2008,2.0171456,2.203614,0.8814456,0.35663337
Hong Kong,HKG,2009,1.0669512,0.0,1.022704,0.5555556
Hong Kong,HKG,2010,2.8328612,0.5263158,1.5789474,0.0
Hong Kong,HKG,2011,3.3222592,1.0154346,1.2185215,0.509165
Hong Kong,HKG,2012,1.9582245,0.43907794,1.0976949,0.47326076
Hong Kong,HKG,2013,1.7319016,1.0761945,0.6457167,0.92378753
Hong Kong,HKG,2014,2.1794405,0.6273526,1.0455877,0.0
Hong Kong,HKG,2015,3.014318,0.79113925,0.988924,0.0
Hong Kong,HKG,2016,1.9290123,0.86931324,0.8841733,0.0
Hong Kong,HKG,2017,2.661597,0.984252,0.5677517,0.656168
