Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Hungary,HUN,1955,5.7098365,,2.7319295,0.58034563
Hungary,HUN,1956,5.476594,,2.728741,0.68780094
Hungary,HUN,1957,5.302227,,2.5588253,0.6675196
Hungary,HUN,1958,6.6397605,,3.3687048,0.61759585
Hungary,HUN,1959,6.390593,,3.1303358,0.62185186
Hungary,HUN,1960,4.4792833,,3.2488253,0.5801473
Hungary,HUN,1961,6.5836725,,3.0274248,0.89041907
Hungary,HUN,1962,4.56942,,3.1684134,1.1576895
Hungary,HUN,1963,6.110919,,3.5948536,0.47964916
Hungary,HUN,1964,4.578959,,4.5589695,0.57724226
Hungary,HUN,1965,5.857468,,4.0277777,0.45735192
Hungary,HUN,1966,6.5282536,,3.037755,1.5181782
Hungary,HUN,1967,6.9787416,,3.7719104,1.153973
Hungary,HUN,1968,6.8531003,,3.0496876,1.4193871
Hungary,HUN,1969,7.2659087,,2.526003,0.6685609
Hungary,HUN,1970,6.281407,,2.8769548,0.8852169
Hungary,HUN,1971,4.565597,,3.6651518,1.0262425
Hungary,HUN,1972,6.101022,,3.3287504,1.2301903
Hungary,HUN,1973,6.3562455,,2.468546,0.95556617
Hungary,HUN,1974,6.7022085,,3.8083367,1.1733416
Hungary,HUN,1975,5.4508643,,2.6657782,0.9330223
Hungary,HUN,1976,5.6657224,,3.024453,0.94911295
Hungary,HUN,1977,6.2063613,,1.6327556,0.6279829
Hungary,HUN,1978,5.859375,,2.9112983,0.8301626
Hungary,HUN,1979,6.3990693,1.2939799,3.2041407,0.61538464
Hungary,HUN,1980,5.6219254,1.7713169,2.3821158,0.36647937
Hungary,HUN,1981,5.3667264,2.082185,2.327148,0.6124074
Hungary,HUN,1982,5.8503404,2.0874016,2.6530108,0.6169793
Hungary,HUN,1983,6.353927,1.6273392,2.503599,0.93884957
Hungary,HUN,1984,5.156002,2.121777,1.4673002,0.48910004
Hungary,HUN,1985,3.1577618,1.737039,1.9374666,0.8017103
Hungary,HUN,1986,4.8256726,1.8753908,2.431062,0.6855576
Hungary,HUN,1987,4.6620045,1.8736038,2.6132405,0.39594552
Hungary,HUN,1988,4.565168,1.7138599,1.9374069,0.5961252
Hungary,HUN,1989,4.3548017,2.6127717,1.8443096,0.4610774
Hungary,HUN,1990,4.794743,1.5758344,1.6600488,0.43773177
Hungary,HUN,1991,3.9136968,2.1577904,1.5983633,0.479509
Hungary,HUN,1992,4.379539,1.9655739,2.3348627,0.8051251
Hungary,HUN,1993,3.3496723,1.8631538,1.0530869,0.65614754
Hungary,HUN,1994,4.8239617,1.467513,1.9566839,0.54128295
Hungary,HUN,1995,6.3429737,1.4013407,1.4538093,0.88835984
Hungary,HUN,1996,3.2343369,2.0967526,1.3828351,0.42882013
Hungary,HUN,1997,3.9044442,1.7974696,1.5000895,0.56253356
Hungary,HUN,1998,4.405848,1.400911,2.1013665,0.37579787
Hungary,HUN,1999,3.736514,1.5241374,2.2413785,0.44827572
Hungary,HUN,2000,4.396943,1.2864195,1.0107582,0.70499206
Hungary,HUN,2001,4.826946,1.7069054,0.9388868,0.20864151
Hungary,HUN,2002,3.8867404,1.942853,1.0685691,0.72597784
Hungary,HUN,2003,3.5968459,1.7500339,1.0937712,0.37647697
Hungary,HUN,2004,3.3152652,1.616761,1.2125707,0.7817386
Hungary,HUN,2005,1.8598989,0.90906197,0.9229482,0.627472
Hungary,HUN,2006,2.7874177,1.0335448,0.8047244,0.0
Hungary,HUN,2007,3.2524204,0.8283314,0.72479,0.25954744
Hungary,HUN,2008,4.1223207,1.2638115,0.9306866,0.20763516
Hungary,HUN,2009,2.9141662,1.7525682,1.2584884,0.3432241
Hungary,HUN,2010,2.2046828,1.3428407,1.0329543,0.22825396
Hungary,HUN,2011,1.8402349,0.5146958,0.93705004,0.34391287
Hungary,HUN,2012,3.715504,1.3668082,0.8113355,0.42055637
Hungary,HUN,2013,2.4948153,0.8444671,0.6333503,0.0
Hungary,HUN,2014,3.5416446,1.1621789,0.52826315,0.4058322
Hungary,HUN,2015,2.4944136,0.84678936,1.7994274,0.35192844
Hungary,HUN,2016,2.2724855,1.1816064,1.064277,0.2739696
Hungary,HUN,2017,2.8732328,0.7485554,0.9516304,0.0
Hungary,HUN,2018,1.8329117,1.0747796,0.5970998,0.2676982
Hungary,HUN,2019,2.42206,1.079804,1.5117255,0.0
Hungary,HUN,2020,1.8619663,1.2106978,0.49378693,0.22350065
Hungary,HUN,2021,2.2999897,0.6124156,0.45043218,0.0
Hungary,HUN,2022,1.9127977,1.2039595,0.6567052,0.0
Hungary,HUN,2023,2.1798768,1.3063016,0.6449009,0.21300638
