Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Ireland,IRL,1950,4.959939,,2.7160075,0.35855144
Ireland,IRL,1951,5.749329,,2.8624349,0.3557453
Ireland,IRL,1952,2.6455026,,3.697479,1.0084034
Ireland,IRL,1953,3.3507073,,3.5193565,1.1181513
Ireland,IRL,1954,2.9400957,,3.345041,0.9298865
Ireland,IRL,1955,4.0058265,,2.850436,0.33978933
Ireland,IRL,1956,6.507592,,3.742515,0.74850297
Ireland,IRL,1957,2.1474588,,4.5477514,0.6786563
Ireland,IRL,1958,4.9946485,,3.948853,0.8486083
Ireland,IRL,1959,2.468265,,2.633559,0.6882312
Ireland,IRL,1960,4.5422783,,5.4301715,0.0
Ireland,IRL,1961,6.232687,,2.889191,1.1413354
Ireland,IRL,1962,3.125,,4.043808,0.5623243
Ireland,IRL,1963,2.7777777,,3.4994168,0.56449336
Ireland,IRL,1964,5.915101,,4.7886395,0.92047125
Ireland,IRL,1965,5.5826936,,3.1116934,0.49132
Ireland,IRL,1966,4.905396,,2.9277813,0.90711176
Ireland,IRL,1967,5.2173915,,3.562753,0.5425936
Ireland,IRL,1968,5.8742228,,3.3903778,0.9012257
Ireland,IRL,1969,5.1493306,,3.5421028,0.0
Ireland,IRL,1970,4.755435,,3.0259879,0.5339979
Ireland,IRL,1971,3.6850922,,3.0039525,1.5082957
Ireland,IRL,1972,3.9721947,,2.3474178,0.9448819
Ireland,IRL,1973,6.540222,,3.8108435,0.31436655
Ireland,IRL,1974,3.4898477,,1.9920318,0.7616146
Ireland,IRL,1975,3.117207,,2.7301683,0.30788177
Ireland,IRL,1976,5.266419,,2.3788285,0.33008748
Ireland,IRL,1977,4.8929663,,2.209131,0.65445024
Ireland,IRL,1978,5.4364243,,2.4362514,0.649667
Ireland,IRL,1979,3.8655963,1.7673522,1.9280206,0.36737692
Ireland,IRL,1980,4.1383386,1.7608452,2.151463,0.28620493
Ireland,IRL,1981,3.5169988,1.4234875,3.6560166,0.3576538
Ireland,IRL,1982,4.9562683,1.6595542,2.6570804,0.2850627
Ireland,IRL,1983,2.0301623,1.8348624,1.5661707,0.56457305
Ireland,IRL,1984,3.4374106,1.1146497,2.3138106,0.0
Ireland,IRL,1985,2.8563268,0.3215951,1.607717,0.5675369
Ireland,IRL,1986,4.285714,1.1853608,2.444191,1.1409013
Ireland,IRL,1987,2.8835063,1.3529766,1.2026458,0.330033
Ireland,IRL,1988,3.8056207,1.002004,1.6700066,0.0
Ireland,IRL,1989,3.2276995,1.0999372,1.1953552,0.29027575
Ireland,IRL,1990,3.492433,1.0381521,0.88904697,0.29895365
Ireland,IRL,1991,5.1679587,1.347709,0.31397173,0.5559674
Ireland,IRL,1992,1.711352,1.1357183,0.94643193,0.0
Ireland,IRL,1993,1.4297969,1.7593244,0.96786684,0.46882325
Ireland,IRL,1994,2.3188405,1.444304,0.9940358,0.0
Ireland,IRL,1995,2.387347,1.1055832,0.78277886,0.0
Ireland,IRL,1996,2.7598896,1.3128282,1.0322047,0.0
Ireland,IRL,1997,2.5155256,1.1364561,1.256634,0.0
Ireland,IRL,1998,3.2433624,0.49734667,0.6317492,0.49734667
Ireland,IRL,1999,2.3314605,0.3695915,0.83856916,0.0
Ireland,IRL,2000,2.0329404,0.6260029,0.6260029,0.0
Ireland,IRL,2001,2.0646653,1.1174412,1.4527161,0.0
Ireland,IRL,2002,2.1000462,0.73838884,0.8209827,0.0
Ireland,IRL,2003,3.2037477,0.6094997,1.2189994,0.37304664
Ireland,IRL,2004,2.8832777,1.1902589,1.3886354,0.0
Ireland,IRL,2005,0.7280272,0.9661668,0.8641922,0.0
Ireland,IRL,2006,3.6513407,1.5108565,0.6936617,0.0
Ireland,IRL,2007,4.3546896,0.9212514,0.33793375,0.0
Ireland,IRL,2008,3.2033827,1.1089196,0.89398897,0.0
Ireland,IRL,2009,0.6942492,1.2313925,0.7696203,0.0
Ireland,IRL,2010,1.0527165,0.6819643,0.6045273,0.0
Ireland,IRL,2011,2.657463,1.2514156,0.33155125,0.31285393
Ireland,IRL,2012,3.2747588,1.3054622,0.4878882,0.34472656
Ireland,IRL,2013,2.2664504,1.1447705,0.47798938,0.0
Ireland,IRL,2014,1.6698952,0.47155058,1.0324109,0.0
Ireland,IRL,2015,1.2720988,1.7653553,1.1450425,0.0
Ireland,IRL,2016,2.5089695,0.6405955,0.48044664,0.0
Ireland,IRL,2017,0.9240322,0.96428293,0.5544482,0.5544482
Ireland,IRL,2018,2.4054,0.73948413,0.38794726,0.0
Ireland,IRL,2019,1.1605674,1.2010974,0.81903034,0.0
Ireland,IRL,2020,1.1276182,0.60705304,0.48973995,0.28554052
Ireland,IRL,2021,0.82410336,0.34030852,0.291797,0.0
Ireland,IRL,2022,2.9342802,0.8595067,0.2910539,0.0
