Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Israel,ISR,1975,5.1390567,,2.6125903,1.1196815
Israel,ISR,1976,5.6530795,,2.7710843,1.4457831
Israel,ISR,1977,5.8479533,,3.1508927,1.1669973
Israel,ISR,1978,4.5819016,,3.1818182,1.270648
Israel,ISR,1979,4.7261605,0.989854,2.443087,1.6657412
Israel,ISR,1980,2.960969,0.60642815,0.98049897,0.65366596
Israel,ISR,1981,4.4155846,1.7258117,1.2943587,0.86290586
Israel,ISR,1982,3.2306163,0.95816034,1.0652149,0.47342882
Israel,ISR,1983,5.1546392,1.1038882,1.1038882,0.49061695
Israel,ISR,1984,3.073286,1.4333493,1.9111323,0.7166746
Israel,ISR,1985,2.7567196,0.59220654,1.3028544,0.3557453
Israel,ISR,1986,3.5898585,0.47219926,1.3743525,0.5285971
Israel,ISR,1987,4.175824,1.0521885,1.1574074,0.6527415
Israel,ISR,1988,3.6884356,0.9379885,1.1625203,0.64488393
Israel,ISR,1989,1.7256255,1.8382353,0.7212034,0.2113718
Israel,ISR,1990,2.9882605,0.6755235,1.5762216,1.0132853
Israel,ISR,1991,3.7251656,0.8605852,1.5060241,0.32271945
Israel,ISR,1992,3.0574806,0.7356805,1.2611666,0.47187617
Israel,ISR,1993,3.3945687,0.72493786,1.5534383,0.5178127
Israel,ISR,1994,1.5582392,0.7143586,0.9184611,0.18559761
Israel,ISR,1995,2.2813687,0.9888529,0.8026487,0.20066218
Israel,ISR,1996,3.7397158,0.2972357,1.1889428,0.36509675
Israel,ISR,1997,2.3932254,0.97228974,0.7778318,0.21172982
Israel,ISR,1998,2.0047386,0.95283467,0.2858504,0.17658485
Israel,ISR,1999,2.884442,1.3272501,0.69276065,0.34638032
Israel,ISR,2000,2.8461902,1.1326494,0.7258645,0.18146613
Israel,ISR,2001,3.8700678,0.8696587,0.3952994,0.17717655
Israel,ISR,2002,3.8253918,0.6942817,0.5207113,0.18622997
Israel,ISR,2003,2.2315278,1.108501,0.6821544,0.15937398
Israel,ISR,2004,2.2039316,0.66854835,0.66854835,0.2547435
Israel,ISR,2005,3.3404512,0.7323939,0.49103755,0.24551877
Israel,ISR,2006,2.624431,1.3663168,0.9644589,0.14917202
Israel,ISR,2007,3.380434,1.0270128,0.5653431,0.14625014
Israel,ISR,2008,2.8398423,1.3188162,0.6941138,0.14337288
Israel,ISR,2009,2.0552611,1.4653213,0.5398552,0.14273909
Israel,ISR,2010,1.8537313,1.2847934,0.60582113,0.3778804
Israel,ISR,2011,1.953395,1.3187559,0.7912535,0.4153721
Israel,ISR,2012,1.6261649,0.94028664,0.43397844,0.15455177
Israel,ISR,2013,1.4461107,0.9920784,0.71990055,0.13362171
Israel,ISR,2014,2.830813,1.2501093,0.27780208,0.0
Israel,ISR,2015,2.6435814,1.0868415,0.36379206,0.0
Israel,ISR,2016,3.011772,0.7121104,0.91233015,0.0
Israel,ISR,2017,2.2846525,1.1060656,0.523595,0.24189876
Israel,ISR,2018,1.5848342,0.5142369,0.39996207,0.13861781
Israel,ISR,2019,1.2935282,0.6194006,0.33785486,0.18826944
Israel,ISR,2020,2.3921306,0.9488422,0.24801861,0.0
Israel,ISR,2021,2.084166,0.8308551,0.43077374,0.2246666
Israel,ISR,2022,2.0296254,0.8534998,0.32916266,0.11036115
