Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Italy,ITA,1951,4.5334163,,3.8665786,0.96664464
Italy,ITA,1952,5.0110292,,4.212936,1.2176116
Italy,ITA,1953,5.1118994,,4.0711665,1.0451353
Italy,ITA,1954,5.367267,,4.4551764,1.0866284
Italy,ITA,1955,5.2146115,,4.5661554,1.0040761
Italy,ITA,1956,5.9077964,,4.9594874,1.1114032
Italy,ITA,1957,6.393698,,5.167397,1.1348957
Italy,ITA,1958,5.695607,,4.4401073,1.0856307
Italy,ITA,1959,5.9668455,,5.2335486,1.3849906
Italy,ITA,1960,6.1404333,,5.0075297,1.3957418
Italy,ITA,1961,6.5852685,,4.6665606,1.3071257
Italy,ITA,1962,6.5291767,,5.6101494,1.029941
Italy,ITA,1963,6.3126626,,4.9415727,1.3129781
Italy,ITA,1964,6.2810583,,5.097736,1.230488
Italy,ITA,1965,7.023616,,4.5366616,1.1284083
Italy,ITA,1966,7.087497,,4.613322,1.1135604
Italy,ITA,1967,5.9299054,,4.593922,0.9232883
Italy,ITA,1968,6.7695093,,4.8194656,0.8386541
Italy,ITA,1969,6.4939933,,4.5992846,0.9776257
Italy,ITA,1970,6.885108,,4.4943323,0.7970244
Italy,ITA,1971,6.8593826,,4.1997304,0.7515307
Italy,ITA,1972,6.0148206,,4.2976775,1.0495614
Italy,ITA,1973,6.853879,,3.5268104,0.8734107
Italy,ITA,1974,5.8506956,,3.400678,0.70243514
Italy,ITA,1975,5.930238,,3.7434602,0.6201515
Italy,ITA,1976,6.0537925,,2.9297657,0.8125522
Italy,ITA,1977,6.4422235,,3.21461,0.5823569
Italy,ITA,1978,6.5416765,,3.2324,0.6417265
Italy,ITA,1979,6.0160427,0.9016473,2.9729993,0.6121987
Italy,ITA,1980,5.8663864,1.2152495,2.8063493,0.45102045
Italy,ITA,1981,6.485113,1.2124182,2.6054094,0.5479991
Italy,ITA,1982,5.3535085,1.2439661,2.7313168,0.3245129
Italy,ITA,1983,5.1466002,1.1609366,2.461745,0.40562844
Italy,ITA,1984,5.217235,0.9287207,2.4959369,0.4498491
Italy,ITA,1985,5.514664,0.94885236,1.9730104,0.406651
Italy,ITA,1986,5.095749,0.9669973,1.9495914,0.28074116
Italy,ITA,1987,5.091014,1.2548465,1.8822696,0.30566773
Italy,ITA,1988,4.417711,0.8244159,1.7807384,0.3792313
Italy,ITA,1989,3.9480221,0.9752325,1.6478065,0.3867301
Italy,ITA,1990,4.4344068,0.868573,1.5327759,0.32358602
Italy,ITA,1991,4.64657,0.90715605,2.023656,0.3091668
Italy,ITA,1992,5.251318,0.9340961,1.8950005,0.24367724
Italy,ITA,1993,5.139068,1.234314,1.8779502,0.25775787
Italy,ITA,1994,4.577521,1.2189252,1.2189252,0.2585599
Italy,ITA,1995,4.3014007,0.83402663,1.260307,0.25947496
Italy,ITA,1996,4.5305715,0.83710307,1.5253879,0.29763666
Italy,ITA,1997,4.3222365,0.96491945,1.2803738,0.2676283
Italy,ITA,1998,3.9541094,0.7594654,1.1843241,0.27757597
Italy,ITA,1999,3.5556526,0.4641077,1.1695514,0.22277169
Italy,ITA,2000,3.82004,0.85661477,1.1359457,0.31001496
Italy,ITA,2001,3.1607685,0.95549905,0.93676376,0.2289781
Italy,ITA,2002,3.388957,0.9253828,0.84984136,0.1510829
Italy,ITA,2003,2.8445337,0.6201049,1.0867608,0.16719395
Italy,ITA,2004,4.049145,0.61758417,1.0480217,0.16688935
Italy,ITA,2005,3.7226045,0.6195448,1.1118653,0.1667798
Italy,ITA,2006,3.205525,0.8006892,1.0190591,0.20225707
Italy,ITA,2007,2.8673096,0.5761197,0.77416086,0.14402993
Italy,ITA,2008,3.0900538,0.5521166,1.0329924,0.19800012
Italy,ITA,2009,3.044381,0.74187946,0.75954324,0.13738766
Italy,ITA,2010,3.2007852,0.70249456,0.9148851,0.07037578
Italy,ITA,2011,3.050589,0.72041386,0.91852766,0.13965295
Italy,ITA,2012,2.8634834,0.7035929,0.8659605,0.15032919
Italy,ITA,2013,3.0772376,0.6103003,0.71800035,0.12565006
Italy,ITA,2014,2.5532107,0.6118974,0.6118974,0.04575325
Italy,ITA,2015,2.623149,0.6942751,0.84043825,0.11945444
Italy,ITA,2016,3.2218666,0.6509528,0.5098815,0.0
Italy,ITA,2017,3.0411084,0.7020095,0.73995596,0.07132604
Italy,ITA,2018,3.170205,0.6444251,0.7649535,0.11021996
Italy,ITA,2019,2.3957345,0.9021792,0.6606555,0.1127724
Italy,ITA,2020,2.4661973,0.64001006,0.6766344,0.08258194
Italy,ITA,2021,2.1181433,0.7394212,0.5284853,0.06932074
Italy,ITA,2022,2.3777473,0.5755001,0.5664568,0.03914912
