Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Jamaica,JAM,1960,,,4.1139283,1.8284127
Jamaica,JAM,1961,,,5.7843847,0.88990533
Jamaica,JAM,1965,3.1881654,,2.29427,0.0
Jamaica,JAM,1967,,,6.3178177,0.0
Jamaica,JAM,1977,,,3.4515042,1.7354062
Jamaica,JAM,1980,2.8170104,,0.3859782,0.3452514
Jamaica,JAM,1981,2.7953165,,0.97143024,0.3885721
Jamaica,JAM,1982,,,2.633034,0.0
Jamaica,JAM,1983,2.413793,,1.4285715,0.3984064
Jamaica,JAM,1984,,,3.9827414,0.0
Jamaica,JAM,1985,3.4364262,,1.6061032,0.8030516
Jamaica,JAM,1986,2.1444578,,1.2329341,0.3659264
Jamaica,JAM,1987,2.5598643,,3.2720435,1.5397851
Jamaica,JAM,1988,3.733419,,1.3752912,0.38410646
Jamaica,JAM,1989,1.5147097,,1.1500928,0.0
Jamaica,JAM,1990,2.2803717,,1.5520399,0.8469839
Jamaica,JAM,1991,2.6549847,,1.3458898,0.5202192
Jamaica,JAM,2000,2.8944292,0.4316429,1.3467884,0.8632857
Jamaica,JAM,2001,2.8853679,0.38581362,1.1574409,0.34709206
Jamaica,JAM,2002,5.3874474,1.3594608,1.1652522,0.3884174
Jamaica,JAM,2003,2.860821,0.9807248,2.3537395,0.0
Jamaica,JAM,2004,3.2045233,0.34769186,1.3899313,0.39712325
Jamaica,JAM,2005,2.1264002,1.0075933,1.472399,0.34982648
Jamaica,JAM,2006,2.8183503,0.9946488,1.1338854,0.0
Jamaica,JAM,2009,2.4662912,0.61225617,0.90185356,0.0
Jamaica,JAM,2010,2.4959974,1.3897479,1.1581231,0.0
Jamaica,JAM,2011,2.54829,1.4099268,1.8799025,0.86398685
Jamaica,JAM,2012,3.3607671,0.9503242,1.1879052,0.4751621
Jamaica,JAM,2013,3.4584525,0.7179318,1.196553,0.0
Jamaica,JAM,2014,5.931034,1.2882558,1.9323838,0.43383572
