Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Japan,JPN,1950,2.4712927,,1.7802007,0.4245465
Japan,JPN,1951,2.50423,,1.8657434,0.36545488
Japan,JPN,1952,3.1912544,,2.127248,0.49796945
Japan,JPN,1953,3.0712664,,2.1799562,0.3950256
Japan,JPN,1954,3.1437435,,2.5425406,0.40561932
Japan,JPN,1955,3.6391172,,2.848652,0.5125602
Japan,JPN,1956,3.764628,,2.7656333,0.4273714
Japan,JPN,1957,3.2910852,,2.817623,0.49692622
Japan,JPN,1958,3.8640032,,3.1770778,0.5160735
Japan,JPN,1959,4.2508173,,2.953801,0.44617644
Japan,JPN,1960,4.411124,,3.2787848,0.52202475
Japan,JPN,1961,3.9294097,,3.3807075,0.43543997
Japan,JPN,1962,4.8978853,,3.3967392,0.49407116
Japan,JPN,1963,4.666476,,3.495231,0.55848396
Japan,JPN,1964,4.3903947,,3.4680262,0.41540787
Japan,JPN,1965,4.638805,,3.6163876,0.63818604
Japan,JPN,1966,4.6381125,,3.6101084,0.56368357
Japan,JPN,1967,4.5449038,,3.5492957,0.63223785
Japan,JPN,1968,4.538635,,3.720128,0.57896036
Japan,JPN,1969,4.5299253,,3.2770004,0.49669877
Japan,JPN,1970,4.346544,,3.6506965,0.39178208
Japan,JPN,1971,4.7828336,,3.432309,0.42252705
Japan,JPN,1972,4.3347154,,3.5700405,0.5441119
Japan,JPN,1973,4.283217,,3.432941,0.50978905
Japan,JPN,1974,4.3728137,,3.1722217,0.43939558
Japan,JPN,1975,4.274493,,3.3247511,0.42556813
Japan,JPN,1976,4.635352,,3.2591124,0.5475309
Japan,JPN,1977,4.429016,,3.2443748,0.43432757
Japan,JPN,1978,4.0565815,,2.8889241,0.5166324
Japan,JPN,1979,3.9933293,0.3554603,2.6155512,0.53584313
Japan,JPN,1980,4.352873,0.40975872,2.6041245,0.44749966
Japan,JPN,1981,4.358078,0.37562627,2.419475,0.51924807
Japan,JPN,1982,3.6918685,0.39808464,2.1325963,0.45495388
Japan,JPN,1983,3.7259493,0.3667988,2.0410578,0.53836596
Japan,JPN,1984,3.6527848,0.38510913,1.8766428,0.45846322
Japan,JPN,1985,3.8908944,0.42009166,1.8057672,0.47025186
Japan,JPN,1986,3.647262,0.46008295,1.8208916,0.47952306
Japan,JPN,1987,3.7846315,0.3525108,1.6494845,0.40572
Japan,JPN,1988,3.3898306,0.42010504,1.5439267,0.34157673
Japan,JPN,1989,3.4639409,0.37177327,1.5852975,0.22446689
Japan,JPN,1990,3.2957072,0.40988323,1.3950411,0.3164011
Japan,JPN,1991,3.018453,0.41237113,1.1192931,0.3681885
Japan,JPN,1992,3.3106747,0.40656528,1.2498118,0.3312754
Japan,JPN,1993,3.0870576,0.39336675,1.3343618,0.2622445
Japan,JPN,1994,2.8044767,0.5228758,1.2926618,0.2443446
Japan,JPN,1995,2.8957398,0.49025124,1.1733882,0.21699645
Japan,JPN,1996,2.42965,0.54676026,1.0119145,0.14453478
Japan,JPN,1997,2.4,0.4797353,1.0669975,0.1834694
Japan,JPN,1998,2.4087696,0.48438284,1.05228,0.10205028
Japan,JPN,1999,2.6217787,0.42940137,0.875642,0.12150668
Japan,JPN,2000,2.0131695,0.43901113,0.8949073,0.10975278
Japan,JPN,2001,2.1790621,0.39844015,0.72058326,0.1186843
Japan,JPN,2002,2.1461997,0.33180195,0.6976349,0.07549306
Japan,JPN,2003,2.3052857,0.39386934,0.6678654,0.06629416
Japan,JPN,2004,2.0448878,0.35439536,0.8038724,0.066908814
Japan,JPN,2005,1.8028224,0.39311758,0.76876324,0.0769513
Japan,JPN,2006,2.2311692,0.41515768,0.66248566,0.16586985
Japan,JPN,2007,1.8699461,0.35704723,0.6962421,0.029641343
Japan,JPN,2008,1.8365628,0.50527835,0.7218262,0.100050025
Japan,JPN,2009,1.6096239,0.40138662,0.5929575,0.12128563
Japan,JPN,2010,1.9883503,0.49979323,0.6108584,0.10256261
Japan,JPN,2011,1.9096334,0.49523455,0.45785835,0.07475238
Japan,JPN,2012,1.9062339,0.5761783,0.6139605,0.083734564
Japan,JPN,2013,1.7055343,0.6091757,0.62821245,0.047591854
Japan,JPN,2014,1.7816193,0.5566753,0.60466456,0.07437314
Japan,JPN,2015,1.9196885,0.528855,0.528855,0.032388624
Japan,JPN,2016,1.7379116,0.5817158,0.44368157,0.10137125
Japan,JPN,2017,1.8393838,0.52854085,0.47867852,0.0257155
Japan,JPN,2018,2.1354814,0.64760685,0.424992,0.044661116
Japan,JPN,2019,1.8512428,0.5046696,0.52082866,0.11926561
Japan,JPN,2020,1.5428681,0.5160224,0.38964957,0.046109803
Japan,JPN,2021,1.5489455,0.6799405,0.34536663,0.04033225
Japan,JPN,2022,1.6033885,0.7153943,0.39872968,0.0411065
