Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Kazakhstan,KAZ,1981,4.5616817,,2.3026316,0.5681818
Kazakhstan,KAZ,1982,3.9261878,,2.342615,0.91925395
Kazakhstan,KAZ,1985,4.9977856,,2.1862953,1.2082158
Kazakhstan,KAZ,1986,4.900113,,2.5014923,0.89726335
Kazakhstan,KAZ,1987,7.071339,,1.8770136,0.9805295
Kazakhstan,KAZ,1988,4.677852,,2.5133262,0.9666639
Kazakhstan,KAZ,1989,5.2151237,,2.4404957,0.82263905
Kazakhstan,KAZ,1990,4.9584727,,2.9104087,0.7962439
Kazakhstan,KAZ,1991,5.634326,,3.2392664,0.63138247
Kazakhstan,KAZ,1992,3.9970484,,2.3292778,0.9043078
Kazakhstan,KAZ,1993,3.949687,,2.0318506,0.7138935
Kazakhstan,KAZ,1994,5.053808,,1.935392,0.6546179
Kazakhstan,KAZ,1995,4.7543583,,2.279339,0.71979123
Kazakhstan,KAZ,1996,4.0217795,,1.9472021,0.57458425
Kazakhstan,KAZ,1997,4.5740075,,1.3274484,0.50434095
Kazakhstan,KAZ,1998,4.370084,,2.3115542,0.5417705
Kazakhstan,KAZ,1999,4.7990026,,2.2835395,0.4947669
Kazakhstan,KAZ,2000,4.2652373,,1.8311045,0.47780654
Kazakhstan,KAZ,2001,3.7601266,,1.6685624,0.7732363
Kazakhstan,KAZ,2002,5.0174403,,1.581496,0.56721526
Kazakhstan,KAZ,2003,4.4511886,,1.6526618,0.48502156
Kazakhstan,KAZ,2004,4.1124954,1.1827135,1.2682774,0.08719088
Kazakhstan,KAZ,2005,4.3224955,0.86863273,1.7806971,0.36672485
Kazakhstan,KAZ,2006,4.506416,0.89183563,1.7836713,0.218782
Kazakhstan,KAZ,2007,4.4966974,0.65487427,1.9236932,0.14051694
Kazakhstan,KAZ,2008,4.2165766,0.93731874,1.6793628,0.26949638
Kazakhstan,KAZ,2009,3.3665006,1.2581619,1.9612523,0.12761228
Kazakhstan,KAZ,2010,3.469575,0.8495578,1.3805314,0.3647084
Kazakhstan,KAZ,2011,4.122536,0.9990958,1.7185726,0.26898736
Kazakhstan,KAZ,2012,2.5925682,0.93254215,1.3184216,0.07165505
Kazakhstan,KAZ,2013,2.9145122,0.8928206,1.108329,0.2440647
Kazakhstan,KAZ,2014,4.0303807,1.2132515,1.4499834,0.20714049
Kazakhstan,KAZ,2015,3.9610465,1.1137056,1.6562802,0.22535357
Kazakhstan,KAZ,2016,3.7120228,0.850855,1.5644753,0.24598014
Kazakhstan,KAZ,2017,2.4745283,0.9182347,1.0532693,0.17082906
Kazakhstan,KAZ,2018,2.610594,0.9036104,1.3288388,0.07973033
Kazakhstan,KAZ,2019,2.7909305,0.8932185,1.0245742,0.18389793
Kazakhstan,KAZ,2020,2.0147872,0.57003134,1.2955258,0.07773154
Kazakhstan,KAZ,2021,2.8754344,0.76384175,1.3239924,0.14308509
Kazakhstan,KAZ,2022,2.5000236,0.5246282,1.52392,0.13961975
Kazakhstan,KAZ,2023,2.0560055,0.5548229,1.1979262,0.086674154
