Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Kuwait,KWT,1972,2.1921892,,1.191223,1.5882975
Kuwait,KWT,1975,5.529954,,2.3696682,0.7047216
Kuwait,KWT,1976,5.1679587,,2.809778,0.94966763
Kuwait,KWT,1977,4.8939643,,2.9131355,0.0
Kuwait,KWT,1978,6.9337444,,2.4968789,0.0
Kuwait,KWT,1979,6.5454545,0.7942812,2.5882354,0.0
Kuwait,KWT,1980,3.986711,1.0121458,1.5182186,0.0
Kuwait,KWT,1981,7.5290895,1.3031014,3.4995625,0.6075334
Kuwait,KWT,1982,7.038123,0.82678795,3.7794576,0.99750626
Kuwait,KWT,1983,11.292346,1.4336917,2.4064171,0.80213904
Kuwait,KWT,1984,7.8125,0.691085,1.5493581,1.5493581
Kuwait,KWT,1985,6.321839,0.7354744,2.4515812,1.5337423
Kuwait,KWT,1986,6.0506053,1.1737089,2.3474178,1.1737089
Kuwait,KWT,1987,3.6861506,1.5730337,2.0084355,1.4051522
Kuwait,KWT,1993,6.923077,0.6345178,2.1299255,0.6345178
Kuwait,KWT,1994,2.2675736,0.6542362,2.0348837,0.58309036
Kuwait,KWT,1995,5.8139534,0.71787506,2.8026905,0.0
Kuwait,KWT,1996,1.4015417,1.6224986,1.8226002,0.0
Kuwait,KWT,1997,1.3586956,1.048218,1.3078734,0.5887548
Kuwait,KWT,1998,5.5454574,1.3542551,1.1874123,0.0
Kuwait,KWT,1999,5.347594,1.0149708,2.0028613,0.5399568
Kuwait,KWT,2000,4.009141,1.0415256,2.936323,0.5872646
Kuwait,KWT,2001,4.5521016,0.5163102,1.663626,1.5489308
Kuwait,KWT,2002,1.700314,0.598487,1.3601075,0.598487
Kuwait,KWT,2003,4.244817,1.3441293,1.447831,0.0
Kuwait,KWT,2004,4.192169,0.9988264,0.53887147,0.0
Kuwait,KWT,2005,3.4916403,0.5800195,1.3258872,0.0
Kuwait,KWT,2006,2.234774,1.599373,2.1525848,0.48404115
Kuwait,KWT,2007,1.4460062,1.4654162,1.1830343,0.4964011
Kuwait,KWT,2008,1.3791581,1.3900214,0.67799366,0.8823867
Kuwait,KWT,2009,2.760207,1.3684704,1.7482785,0.72126395
Kuwait,KWT,2010,4.542832,0.41215357,0.8431188,0.0
Kuwait,KWT,2011,2.724635,1.1889616,1.1889616,0.0
Kuwait,KWT,2012,0.9000414,1.1183306,1.0376996,0.3839936
Kuwait,KWT,2013,0.87154704,0.5521506,0.9202511,0.38679782
Kuwait,KWT,2014,1.662013,0.0,0.47984183,1.6537126
Kuwait,KWT,2015,2.4930196,0.35414776,0.0,0.0
Kuwait,KWT,2016,1.1894095,0.5272556,0.5272556,1.7151777
Kuwait,KWT,2017,2.2916682,1.0943702,0.5281281,0.32267538
Kuwait,KWT,2018,1.114231,0.64618474,0.4849292,0.0
Kuwait,KWT,2019,2.1906924,0.81061584,0.82383585,0.0
Kuwait,KWT,2022,1.7362618,0.87217873,0.57154614,0.66420686
Kuwait,KWT,2023,2.051759,0.57875615,0.77167493,0.0
