Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Kyrgyzstan,KGZ,1981,2.6750972,,1.5862944,0.53542745
Kyrgyzstan,KGZ,1982,4.7824006,,2.1843145,1.2302284
Kyrgyzstan,KGZ,1985,3.3967392,,2.0282016,0.42256498
Kyrgyzstan,KGZ,1986,4.0169606,,2.3509498,0.56422794
Kyrgyzstan,KGZ,1987,2.8684907,,2.1965952,1.0982976
Kyrgyzstan,KGZ,1988,3.0601094,,1.8744979,0.71409446
Kyrgyzstan,KGZ,1989,4.1010146,,1.7442875,0.49106267
Kyrgyzstan,KGZ,1990,5.3293543,,1.5389876,0.42749658
Kyrgyzstan,KGZ,1991,3.3741038,,1.6832184,0.70972323
Kyrgyzstan,KGZ,1992,6.8578553,,1.6679176,0.58377117
Kyrgyzstan,KGZ,1993,2.6568568,,2.009209,0.651284
Kyrgyzstan,KGZ,1994,2.1951706,,1.4397019,0.25406504
Kyrgyzstan,KGZ,1995,2.118236,,1.5068752,0.3767188
Kyrgyzstan,KGZ,1996,2.965709,,1.8053645,0.16705647
Kyrgyzstan,KGZ,1997,2.329749,,2.2079294,0.57598156
Kyrgyzstan,KGZ,1998,2.7874565,,1.8694917,0.7174631
Kyrgyzstan,KGZ,1999,3.421728,,1.457018,1.1656144
Kyrgyzstan,KGZ,2000,3.7160153,0.33935633,1.4444357,0.19820683
Kyrgyzstan,KGZ,2001,1.8518082,0.34506437,1.0177025,0.20302033
Kyrgyzstan,KGZ,2002,2.871224,0.41716424,1.3557837,0.507012
Kyrgyzstan,KGZ,2003,2.5432177,0.21358919,1.6382053,0.3651501
Kyrgyzstan,KGZ,2004,3.062318,1.3191295,1.4656997,0.39085326
Kyrgyzstan,KGZ,2005,2.3973382,0.22085245,0.9879119,0.3237959
Kyrgyzstan,KGZ,2006,3.651977,0.55552655,0.98793435,0.2465696
Kyrgyzstan,KGZ,2007,2.1410296,0.47646162,0.58585113,0.41173357
Kyrgyzstan,KGZ,2008,2.389864,0.32581145,0.47944662,0.45753816
Kyrgyzstan,KGZ,2009,1.4821347,0.7283412,1.1051139,0.41619498
Kyrgyzstan,KGZ,2010,3.0603325,0.20335165,1.1184341,0.0
Kyrgyzstan,KGZ,2011,2.5605268,0.5870623,1.6275121,0.3822557
Kyrgyzstan,KGZ,2012,4.0076947,0.46749508,1.5584193,0.0
Kyrgyzstan,KGZ,2013,2.214309,0.8052358,1.416716,0.26841193
Kyrgyzstan,KGZ,2014,2.9962127,0.601857,1.5162266,0.17195913
Kyrgyzstan,KGZ,2015,4.3182383,0.7441633,1.3874669,0.16536961
Kyrgyzstan,KGZ,2016,3.3120503,0.6162654,1.3865972,0.16019608
Kyrgyzstan,KGZ,2017,4.416067,0.6199133,1.8597398,0.23109953
Kyrgyzstan,KGZ,2018,1.778641,0.8048198,1.073093,0.45083934
Kyrgyzstan,KGZ,2019,3.8011055,0.6586622,1.4969057,0.15892768
Kyrgyzstan,KGZ,2020,3.6277888,0.4303145,1.5989337,0.35859543
Kyrgyzstan,KGZ,2021,2.3387072,1.1478772,1.402961,0.0
Kyrgyzstan,KGZ,2022,2.965842,0.5084356,1.8298354,0.0
Kyrgyzstan,KGZ,2023,3.2391126,0.58389896,1.4580206,0.12699945
