Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Latvia,LVA,1980,8.474576,,2.8579595,2.1770682
Latvia,LVA,1981,5.9171596,,2.8465698,0.95087165
Latvia,LVA,1982,7.518797,,3.3946252,2.840909
Latvia,LVA,1983,7.390563,,3.0769231,3.7418149
Latvia,LVA,1984,5.6179776,,2.7570996,1.9299697
Latvia,LVA,1985,5.589715,,5.160239,0.60938454
Latvia,LVA,1986,4.496908,,2.6921926,1.7035775
Latvia,LVA,1987,8.517887,,2.866076,1.754386
Latvia,LVA,1988,6.8649883,,2.2941628,0.54112554
Latvia,LVA,1989,2.8669724,,2.2346368,1.1173184
Latvia,LVA,1990,8.586147,,4.2606516,1.7086716
Latvia,LVA,1991,7.981756,,4.2875156,1.6629711
Latvia,LVA,1992,3.979534,,3.1091013,0.5652911
Latvia,LVA,1993,6.1902084,,2.9394474,1.004016
Latvia,LVA,1994,5.5096416,,1.8450185,1.0240655
Latvia,LVA,1995,5.9363194,,3.0147724,0.64683056
Latvia,LVA,1996,5.8139534,1.6046213,2.4038463,1.3736264
Latvia,LVA,1997,3.6363637,1.7084283,0.56947607,1.1057869
Latvia,LVA,1998,1.552795,1.1947432,1.48423,0.0
Latvia,LVA,1999,2.6136959,2.3923445,2.3391812,0.86169755
Latvia,LVA,2000,7.5762086,1.3195398,5.065966,0.72370946
Latvia,LVA,2001,2.2358735,1.3862224,1.3308845,1.6067871
Latvia,LVA,2002,2.3397422,1.0641751,2.4078863,0.89316016
Latvia,LVA,2003,6.220453,2.2247436,1.6685576,0.0
Latvia,LVA,2004,2.0235815,2.8438823,2.0660517,0.0
Latvia,LVA,2005,3.7015924,0.0,4.249668,2.124834
Latvia,LVA,2006,0.8189807,2.140136,1.1458888,0.0
Latvia,LVA,2007,4.5415325,2.9947891,1.8788693,0.0
Latvia,LVA,2008,4.9761643,1.1015521,2.3254461,0.0
Latvia,LVA,2009,2.120576,3.1000702,1.0333568,2.2595296
Latvia,LVA,2010,7.7022104,2.9050624,1.0321302,0.0
Latvia,LVA,2011,1.1177931,2.1622791,1.6217092,0.0
Latvia,LVA,2012,2.235636,1.00019,1.1953858,2.3907716
Latvia,LVA,2013,2.2055094,2.4480205,1.6320136,0.0
Latvia,LVA,2014,5.4450808,2.9379218,4.752174,0.0
Latvia,LVA,2015,6.4905562,1.0824385,1.6236578,0.0
Latvia,LVA,2016,3.1953986,2.1485507,2.3970757,0.0
Latvia,LVA,2017,3.1128728,0.0,1.1614537,0.99288106
Latvia,LVA,2018,1.00777,1.0748874,0.0,1.0099888
Latvia,LVA,2019,0.9842907,1.1665208,1.1665208,0.0
Latvia,LVA,2020,0.0,1.6304348,5.5503135,0.0
Latvia,LVA,2021,0.0,1.0905125,0.0,0.0
Latvia,LVA,2022,0.9968301,1.6358937,0.0,0.0
Latvia,LVA,2023,3.9962037,1.8374753,0.0,0.0
