Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Lithuania,LTU,1981,5.7971015,,1.8939394,0.75757575
Lithuania,LTU,1982,7.176175,,4.9298444,0.4214963
Lithuania,LTU,1985,7.667032,,2.9536643,0.82678795
Lithuania,LTU,1986,7.0500927,,2.7282648,0.7275373
Lithuania,LTU,1987,9.036144,,2.5071633,1.6025641
Lithuania,LTU,1988,4.933586,,2.6511135,1.1086475
Lithuania,LTU,1989,5.318947,,1.930529,1.2285185
Lithuania,LTU,1990,4.1793156,,2.8043509,0.77738434
Lithuania,LTU,1991,4.5688004,,4.0315514,1.7551352
Lithuania,LTU,1992,3.4370954,,2.290317,0.97440815
Lithuania,LTU,1993,6.461127,1.380687,1.7949584,0.8974792
Lithuania,LTU,1994,6.013071,2.222597,3.0262008,1.412227
Lithuania,LTU,1995,4.4530535,0.6256491,1.9204473,1.0427486
Lithuania,LTU,1996,4.7370915,0.8686437,2.1716092,0.8686437
Lithuania,LTU,1997,2.506553,1.1333396,1.6694282,1.5866755
Lithuania,LTU,1998,4.639775,2.1276546,1.5216432,0.38217825
Lithuania,LTU,1999,2.879894,2.4311972,0.9852654,0.64754677
Lithuania,LTU,2000,3.9998982,1.8010925,1.6531267,0.0
Lithuania,LTU,2001,3.3362617,1.3841501,1.3542209,0.0
Lithuania,LTU,2002,4.185788,1.5888526,2.5896225,0.4783499
Lithuania,LTU,2003,4.3069863,0.5110123,3.0552635,0.0
Lithuania,LTU,2004,4.0782204,1.9257001,1.60475,0.5348652
Lithuania,LTU,2005,2.154578,1.2224005,2.012707,0.0
Lithuania,LTU,2006,2.296475,1.000165,1.0485294,0.6990196
Lithuania,LTU,2007,2.9516664,0.72311544,0.72311544,0.0
Lithuania,LTU,2008,4.7236905,1.488361,2.6747355,0.87617844
Lithuania,LTU,2009,2.7491257,0.87037504,1.3553625,0.0
Lithuania,LTU,2010,2.8765886,1.743365,2.3328512,0.8596235
Lithuania,LTU,2011,1.8235419,1.5727103,0.7863552,0.848011
Lithuania,LTU,2012,1.9295583,1.8163325,4.449718,0.0
Lithuania,LTU,2013,4.0735135,1.1724337,0.0,0.0
Lithuania,LTU,2014,2.1405485,1.5533136,0.7766568,0.0
Lithuania,LTU,2015,2.9797378,1.9271165,2.4984593,0.0
Lithuania,LTU,2016,3.0658624,2.9015617,1.1606246,0.0
Lithuania,LTU,2017,3.1057107,1.8982536,2.0035396,0.0
Lithuania,LTU,2018,3.8780432,1.3844088,0.83481514,0.0
Lithuania,LTU,2019,0.7630384,1.1603688,1.3734142,0.69156295
Lithuania,LTU,2020,2.9787614,2.2896569,0.68774843,0.0
Lithuania,LTU,2021,3.49123,1.1966302,4.2605767,0.0
Lithuania,LTU,2022,2.0364249,2.3477485,1.9075142,0.0
Lithuania,LTU,2023,3.3297815,0.98070943,1.1936356,0.0
