Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Luxembourg,LUX,1967,12.295082,,0.0,0.0
Luxembourg,LUX,1968,0.0,,4.9751244,0.0
Luxembourg,LUX,1969,3.9840639,,0.0,0.0
Luxembourg,LUX,1970,3.8910506,,8.474576,0.0
Luxembourg,LUX,1971,0.0,,3.8610039,0.0
Luxembourg,LUX,1972,3.8314176,,5.4945054,3.8610039
Luxembourg,LUX,1973,0.0,,4.6296296,3.8910506
Luxembourg,LUX,1974,0.0,,5.8479533,0.0
Luxembourg,LUX,1975,3.7735848,,0.0,0.0
Luxembourg,LUX,1976,0.0,,8.438819,0.0
Luxembourg,LUX,1977,0.0,,4.4052863,0.0
Luxembourg,LUX,1978,0.0,,0.0,0.0
Luxembourg,LUX,1979,3.7037036,0.0,4.2918453,0.0
Luxembourg,LUX,1980,15.094339,0.0,4.5045047,0.0
Luxembourg,LUX,1981,0.0,0.0,6.060606,0.0
Luxembourg,LUX,1982,12.145749,5.882353,14.563107,0.0
Luxembourg,LUX,1983,4.1841006,0.0,4.901961,0.0
Luxembourg,LUX,1984,4.385965,5.8479533,4.9261084,0.0
Luxembourg,LUX,1985,0.0,5.882353,23.809525,4.901961
Luxembourg,LUX,1986,0.0,0.0,0.0,0.0
Luxembourg,LUX,1987,0.0,0.0,5.249344,0.0
Luxembourg,LUX,1988,4.901961,4.6511626,0.0,0.0
Luxembourg,LUX,1989,4.830918,5.6497173,0.0,0.0
Luxembourg,LUX,1990,9.478673,0.0,0.0,0.0
Luxembourg,LUX,1991,0.0,4.8192773,0.0,0.0
Luxembourg,LUX,1992,4.524887,0.0,0.0,0.0
Luxembourg,LUX,1993,8.888889,0.0,4.3103447,0.0
Luxembourg,LUX,1994,4.385965,0.0,0.0,0.0
Luxembourg,LUX,1995,4.347826,0.0,0.0,0.0
Luxembourg,LUX,1996,4.2918453,3.875969,0.0,0.0
Luxembourg,LUX,1997,0.0,0.0,0.0,0.0
Luxembourg,LUX,1998,4.1315484,4.324137,0.0,0.0
Luxembourg,LUX,1999,4.009141,0.0,0.0,0.0
Luxembourg,LUX,2000,0.0,3.8667517,0.0,0.0
Luxembourg,LUX,2001,0.0,0.0,0.0,0.0
Luxembourg,LUX,2002,0.0,0.0,0.0,0.0
Luxembourg,LUX,2003,3.5990644,0.0,0.0,0.0
Luxembourg,LUX,2004,0.0,4.4204755,0.0,0.0
Luxembourg,LUX,2005,3.4539928,0.0,0.0,0.0
Luxembourg,LUX,2006,0.0,0.0,0.0,0.0
Luxembourg,LUX,2007,3.3190613,4.4436545,0.0,0.0
Luxembourg,LUX,2008,0.0,3.3843238,0.0,0.0
Luxembourg,LUX,2009,0.0,0.0,0.0,0.0
Luxembourg,LUX,2010,0.0,4.302926,0.0,0.0
Luxembourg,LUX,2011,3.2212343,0.0,0.0,0.0
Luxembourg,LUX,2012,0.0,0.0,0.0,0.0
Luxembourg,LUX,2013,0.0,4.0638843,0.0,0.0
Luxembourg,LUX,2014,0.0,3.9535067,0.0,0.0
Luxembourg,LUX,2015,3.2127483,0.0,3.1909122,0.0
Luxembourg,LUX,2016,0.0,0.0,0.0,0.0
Luxembourg,LUX,2017,0.0,3.0751252,0.0,0.0
Luxembourg,LUX,2018,3.0892324,3.8198557,0.0,0.0
Luxembourg,LUX,2019,0.0,0.0,0.0,0.0
Luxembourg,LUX,2020,0.0,2.930231,0.0,0.0
Luxembourg,LUX,2021,2.93867,15.195259,0.0,0.0
Luxembourg,LUX,2022,2.883423,0.0,0.0,0.0
Luxembourg,LUX,2023,0.0,0.0,3.6226635,0.0
