Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Malaysia,MYS,2000,2.031271,0.23250583,0.98574257,0.14894179
Malaysia,MYS,2001,2.6314888,0.39640734,1.151469,0.16988887
Malaysia,MYS,2002,2.59783,0.16745439,1.1142918,0.16997671
Malaysia,MYS,2003,2.1501417,0.34094447,1.1933057,0.14642887
Malaysia,MYS,2004,2.7659144,0.2470352,1.6152301,0.2301052
Malaysia,MYS,2005,2.3274777,0.41874766,1.2010139,0.14656168
Malaysia,MYS,2006,2.7582204,0.34517786,1.0355335,0.10521606
Malaysia,MYS,2007,2.9908452,0.23309036,0.9977168,0.1918686
Malaysia,MYS,2008,2.3519037,0.4051082,1.2731973,0.17361781
Malaysia,MYS,2009,2.6755147,0.27054095,1.0821639,0.06422506
Malaysia,MYS,2010,2.1853888,0.40634093,1.0835758,0.1498219
Malaysia,MYS,2011,2.1384668,0.40972635,1.0926036,0.17559701
Malaysia,MYS,2012,2.1722448,0.37207365,1.3512148,0.15666258
Malaysia,MYS,2013,1.8348926,0.41444466,1.0952506,0.15646438
Malaysia,MYS,2014,2.476048,0.41111618,1.1550407,0.17619266
Malaysia,MYS,2015,2.1907353,0.5861725,0.8085138,0.15840368
Malaysia,MYS,2016,1.8046335,0.38154933,0.9036694,0.11246003
Malaysia,MYS,2017,2.3449976,0.3789834,1.0571643,0.20101638
Malaysia,MYS,2018,2.5075755,0.49477428,0.9697576,0.1328445
Malaysia,MYS,2019,2.1842203,0.4511383,1.0395795,0.26296598
Malaysia,MYS,2020,2.5756052,0.41212022,0.79717046,0.21690539
