Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Malta,MLT,1965,2.7777777,,0.0,0.0
Malta,MLT,1967,14.326648,,3.6231885,9.132421
Malta,MLT,1968,5.730659,,14.492754,0.0
Malta,MLT,1969,0.0,,7.751938,0.0
Malta,MLT,1970,0.0,,3.992016,0.0
Malta,MLT,1971,5.780347,,0.0,3.5460992
Malta,MLT,1972,12.158054,,6.550218,0.0
Malta,MLT,1973,9.803922,,0.0,0.0
Malta,MLT,1974,6.6666665,,0.0,0.0
Malta,MLT,1975,0.0,,9.4562645,0.0
Malta,MLT,1976,11.19403,,7.633588,4.347826
Malta,MLT,1977,8.064516,,4.415011,0.0
Malta,MLT,1978,0.0,,0.0,17.857143
Malta,MLT,1979,4.3290043,0.0,4.0,0.0
Malta,MLT,1980,4.385965,0.0,4.106776,7.662835
Malta,MLT,1981,0.0,0.0,3.717472,0.0
Malta,MLT,1982,0.0,4.5454545,8.14664,0.0
Malta,MLT,1983,8.196721,0.0,4.016064,0.0
Malta,MLT,1984,3.9840639,3.5714285,18.181818,0.0
Malta,MLT,1985,3.8461537,3.5971222,3.5971222,0.0
Malta,MLT,1986,3.7037036,3.558719,5.964215,4.5045047
Malta,MLT,1987,7.3260074,0.0,0.0,0.0
Malta,MLT,1988,0.0,0.0,6.036217,4.6948357
Malta,MLT,1989,0.0,0.0,3.5460992,0.0
Malta,MLT,1990,3.5211267,0.0,3.5842295,0.0
Malta,MLT,1991,0.0,4.6296296,0.0,0.0
Malta,MLT,1992,7.0422535,3.6630037,0.0,0.0
Malta,MLT,1993,0.0,4.6296296,0.0,4.6296296
Malta,MLT,1994,3.5211267,4.6728973,0.0,0.0
Malta,MLT,1995,3.558719,4.784689,3.7037036,0.0
Malta,MLT,1996,3.5460992,0.0,0.0,0.0
Malta,MLT,1997,7.117438,5.0251255,5.0251255,0.0
Malta,MLT,1998,3.5971222,0.0,7.246377,0.0
Malta,MLT,1999,7.2202168,0.0,0.0,0.0
Malta,MLT,2000,0.0,0.0,3.8012695,0.0
Malta,MLT,2001,3.5297024,0.0,3.875368,0.0
Malta,MLT,2002,10.552976,0.0,0.0,0.0
Malta,MLT,2003,0.0,0.0,0.0,0.0
Malta,MLT,2004,10.884156,6.097933,4.156449,0.0
Malta,MLT,2005,0.0,8.532423,0.0,0.0
Malta,MLT,2006,3.7854412,0.0,6.4279747,0.0
Malta,MLT,2007,3.90381,0.0,0.0,0.0
Malta,MLT,2008,0.0,0.0,0.0,0.0
Malta,MLT,2009,0.0,0.0,0.0,0.0
Malta,MLT,2010,12.816679,0.0,6.390185,0.0
Malta,MLT,2011,0.0,5.1424456,0.0,0.0
Malta,MLT,2012,4.605748,0.0,0.0,0.0
Malta,MLT,2013,0.0,0.0,0.0,0.0
Malta,MLT,2014,0.0,0.0,0.0,0.0
Malta,MLT,2015,0.0,0.0,0.0,0.0
Malta,MLT,2016,4.8699718,0.0,0.0,0.0
Malta,MLT,2017,0.0,0.0,0.0,0.0
Malta,MLT,2018,0.0,0.0,0.0,0.0
Malta,MLT,2019,4.95025,4.7076545,0.0,0.0
Malta,MLT,2020,4.9106264,7.720418,0.0,0.0
Malta,MLT,2021,0.0,22.810219,4.2607584,0.0
Malta,MLT,2022,0.0,0.0,0.0,0.0
