Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Martinique,MTQ,1970,2.4377162,,0.0,2.2343872
Martinique,MTQ,1971,2.3852687,,2.5957844,2.5957844
Martinique,MTQ,1974,0.0,,2.9134133,0.0
Martinique,MTQ,1975,4.2614846,,2.2213337,0.0
Martinique,MTQ,1981,0.0,,9.310554,0.0
Martinique,MTQ,1982,0.0,,6.605456,3.302728
Martinique,MTQ,1985,2.2522523,,0.0,0.0
Martinique,MTQ,2000,0.0,0.0,0.0,0.0
Martinique,MTQ,2001,6.1235113,0.0,4.5423574,0.0
Martinique,MTQ,2002,6.1428833,0.0,3.4884531,0.0
Martinique,MTQ,2003,0.0,3.510373,0.0,0.0
Martinique,MTQ,2004,0.0,0.0,0.0,0.0
Martinique,MTQ,2005,3.2493908,3.5830736,0.0,0.0
Martinique,MTQ,2006,13.412467,0.0,0.0,0.0
Martinique,MTQ,2007,3.4398541,3.7200997,0.0,0.0
Martinique,MTQ,2008,3.5280836,0.0,0.0,0.0
Martinique,MTQ,2009,0.0,0.0,0.0,0.0
Martinique,MTQ,2010,3.6931713,0.0,0.0,0.0
Martinique,MTQ,2011,0.0,0.0,0.0,0.0
Martinique,MTQ,2013,3.8308306,0.0,0.0,0.0
Martinique,MTQ,2014,3.9207997,4.2310133,0.0,0.0
Martinique,MTQ,2015,4.017355,0.0,0.0,0.0
Martinique,MTQ,2016,0.0,0.0,0.0,0.0
