Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Mauritius,MUS,1961,3.690037,,0.0,1.0152284
Mauritius,MUS,1962,2.173913,,2.3073373,0.0
Mauritius,MUS,1963,3.125,,2.0283976,0.0
Mauritius,MUS,1964,4.008016,,3.51803,1.0537407
Mauritius,MUS,1965,1.9880716,,3.0146425,0.0
Mauritius,MUS,1966,2.0,,1.8181819,0.0
Mauritius,MUS,1967,2.9211295,,0.0,1.0121458
Mauritius,MUS,1968,5.8708415,,2.370792,0.0
Mauritius,MUS,1969,5.7747836,,1.429252,0.0
Mauritius,MUS,1970,3.7593985,,1.9342359,0.84388185
Mauritius,MUS,1971,1.8639328,,0.8285004,0.0
Mauritius,MUS,1972,3.5971222,,5.063291,0.84388185
Mauritius,MUS,1973,1.765225,,3.0706244,0.0
Mauritius,MUS,1974,3.4542315,,2.6581604,0.0
Mauritius,MUS,1975,1.7050298,,1.086366,0.0
Mauritius,MUS,1976,5.8626466,,2.2185247,0.0
Mauritius,MUS,1977,5.982906,,1.1204482,0.0
Mauritius,MUS,1978,2.5974026,,2.8200788,1.0526316
Mauritius,MUS,1979,5.449591,,1.6638935,0.0
Mauritius,MUS,1980,3.7629352,,2.7307482,0.0
Mauritius,MUS,1981,1.9743336,0.0,2.6709402,0.0
Mauritius,MUS,1982,2.047083,1.0416666,4.2056074,1.0741138
Mauritius,MUS,1983,1.0537407,3.0395136,2.0263424,1.0775862
Mauritius,MUS,1984,5.2742615,0.9319664,2.5471218,2.7958994
Mauritius,MUS,1985,4.2016807,0.9057971,3.6101084,1.1976048
Mauritius,MUS,1986,6.2959075,1.765225,2.0898643,2.6478376
Mauritius,MUS,1987,10.183299,1.5923567,3.1847134,1.0615711
Mauritius,MUS,1988,2.8929605,1.7985611,3.942829,0.8992806
Mauritius,MUS,1989,1.8674136,0.0,2.7700832,1.1080333
Mauritius,MUS,1990,0.90826523,0.9832842,1.6987542,1.3351135
Mauritius,MUS,1991,3.6101084,0.0,3.125,0.0
Mauritius,MUS,1992,6.3119926,0.0,4.9115915,1.1013216
Mauritius,MUS,1993,6.475486,0.0,1.7321016,1.1074197
Mauritius,MUS,1994,4.803074,0.0,4.535147,0.0
Mauritius,MUS,1995,2.034588,0.0,2.7964206,0.0
Mauritius,MUS,1996,6.403415,0.0,3.3057852,1.026694
Mauritius,MUS,1997,3.314917,1.091703,2.955665,0.0
Mauritius,MUS,1998,5.543237,1.0893246,1.633987,0.0
Mauritius,MUS,1999,2.183406,1.0934937,1.6402406,1.283697
Mauritius,MUS,2000,5.3272533,0.0,1.6549807,0.0
Mauritius,MUS,2001,5.1245785,0.0,2.2337508,0.0
Mauritius,MUS,2002,5.911621,0.0,1.6993316,0.0
Mauritius,MUS,2003,3.8333638,1.3278625,4.61026,1.7088614
Mauritius,MUS,2004,1.9005264,0.0,2.911242,0.0
Mauritius,MUS,2005,6.6581063,0.0,2.361066,1.0547967
Mauritius,MUS,2006,4.840037,0.0,1.1914052,0.0
Mauritius,MUS,2007,4.963469,1.8152444,1.0632077,0.0
Mauritius,MUS,2008,5.0961127,0.0,1.4485406,1.064634
Mauritius,MUS,2009,3.0030932,1.4432305,1.2141374,0.0
Mauritius,MUS,2010,3.167631,0.0,3.8386242,1.0845399
Mauritius,MUS,2011,3.170242,0.0,1.9854532,0.0
Mauritius,MUS,2012,3.192712,1.7042453,1.1404849,0.0
Mauritius,MUS,2013,2.1302204,1.1817118,0.0,0.0
Mauritius,MUS,2014,4.284582,0.0,1.4657061,0.0
Mauritius,MUS,2015,1.0850576,1.281033,0.0,1.5207969
Mauritius,MUS,2016,2.2201993,0.0,0.0,0.0
Mauritius,MUS,2017,0.0,0.0,1.3815781,0.0
Mauritius,MUS,2018,2.2537496,2.7252784,1.9213403,0.0
Mauritius,MUS,2019,1.1706449,0.0,1.6292615,1.4037846
Mauritius,MUS,2020,3.6617517,0.0,0.0,0.0
Mauritius,MUS,2021,3.8257987,0.0,1.4839437,0.0
Mauritius,MUS,2022,2.6324794,2.550153,1.520011,0.0
Mauritius,MUS,2023,6.820352,1.539717,8.094544,0.0
