Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Mexico,MEX,1955,1.9677659,,0.7348302,0.2072598
Mexico,MEX,1956,1.6830776,,0.9292634,0.22554937
Mexico,MEX,1957,2.4770968,,0.9029476,0.21705472
Mexico,MEX,1958,2.2275937,,1.0241036,0.26999098
Mexico,MEX,1959,2.0855296,,1.1884718,0.21608579
Mexico,MEX,1960,2.7489898,,1.0318489,0.25796223
Mexico,MEX,1961,2.9310963,,1.1202754,0.2724994
Mexico,MEX,1962,3.282274,,1.2033992,0.2861742
Mexico,MEX,1963,2.1319482,,1.3176653,0.19230792
Mexico,MEX,1964,2.990848,,1.6473384,0.269942
Mexico,MEX,1965,3.289999,,1.5070257,0.34311748
Mexico,MEX,1966,2.9186072,,1.6948748,0.3585312
Mexico,MEX,1967,3.0901408,,1.4092892,0.33494318
Mexico,MEX,1968,2.9498947,,1.8150059,0.35564303
Mexico,MEX,1969,3.4589655,,1.7988703,0.34995088
Mexico,MEX,1970,3.7127206,,1.8206801,0.33779916
Mexico,MEX,1971,3.4568992,,1.6544931,0.42054006
Mexico,MEX,1972,3.4972987,,1.9358289,0.42780748
Mexico,MEX,1973,3.9215686,,1.8158236,0.39991352
Mexico,MEX,1974,3.8692584,,1.8878984,0.36206272
Mexico,MEX,1975,3.697517,,1.851858,0.3794791
Mexico,MEX,1976,3.9436953,,1.9564705,0.45073116
Mexico,MEX,1977,4.544693,,2.0676937,0.49624652
Mexico,MEX,1978,3.779846,,1.9313182,0.57028997
Mexico,MEX,1979,4.038461,,2.209519,0.6008756
Mexico,MEX,1980,4.0807714,,2.1388953,0.5803567
Mexico,MEX,1981,3.8005764,,2.1089725,0.5027719
Mexico,MEX,1982,4.2547436,,2.1374006,0.5115888
Mexico,MEX,1983,4.2204723,,2.0180712,0.38211998
Mexico,MEX,1984,4.267026,,2.2333791,0.4861154
Mexico,MEX,1985,4.3896914,,2.2883096,0.39739728
Mexico,MEX,1986,3.9218943,,2.2667315,0.44395494
Mexico,MEX,1987,4.6056476,,2.472078,0.42058042
Mexico,MEX,1988,4.5436587,,2.4476979,0.49415785
Mexico,MEX,1989,4.520452,,2.4324572,0.533954
Mexico,MEX,1990,4.5331187,,2.2791893,0.41973191
Mexico,MEX,1991,4.722361,,2.015048,0.36637238
Mexico,MEX,1992,4.3891454,,2.15905,0.32754818
Mexico,MEX,1993,4.4283414,,2.2865014,0.4040404
Mexico,MEX,1994,4.4142256,,2.1752741,0.32446316
Mexico,MEX,1995,4.5644073,,2.2711034,0.33224556
Mexico,MEX,1996,4.8298965,,2.5217984,0.29719636
Mexico,MEX,1997,4.5846643,,2.4545085,0.3937714
Mexico,MEX,1998,4.8761168,0.6214845,2.4946914,0.288859
Mexico,MEX,1999,4.8386216,0.67835236,2.389551,0.3194821
Mexico,MEX,2000,5.0584283,0.6171097,2.700402,0.30198988
Mexico,MEX,2001,4.641409,0.7020093,2.5140707,0.3027415
Mexico,MEX,2002,4.9363437,0.6241225,2.461328,0.29887557
Mexico,MEX,2003,4.8164215,0.67385584,2.5016348,0.27306578
Mexico,MEX,2004,4.8863306,0.7594986,2.4242136,0.2649414
Mexico,MEX,2005,4.812941,0.7657687,2.6469924,0.3009958
Mexico,MEX,2006,5.0785265,0.761247,2.3324254,0.28768054
Mexico,MEX,2007,4.4122534,0.77539665,2.352775,0.2569886
Mexico,MEX,2008,4.695281,0.6921923,2.2230022,0.28397632
Mexico,MEX,2009,4.4737296,0.7150385,2.362736,0.2562283
Mexico,MEX,2010,4.667212,0.89320576,2.4396515,0.20441525
Mexico,MEX,2011,4.2894435,0.82763094,2.4027996,0.21803181
Mexico,MEX,2012,4.361074,0.6854328,2.3545063,0.23144485
Mexico,MEX,2013,4.506768,0.72554654,2.1944444,0.23146272
Mexico,MEX,2014,4.7856197,0.7084228,2.2901216,0.28069583
Mexico,MEX,2015,4.74376,0.7634359,2.2992368,0.23215595
Mexico,MEX,2016,4.4914994,0.72734356,2.0883238,0.20080037
Mexico,MEX,2017,4.9301105,0.8580249,2.118249,0.20556846
Mexico,MEX,2018,4.777991,0.75285274,2.0300136,0.18373191
Mexico,MEX,2019,4.8564606,0.73723066,2.054356,0.15937258
Mexico,MEX,2020,4.335388,0.6811237,1.8945162,0.1533656
Mexico,MEX,2021,4.7027683,0.6346905,1.9222056,0.15413912
Mexico,MEX,2022,4.884496,0.6833363,1.7311187,0.18677859
