Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Moldova,MDA,1981,7.8182087,,4.6505346,1.3405634
Moldova,MDA,1982,8.0886755,,4.780197,1.3394492
Moldova,MDA,1985,5.120211,,3.5208964,2.2645473
Moldova,MDA,1986,10.585695,,2.5924134,1.3932784
Moldova,MDA,1987,6.3203654,,3.034069,0.95454717
Moldova,MDA,1988,7.052282,,2.9968581,1.7981149
Moldova,MDA,1989,7.5027,,3.5652826,1.5449558
Moldova,MDA,1990,4.787998,,4.03954,1.7029349
Moldova,MDA,1991,7.4210124,0.91922146,2.7576644,2.03626
Moldova,MDA,1992,7.8846736,1.7049136,4.3840632,2.529566
Moldova,MDA,1993,6.7625275,1.9640936,4.3814096,1.8041098
Moldova,MDA,1994,8.515967,2.1026661,2.834741,1.9624884
Moldova,MDA,1995,7.1090975,1.0719823,2.6799557,1.4532306
Moldova,MDA,1996,5.7458606,2.283856,3.0987136,0.7470789
Moldova,MDA,1997,10.402494,1.8646384,3.3563492,0.9323192
Moldova,MDA,1998,7.352881,1.6351744,4.7238374,0.9851091
Moldova,MDA,1999,6.8632298,1.2502917,3.6591802,0.8335278
Moldova,MDA,2000,3.9307404,1.9839827,2.204425,1.1022125
Moldova,MDA,2001,4.087257,1.7186228,3.8669012,1.2889671
Moldova,MDA,2002,6.107411,0.98515373,2.4912694,0.49257687
Moldova,MDA,2003,4.1645975,0.7812602,2.6042006,0.95338655
Moldova,MDA,2004,4.73144,2.2356582,1.9872518,0.82036924
Moldova,MDA,2005,5.705035,1.418146,0.5672584,0.8508876
Moldova,MDA,2006,5.5696034,0.57698077,1.442452,0.4978468
Moldova,MDA,2007,5.424065,1.5368695,1.3122877,1.1643307
Moldova,MDA,2008,2.066325,2.6554744,0.5901054,1.0682163
Moldova,MDA,2009,5.293561,1.7830557,2.6745834,0.0
Moldova,MDA,2010,7.9544444,2.3751628,0.5937907,1.9771181
Moldova,MDA,2011,3.9372501,1.4756075,1.3373036,0.5407057
Moldova,MDA,2012,2.5641947,1.0288066,2.0576131,1.2858098
Moldova,MDA,2013,2.11278,2.3579097,1.1646155,0.58230776
Moldova,MDA,2014,1.6113784,1.5691034,0.8711813,0.52920693
Moldova,MDA,2015,6.488205,2.321458,1.3062606,1.3038914
Moldova,MDA,2016,2.7054226,1.3073366,1.4487966,0.5795187
Moldova,MDA,2017,1.0776327,0.5157377,1.052428,0.66203684
Moldova,MDA,2018,0.0,1.5765088,0.58968,0.0
Moldova,MDA,2019,3.8804436,2.9212244,0.0,0.5979377
Moldova,MDA,2020,0.641762,0.6694135,1.2309813,1.338827
Moldova,MDA,2021,5.761512,1.5675358,1.0339515,0.0
Moldova,MDA,2022,3.2466478,1.8020031,2.6598692,0.0
Moldova,MDA,2023,3.9873865,0.0,0.6337718,1.1017705
