Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Montenegro,MNE,2000,4.3018155,3.0773966,3.0773966,0.0
Montenegro,MNE,2001,2.1509078,7.775596,0.0,0.0
Montenegro,MNE,2002,4.3018155,0.0,2.3091488,0.0
Montenegro,MNE,2003,2.174433,0.0,0.0,2.3173897
Montenegro,MNE,2004,0.0,4.0007467,0.0,0.0
Montenegro,MNE,2005,0.0,0.0,2.3985991,0.0
Montenegro,MNE,2006,0.0,13.410218,0.0,0.0
Montenegro,MNE,2007,4.5847373,3.1995904,0.0,0.0
Montenegro,MNE,2008,0.0,0.0,0.0,0.0
Montenegro,MNE,2009,4.707433,0.0,0.0,0.0
Montenegro,MNE,2017,2.6568186,0.0,0.0,0.0
Montenegro,MNE,2019,2.6580193,0.0,0.0,0.0
