Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Netherlands,NLD,1950,4.608854,,4.020758,0.79480106
Netherlands,NLD,1951,5.4925375,,3.6120892,0.5943944
Netherlands,NLD,1952,6.124131,,4.4915557,0.7635645
Netherlands,NLD,1953,4.489984,,3.8611753,0.5769572
Netherlands,NLD,1954,6.8095555,,3.477572,0.48421887
Netherlands,NLD,1955,5.335366,,4.006794,0.6532816
Netherlands,NLD,1956,7.087827,,3.6230302,0.56746256
Netherlands,NLD,1957,5.4835963,,4.3453197,0.8868
Netherlands,NLD,1958,6.528349,,4.318597,0.59574044
Netherlands,NLD,1959,5.7152753,,4.79297,0.754449
Netherlands,NLD,1960,5.9156594,,4.3809185,0.84078234
Netherlands,NLD,1961,4.5056534,,3.7328181,0.7026481
Netherlands,NLD,1962,7.195507,,4.2608695,0.6086956
Netherlands,NLD,1963,6.621331,,4.1770735,0.43062612
Netherlands,NLD,1964,5.687974,,4.689032,0.76729614
Netherlands,NLD,1965,5.1485863,,4.9423394,0.5069066
Netherlands,NLD,1966,5.3918047,,4.199387,0.6719019
Netherlands,NLD,1967,5.268798,,4.061126,0.8792129
Netherlands,NLD,1968,7.359461,,3.7630138,0.46364987
Netherlands,NLD,1969,4.908836,,3.3380623,0.375532
Netherlands,NLD,1970,4.7619047,,3.4547346,0.37460977
Netherlands,NLD,1971,5.2955246,,2.6270797,0.66719484
Netherlands,NLD,1972,6.231579,,3.6577675,0.7870006
Netherlands,NLD,1973,5.2373433,,3.0758715,0.42720437
Netherlands,NLD,1974,4.680956,,3.453099,0.6119416
Netherlands,NLD,1975,4.7932405,,2.4858646,0.6823942
Netherlands,NLD,1976,4.290803,,1.8840181,0.64332324
Netherlands,NLD,1977,4.224208,,2.5227823,0.875251
Netherlands,NLD,1978,4.327237,,2.3338358,0.6807021
Netherlands,NLD,1979,4.502292,0.7520305,1.8550085,0.5013537
Netherlands,NLD,1980,3.5153694,1.4980886,2.1696455,0.62563986
Netherlands,NLD,1981,4.5939293,1.5387064,1.7509418,0.35182363
Netherlands,NLD,1982,4.82128,1.083815,1.6344321,0.5419075
Netherlands,NLD,1983,3.3299181,1.3924474,1.5595411,0.22279158
Netherlands,NLD,1984,4.111548,0.84678787,1.8064808,0.4516202
Netherlands,NLD,1985,3.5971222,0.96437484,1.64511,0.39709553
Netherlands,NLD,1986,3.2019212,1.075208,1.1317979,0.37821484
Netherlands,NLD,1987,3.9882452,0.95537823,1.3487693,0.18812315
Netherlands,NLD,1988,2.8205686,1.3949336,1.3949336,0.33478406
Netherlands,NLD,1989,2.981778,0.74142724,1.1121409,0.43249923
Netherlands,NLD,1990,3.7689834,0.8577906,0.8221431,0.36762452
Netherlands,NLD,1991,3.6460059,0.43327555,0.97487,0.12130034
Netherlands,NLD,1992,2.4271846,0.69455576,0.9616926,0.41796035
Netherlands,NLD,1993,3.2054825,0.9479671,1.0532968,0.23483825
Netherlands,NLD,1994,2.102235,1.0399334,1.3519135,0.25998336
Netherlands,NLD,1995,3.0983734,1.1343714,1.3921832,0.52269363
Netherlands,NLD,1996,2.9761906,1.4378145,1.4378145,0.17074558
Netherlands,NLD,1997,2.7191646,0.73800737,1.177796,0.2560426
Netherlands,NLD,1998,1.9224608,1.3753756,0.8150374,0.3861998
Netherlands,NLD,1999,2.9387069,0.8440243,0.8440243,0.20038071
Netherlands,NLD,2000,2.9881382,1.3560752,0.78360385,0.22388682
Netherlands,NLD,2001,3.2404833,1.1497763,0.79984444,0.16714759
Netherlands,NLD,2002,2.3032868,1.0541594,0.747907,0.0
Netherlands,NLD,2003,2.1882317,1.095879,1.095879,0.10146063
Netherlands,NLD,2004,2.1803432,1.0982847,0.79875255,0.1968657
Netherlands,NLD,2005,3.0878062,1.354968,0.602208,0.74170864
Netherlands,NLD,2006,2.8231442,1.1617118,1.212221,0.5114854
Netherlands,NLD,2007,2.748665,1.0178754,0.91608787,0.0
Netherlands,NLD,2008,2.551385,1.6978409,0.46164832,0.2829735
Netherlands,NLD,2009,1.7297077,1.0335047,0.7234533,0.09931059
Netherlands,NLD,2010,2.6215994,1.0426251,0.6777063,0.27038026
Netherlands,NLD,2011,3.1872954,1.159185,0.42152184,0.27060193
Netherlands,NLD,2012,3.0617797,1.7068397,0.41244647,0.0
Netherlands,NLD,2013,1.870099,0.83595014,0.4870101,0.1366742
Netherlands,NLD,2014,2.0737321,0.78640556,0.72591287,0.12098548
Netherlands,NLD,2015,1.998032,1.0976112,0.606918,0.5796732
Netherlands,NLD,2016,1.8244661,1.0411129,0.38798726,0.18372582
Netherlands,NLD,2017,2.2601678,1.0006577,0.44473672,0.0
Netherlands,NLD,2018,1.1527873,0.5056066,0.6179637,0.23130827
Netherlands,NLD,2019,1.262253,0.56296057,0.43785822,0.0
Netherlands,NLD,2020,1.2601646,0.44133312,0.28496864,0.0
Netherlands,NLD,2021,1.7824676,0.5048389,0.18931459,0.0
Netherlands,NLD,2022,1.672101,0.51217115,0.31453288,0.0
Netherlands,NLD,2023,1.7780288,0.56301373,0.18767124,0.6079767
