Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
New Zealand,NZL,1950,8.152174,,4.3968124,1.7683465
New Zealand,NZL,1951,7.087629,,4.8556786,1.1958861
New Zealand,NZL,1952,6.067961,,4.823151,1.525941
New Zealand,NZL,1953,7.0134425,,4.8511577,0.49652433
New Zealand,NZL,1954,5.084746,,3.8232796,0.7161614
New Zealand,NZL,1955,7.1389346,,4.5230265,0.86021507
New Zealand,NZL,1956,4.7619047,,2.811245,1.4056225
New Zealand,NZL,1957,5.483549,,4.524887,0.66386366
New Zealand,NZL,1958,7.921715,,4.236472,1.7353579
New Zealand,NZL,1959,7.9190497,,4.7010155,0.4239983
New Zealand,NZL,1960,6.7482076,,4.779412,2.5356576
New Zealand,NZL,1961,8.567931,,3.772907,0.8080808
New Zealand,NZL,1962,6.031363,,4.5470443,1.8518518
New Zealand,NZL,1963,7.9396586,,3.2579532,0.95822155
New Zealand,NZL,1964,5.072181,,5.024284,0.74808306
New Zealand,NZL,1965,9.163803,,3.6778228,0.73556453
New Zealand,NZL,1966,4.480956,,5.9269013,1.2794735
New Zealand,NZL,1967,5.100182,,3.9037085,0.8132726
New Zealand,NZL,1968,5.6838365,,5.098325,0.53319114
New Zealand,NZL,1969,7.652174,,4.0241446,0.5340454
New Zealand,NZL,1970,5.442177,,3.4653466,0.5506608
New Zealand,NZL,1971,5.294507,,4.2961006,0.5520795
New Zealand,NZL,1972,5.063291,,3.9402397,0.66072017
New Zealand,NZL,1973,6.6225166,,4.28054,0.73260075
New Zealand,NZL,1974,4.985977,,2.7247956,0.72661215
New Zealand,NZL,1975,7.836991,,2.8011205,0.90909094
New Zealand,NZL,1976,9.428033,,3.2590983,0.543183
New Zealand,NZL,1977,7.3954983,,2.2205772,0.3187759
New Zealand,NZL,1978,4.2581067,,2.0654044,0.94464386
New Zealand,NZL,1979,5.294507,1.947937,2.3021073,0.778513
New Zealand,NZL,1980,3.3167496,1.2755102,2.3688047,1.0038145
New Zealand,NZL,1981,5.89198,1.4364867,2.232143,0.93005955
New Zealand,NZL,1982,2.2771633,1.2597103,2.5194206,2.020202
New Zealand,NZL,1983,8.111616,1.4950876,3.2799537,0.0
New Zealand,NZL,1984,2.9469547,1.950078,2.3794074,0.38343558
New Zealand,NZL,1985,4.347826,1.9672132,3.715847,0.49652433
New Zealand,NZL,1986,6.9228106,1.5445719,2.2065313,0.394633
New Zealand,NZL,1987,6.8443804,2.6437542,1.5751132,0.4406257
New Zealand,NZL,1988,5.27307,0.78170806,2.6344676,0.80096114
New Zealand,NZL,1989,4.6278443,1.5518913,2.5218234,0.8718396
New Zealand,NZL,1990,3.9108331,2.1459227,1.0729613,0.399361
New Zealand,NZL,1991,3.8491147,1.8533772,1.8533772,0.44267374
New Zealand,NZL,1992,2.7058368,2.023882,1.9941987,0.0
New Zealand,NZL,1993,3.4588778,1.4339488,0.9968102,0.4280822
New Zealand,NZL,1994,3.4311857,0.7861635,1.595179,0.428449
New Zealand,NZL,1995,3.7693179,1.0533708,1.5767344,0.3880481
New Zealand,NZL,1996,6.6939383,1.3422818,1.5340364,1.3192612
New Zealand,NZL,1997,4.0396624,1.3449899,2.4181547,0.0
New Zealand,NZL,1998,5.407354,1.6789792,2.2300687,0.0
New Zealand,NZL,1999,3.1472933,0.67644125,0.74646366,0.0
New Zealand,NZL,2000,3.7522173,2.080693,0.94576955,0.0
New Zealand,NZL,2001,5.32021,1.9207499,1.0408535,0.0
New Zealand,NZL,2002,3.9026928,1.9267452,0.68219805,0.34109902
New Zealand,NZL,2003,2.5674765,0.87349975,1.7899975,0.34120378
New Zealand,NZL,2004,3.8087983,0.34086648,0.57682323,0.0
New Zealand,NZL,2005,1.5947437,1.4280818,1.56082,0.0
New Zealand,NZL,2006,2.899111,1.2113241,0.6852131,0.0
New Zealand,NZL,2007,3.9201593,1.1372036,1.2022121,0.57642424
New Zealand,NZL,2008,4.309916,1.737861,0.38191262,0.0
New Zealand,NZL,2009,2.0164678,1.1791459,0.50534827,0.0
New Zealand,NZL,2010,2.3666239,1.0021881,1.0021881,0.40301454
New Zealand,NZL,2011,2.0486906,0.8312552,0.5564314,0.0
New Zealand,NZL,2012,2.4230676,1.160112,0.9943817,0.39797828
New Zealand,NZL,2013,1.68492,0.81691337,1.2821335,0.0
New Zealand,NZL,2014,2.0259798,1.928972,0.71074975,0.3223498
New Zealand,NZL,2015,2.0443277,0.7121683,0.8054448,0.0
New Zealand,NZL,2016,1.3593652,2.3933942,0.40778044,0.0
New Zealand,NZL,2017,1.3130683,0.69941074,0.34970537,0.0
New Zealand,NZL,2018,2.5513458,1.0325245,0.8719308,0.0
