Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
Nicaragua,NIC,2005,5.914979,0.30517766,1.2970049,0.2548459
Nicaragua,NIC,2006,3.2062097,0.9384136,1.279655,0.5971723
Nicaragua,NIC,2007,4.0039053,0.940704,1.6248524,0.1710371
Nicaragua,NIC,2008,4.820656,0.94131744,1.1504143,1.2455782
Nicaragua,NIC,2009,4.394473,0.769455,1.3023607,0.62321216
Nicaragua,NIC,2010,3.1613505,0.9939985,1.4505788,0.0
Nicaragua,NIC,2011,4.775899,0.51089007,1.2210916,0.51089007
Nicaragua,NIC,2012,4.6397476,1.5286845,1.9533191,0.15552293
Nicaragua,NIC,2013,3.209397,1.0159092,2.5824034,0.3098143
Nicaragua,NIC,2014,5.301443,0.9089525,2.1208892,0.42184517
Nicaragua,NIC,2015,4.8151927,1.261523,1.7379766,0.4533852
Nicaragua,NIC,2016,4.485512,0.90636563,1.2840179,0.18665771
Nicaragua,NIC,2017,5.425893,0.5287636,2.8542216,0.16789538
Nicaragua,NIC,2018,4.1276197,1.0913639,1.965547,0.37539652
Nicaragua,NIC,2019,4.5773454,1.1358516,2.1202564,0.45381454
Nicaragua,NIC,2020,3.295979,1.138825,1.6702768,0.18954076
Nicaragua,NIC,2021,5.310666,1.1444266,2.1984582,0.19124481
Nicaragua,NIC,2022,5.132472,0.920782,2.7623463,0.0
