Country_Region,Code,Year,Total_Cancer_Deaths_per_100k,Brain_Cancer_Rate,Leukemia_Rate,Lymphoma_Rate
North Macedonia,MKD,1991,5.4347825,2.6729035,1.6705647,0.6682259
North Macedonia,MKD,1992,4.801921,1.2258657,2.3648648,0.0
North Macedonia,MKD,1993,5.373134,2.3734176,1.7117425,0.9363296
North Macedonia,MKD,1994,7.1471114,1.6181229,2.437326,0.6963788
North Macedonia,MKD,1995,4.176611,1.7593244,3.8705137,0.0
North Macedonia,MKD,1996,4.194128,2.4796317,1.6460905,0.82304525
North Macedonia,MKD,1997,3.6144578,2.263907,2.4955437,0.62932664
North Macedonia,MKD,1998,3.629764,1.8109381,1.0865629,0.0
North Macedonia,MKD,1999,7.3170733,1.1102886,1.480385,1.4035088
North Macedonia,MKD,2000,3.7059913,1.7969452,1.3080444,0.0
North Macedonia,MKD,2001,2.491358,1.4146773,0.9490187,0.0
North Macedonia,MKD,2002,5.586627,2.446154,1.6307694,1.3800431
North Macedonia,MKD,2003,3.1587992,0.71363324,1.9110155,0.0
North Macedonia,MKD,2004,3.852748,1.1776252,1.2958684,1.4818218
North Macedonia,MKD,2005,5.218015,1.6135278,1.0543185,1.5332015
North Macedonia,MKD,2006,2.6751738,0.91097915,1.3664687,0.0
North Macedonia,MKD,2007,0.6915008,0.8072393,1.6144786,0.0
North Macedonia,MKD,2008,0.7152411,1.4188623,0.94590825,0.0
North Macedonia,MKD,2009,3.7118423,1.4348712,2.8697424,0.9565808
North Macedonia,MKD,2010,2.3038998,2.5606883,0.0,0.8535628
North Macedonia,MKD,2011,2.363191,0.970723,0.0,0.0
North Macedonia,MKD,2012,5.6578918,1.0798087,2.1596174,1.458066
North Macedonia,MKD,2013,2.4786627,2.663494,1.7756628,0.0
North Macedonia,MKD,2015,3.4181607,0.970285,1.0816774,0.0
North Macedonia,MKD,2016,1.7502407,1.4534144,0.0,0.0
North Macedonia,MKD,2017,3.539322,0.96396226,2.17193,1.085965
North Macedonia,MKD,2018,3.5553975,0.0,0.0,0.0
North Macedonia,MKD,2019,3.5585923,0.9737146,1.1188561,0.0
North Macedonia,MKD,2020,1.7612921,1.4843916,0.0,0.8665286
North Macedonia,MKD,2021,1.8955909,1.9432664,0.91476244,0.0
North Macedonia,MKD,2022,3.756962,1.3061821,0.0,1.3061821
North Macedonia,MKD,2023,0.0,0.0,2.781667,0.0
